row_id,climate_category_id,main_id,name,year,scenario,category
CC-5801b453-1991_2020-historical-1,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-d29e0839-1991_2020-historical-1,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-f1ff4920-1991_2020-historical-1,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-4ea8ac9d-1991_2020-historical-1,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-e7e6a960-1991_2020-historical-1,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-aeafbb59-1991_2020-historical-1,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-c0660aec-1991_2020-historical-1,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-e51eda66-1991_2020-historical-1,QC-MAIN-e51eda66,QC-MAIN-e51eda66,LaRonde,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-1f126a43-1991_2020-historical-1,ON-MAIN-1f126a43,ON-MAIN-1f126a43,Macassa,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-730aefe3-1991_2020-historical-1,NU-MAIN-730aefe3,NU-MAIN-730aefe3,Meadowbank,1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-8b0264c9-1991_2020-historical-1,NU-MAIN-8b0264c9,NU-MAIN-8b0264c9,Meliadine,1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-5d21dbd5-1991_2020-historical-1,MB-MAIN-5d21dbd5,MB-MAIN-5d21dbd5,Monument Bay,1991_2020,historical,"Dfc - Cold, no dry season, cold summer"
CC-74997012-1991_2020-historical-1,ON-MAIN-74997012,ON-MAIN-74997012,Upper Beaver,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-687b8c8d-1991_2020-historical-1,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
CC-7607a50e-1991_2020-historical-1,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,1991_2020,historical,"Dfb - Cold, no dry season, warm summer"
