row_id,main_id,year,tailing_id,tsf_name,status,construction_year,raise_type,current_maximum_height,current_tailings_storage,planned_storage_5_years,hazard_categorization,classification_system,geometry,source_id
TAIL-12.0-2019-1,NU-MAIN-730aefe3,2019,12.0,North Cell,Active,2009.0,"Downstream, Upstream",31.0,14400000,14400000,Medium,Canadian Dam Association,POINT (-96.043328 65.021558),https://tailing.grida.no/
TAIL-13.0-2019-1,NU-MAIN-730aefe3,2019,13.0,South Cell,Active,2012.0,Downstream,49.0,10420000,10800000,Medium,Canadian Dam Association,POINT (-96.033391 65.013782),https://tailing.grida.no/
TAIL-14.0-2019-1,NU-MAIN-730aefe3,2019,14.0,In pit,Active,2009.0,,,850000,12500000,Low,,POINT (-96.032544 65.001901),https://tailing.grida.no/
TAIL-15.0-2019-1,NU-MAIN-8b0264c9,2019,15.0,Meliadine TSF,Active,2019.0,,5.0,89000,4354000,Medium,Canadian Dam Association,POINT (-92.140336 63.020829),https://tailing.grida.no/
TAIL-16.0-2019-1,QC-MAIN-c0660aec,2019,16.0,South TSF,Active,2007.0,Not Raised,5.0,1664000,2500000,Medium,Canadian Dam Association,POINT (-77.841978 48.054342),https://tailing.grida.no/
TAIL-23.0-2019-1,QC-MAIN-e51eda66,2019,23.0,Principal TSF,Active,1988.0,Upstream,30.0,29923000,32650000,Medium,Canadian Dam Association,POINT (-78.417616 48.257872),https://tailing.grida.no/
TAIL-24.0-2019-1,QC-MAIN-e51eda66,2019,24.0,Extension A4,Active,2010.0,Not Raised,18.0,1500000,3400000,Medium,Canadian Dam Association,POINT (-78.400641 48.254847),https://tailing.grida.no/
TAIL-1652.0-2019-1,ON-MAIN-7607a50e,2019,1652.0,Tailings Impoundment Area -7 East Dam,Active,2012.0,Downstream,50.0,2500000,3500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),https://tailing.grida.no/
TAIL-1653.0-2019-1,ON-MAIN-7607a50e,2019,1653.0,Tailings Impoundment Area -7 West Dam,Active,2012.0,Modified Centreline,40.0,2500000,3500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),https://tailing.grida.no/
TAIL-1654.0-2019-1,ON-MAIN-7607a50e,2019,1654.0,Tailings Impoundment Area -7 North Dam,Active,2014.0,Modified Centreline,12.0,2500000,3500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),https://tailing.grida.no/
TAIL-1655.0-2019-1,ON-MAIN-7607a50e,2019,1655.0,Tailings Impoundment Area -7 South Saddle Dam,Active,2018.0,Upstream,7.0,2500000,3500000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-80.712447 47.950208),https://tailing.grida.no/
TAIL-1656.0-2019-1,ON-MAIN-687b8c8d,2019,1656.0,Primary Pond Dyke 1,Active,1988.0,Downstream,11.0,486000,1488000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),https://tailing.grida.no/
TAIL-1657.0-2019-1,ON-MAIN-687b8c8d,2019,1657.0,Primary Pond Dyke 2,Active,2011.0,Downstream,8.0,486000,1488000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),https://tailing.grida.no/
TAIL-1658.0-2019-1,ON-MAIN-687b8c8d,2019,1658.0,Primary Pond Dyke 3,Active,2011.0,Downstream,10.0,486000,1488000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),https://tailing.grida.no/
TAIL-1659.0-2019-1,ON-MAIN-687b8c8d,2019,1659.0,Primary Pond Dyke 4,Active,2011.0,Downstream,10.0,486000,1488000,High,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),https://tailing.grida.no/
TAIL-1660.0-2019-1,ON-MAIN-687b8c8d,2019,1660.0,Primary Pond Dyke 5,Active,2015.0,Downstream,5.0,486000,1488000,Moderate,Ontario Ministry of Natural Resources Classification and Inflow Design Criteria (2011),POINT (-84.445337 48.30807),https://tailing.grida.no/
TAIL-28.0-2019-1,NT-MAIN-94e652a5,2019,28.0,Gahcho Kué Area 2 FINE PKC,Active,2016.0,Downstream,12.0,3500000,6880000,Major,Anglo American Technical Standard (AA TS 602 001),POINT (-109.2117519 63.463619),https://tailing.grida.no/
TAIL-29.0-2019-1,NT-MAIN-94e652a5,2019,29.0,Gahcho Kué Course PKC Pile,Active,2016.0,Dry stack,20.0,2900000,5590000,High,Anglo American Technical Standard (AA TS 602 001),POINT (-109.2117519 63.463619),https://tailing.grida.no/
TAIL-827.0-2019-1,BC-MAIN-e34feb4d,2019,827.0,Kemess South TSF,Inactive,1998.0,Modified Centreline,180.0,141000000,141000000,Very High,Canadian Dam Association (CDA) 2013,POINT (-126.66972 57.0216667),https://tailing.grida.no/
TAIL-225.0-2019-1,BC-MAIN-b1fe389a,2019,225.0,Albino Lake TSF,Closed,1997.0,Lake,,200000,200000,Not rated,,POINT (-130.496457 56.650496),https://tailing.grida.no/
TAIL-226.0-2019-1,BC-MAIN-b1fe389a,2019,226.0,Tom McKay TSF,Closed,2001.0,Lake,,500000,500000,Not rated,,POINT (-130.520252 56.619746),https://tailing.grida.no/
TAIL-194.0-2019-1,ON-MAIN-6e9be24e,2019,194.0,David Bell / Williams Basin,Active,1985.0,"Upstream, Downstream",41.0,68000000,68000000,Very High,Canadian Dam Association (CDA),POINT (-85.878245 48.668708),https://tailing.grida.no/
TAIL-1344.0-2019-1,SK-MAIN-bb89158f,2019,1344.0,KL AGTMF,Inactive,1983.0,Single Stage,20.0,5800000,5800000,Not classified,,POINT (-105.7030556 57.2069444),https://tailing.grida.no/
TAIL-1346.0-2019-1,SK-MAIN-bb89158f,2019,1346.0,DTMF,Inactive Care and Maintenance,1996.0,In-pit,,9300000,10800000,,,POINT (-105.63 57.2083333),https://tailing.grida.no/
TAIL-1524.0-2019-1,ON-MAIN-aeafbb59,2019,1524.0,Detour Lake Mine - TMA Cell 1,Active,2013.0,Centreline,49.0,80000000,100000000,Moderate,Canadian Dam Association / Ministry of Natural Resources and Forestry,POINT (-79.70275 50.0196806),https://tailing.grida.no/
TAIL-716.0-2019-1,QC-MAIN-30c1828c,2019,716.0,Noranda 4 (Principal Dyke),Inactive,1947.0,Downstream,9.1,1880000,1880000,High,CDA 2007 (2013),POINT (-79.07333333 48.23),https://tailing.grida.no/
TAIL-717.0-2019-1,QC-MAIN-30c1828c,2019,717.0,"Noranda 5 Polishing Pond (South, North-East  and West Dyke)",Active,2012.0,Downstream,9.5,2900000,2900000,Very High,CDA 2007 (2013),POINT (-79.08833333 48.22638889),https://tailing.grida.no/
TAIL-718.0-2019-1,QC-MAIN-30c1828c,2019,718.0,"Noranda 5 (Dyke N5-1,2,3)",Active,2015.0,Upstream,8.0,5000000,7500000,Very High,CDA 2007 (2013),POINT (-79.09444444 48.22111111),https://tailing.grida.no/
TAIL-719.0-2019-1,QC-MAIN-30c1828c,2019,719.0,Waite Amulet TSF (Acid rock drainage water pond) (Principal Dike),Closed,1973.0,Centreline,3.0,650000,650000,,CDA 2007 (2013),POINT (-79.07521111 48.33078889),https://tailing.grida.no/
TAIL-720.0-2019-1,QC-MAIN-30c1828c,2019,720.0,Quémont-2 TSF (A-G),Inactive,1989.0,Downstream,14.0,8200000,8200000,Very High,CDA 2007 (2013),POINT (-78.97833333 48.26805556),https://tailing.grida.no/
TAIL-1677.0-2019-1,QC-MAIN-b86f7d07,2019,1677.0,Casa Berardi Cell 4,Active,2010.0,Upstream,8.0,5000000,4000000,High,Candian Dam Association Consequence Classification,POINT (-79.240528 49.555972),https://tailing.grida.no/
TAIL-1685.0-2019-1,QC-MAIN-b86f7d07,2019,1685.0,Casa Berardi Cell #1,Inactive,1989.0,Downstream,8.0,,,High,Candian Dam Association Consequence Classification,POINT (-79.232417 49.560333),https://tailing.grida.no/
TAIL-1686.0-2019-1,QC-MAIN-b86f7d07,2019,1686.0,Casa Berardi Cell #2,Closure,1993.0,Upstream,19.0,,,Significant,Candian Dam Association Consequence Classification,POINT (-79.223056 49.561333),https://tailing.grida.no/
TAIL-1687.0-2019-1,QC-MAIN-b86f7d07,2019,1687.0,Casa Berardi Cell #3,Inactive,1988.0,Centreline,7.0,,,Significant,Candian Dam Association Consequence Classification,POINT (-79.235528 49.560389),https://tailing.grida.no/
TAIL-375.0-2019-1,NT-MAIN-0ec39ce0,2019,375.0,PKC TSF,Active,2002.0,Modified Centreline,48.0,34025000,44300000,High,Canadian Dam Association (CDA) 2013,POINT (-110.31224 64.4914),https://tailing.grida.no/
