env_id,year,compartment_id,substance_id,unit,value,comment,main_id,facility_group_id,company_id,source_id
36395102,2023,CMPf3265e9fca,,co2e_100yr,576072.0024650502,,NL-MAIN-b64bae7a,,,"Jolleys, M. et al (2024). Mineral Extraction sector: Mining and Quarrying Emissions from Copper, Iron, Bauxite, Rock and Sand, Hypervine, UK, Climate TRACE Emissions Inventory"
npri-1568-2023-1,2023,CMP1718f4466d,SUB1c6e015419,tonnes,0.636,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-2,2023,CMP1718f4466d,SUB0cbc90a094,kg,0.116,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-3,2023,CMP1718f4466d,SUB642eab0862,tonnes,76.208,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-4,2023,CMP1718f4466d,SUB7e3f017a30,tonnes,0.00105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-5,2023,CMP1718f4466d,SUBd94d47b1d8,kg,0.18,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-6,2023,CMP1718f4466d,SUB71ee3dc4ca,tonnes,0.00105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-7,2023,CMP1718f4466d,SUB2dfd45248d,tonnes,0.098,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-8,2023,CMP1718f4466d,SUBc6f71d85ae,kg,0.29,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-9,2023,CMP1718f4466d,SUB60617760c1,tonnes,0.012,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-10,2023,CMP1718f4466d,SUBa72a30e847,tonnes,0.105,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-11,2023,CMP1718f4466d,SUB04af69acf0,tonnes,140.902,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-12,2023,CMP1718f4466d,SUBf71eab520e,tonnes,0.001,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-13,2023,CMP1718f4466d,SUBea8825f00e,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-14,2023,CMP1718f4466d,SUB95ce94acc5,tonnes,21.207,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
npri-1568-2023-15,2023,CMP1718f4466d,SUB3d85023c46,kg,0.008,,ON-MAIN-1f126a43,,,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html
