row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodity,reserves_resources,reserves_resources_type,ore,ore_unit,grade,grade_unit,metal_content,metal_content_unit,norm,recovery_rate,comment,source,Unnamed: 21
RES-d29e0839-2022-1,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,-,mining,Concentrator,Gold,Resources,Indicated,755000,Mt,7.14,g/t,173300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,
RES-d29e0839-2022-2,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,-,mining,Concentrator,Gold,Resources,Inferred,884000,Mt,8.74,g/t,248300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,
RES-e7e6a960-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Reserves,Proven,128454,kt,0.81,g/t,3333.0,kOz Au,,92.0,,2024_MRMR,
RES-e7e6a960-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Reserves,Probable ,666651,kt,0.73,g/t,15718.0,kOz Au,,92.0,,2024_MRMR,
RES-e7e6a960-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Measured,33923,kt,1.1,g/t,1201.0,kOz Au,,,,2024_MRMR,
RES-e7e6a960-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Indicated,661068,kt,0.69,g/t,14592.0,kOz Au,,,,2024_MRMR,
RES-e7e6a960-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Resources,Inferred,125335,kt,1.67,g/t,6742.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Reserves,Proven,1990,kt,6.37,g/t,407.0,kOz Au,,96.0,,2024_MRMR,
RES-aeafbb59-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Reserves,Probable ,17798,kt,5.17,g/t,2958.0,kOz Au,,96.0,,2024_MRMR,
RES-aeafbb59-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Measured,525,kt,4.53,g/t,76.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Indicated,13416,kt,3.8,g/t,1638.0,kOz Au,,,,2024_MRMR,
RES-aeafbb59-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,Resources,Inferred,11696,kt,5.92,g/t,2225.0,kOz Au,,,,2024_MRMR,
RES-1f126a43-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,40419,kt,0.52,g/t,680.0,kOz Au,,93.23333333333335,,2024_MRMR,
RES-1f126a43-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,87128,kt,2.43,g/t,6818.0,kOz Au,,93.23333333333335,,2024_MRMR,
RES-1f126a43-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,52873,kt,1.9,g/t,3232.0,kOz Au,,,,2024_MRMR,
RES-1f126a43-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Resources,Inferred,144334,kt,2.12,g/t,9857.0,kOz Au,,,,2024_MRMR,
RES-8b0264c9-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,6318,kt,1.34,g/t,273.0,kOz Au,,81.95,,2024_MRMR,
RES-8b0264c9-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,14085,kt,1.44,g/t,654.0,kOz Au,,81.95,,2024_MRMR,
RES-8b0264c9-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Resources,Measured,12360,kt,1.86,g/t,739.0,kOz Au,,,,2024_MRMR,
RES-8b0264c9-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,22270,kt,1.33,g/t,955.0,kOz Au,,,,2024_MRMR,
