main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
NL-MAIN-e09881ff,ZZ-IND-b3b69158,20698.52,20320.83
NL-MAIN-e09881ff,ZZ-IND-97d4f914,19157.02,18288.34
NL-MAIN-e09881ff,ZZ-IND-ee62704a,17924.97,13361.21
NS-MAIN-c9c77a59,ZZ-IND-3a92cd39,46826.81,46653.49
NS-MAIN-c9c77a59,ZZ-IND-f41013f4,47387.34,47106.98
NS-MAIN-c9c77a59,ZZ-IND-e97f67ea,47064.67,46785.95
NS-MAIN-c9c77a59,ZZ-IND-c77e156b,15347.22,14771.73
NS-MAIN-c9c77a59,ZZ-IND-27ea9935,32661.61,30812.9
NS-MAIN-c9c77a59,ZZ-IND-53f3425d,45468.93,41998.44
NS-MAIN-c9c77a59,ZZ-IND-04bc8200,48689.34,47529.28
NS-MAIN-baf0bfbd,ZZ-IND-68d7cac9,33806.7,32843.46
NS-MAIN-baf0bfbd,ZZ-IND-6174d8cf,27184.46,26989.48
NS-MAIN-baf0bfbd,ZZ-IND-afb5e107,29257.53,28168.93
NS-MAIN-fb4e8e94,ZZ-IND-4445cd31,9794.97,9324.86
NS-MAIN-fb4e8e94,ZZ-IND-9446ced6,10559.47,10127.7
NS-MAIN-fb4e8e94,ZZ-IND-9a0907c8,12231.49,11409.99
NS-MAIN-fb4e8e94,ZZ-IND-ba6f24aa,16767.6,15503.45
QC-MAIN-e82266c5,ZZ-IND-5388e2c9,51004.67,46795.58
QC-MAIN-b8c826a2,ZZ-IND-b3b69158,47312.74,47007.46
QC-MAIN-b8c826a2,ZZ-IND-97d4f914,46317.64,45388.7
QC-MAIN-b8c826a2,ZZ-IND-ee62704a,40861.28,33895.89
QC-MAIN-f9e41c2a,ZZ-IND-7424c57e,29058.27,28371.77
QC-MAIN-dc1a16f9,ZZ-IND-a8bafff3,31086.41,30142.8
QC-MAIN-c0660aec,ZZ-IND-7424c57e,39138.27,38419.21
QC-MAIN-9de9bb0d,ZZ-IND-7424c57e,42224.31,41425.82
QC-MAIN-e51eda66,ZZ-IND-a8bafff3,44790.27,43357.84
QC-MAIN-02884fb5,ZZ-IND-a8bafff3,47413.13,45954.46
ON-MAIN-1f126a43,ZZ-IND-fac37b97,43357.4,39629.09
ON-MAIN-1f126a43,ZZ-IND-8b67f32a,53336.29,44461.15
ON-MAIN-4e0734b5,ZZ-IND-8b67f32a,27903.32,24102.1
