prod_id,year,geography,commodity,reference_point,material_type,data_type,unit,value,value_tonnes,comment,main_id,facility_group_id,company_id,source_id
PROD-1f126a43-2023-1,2023,Canada,Ore,2,Ore processed,Production,t,19594928.0,19594928.0,,ON-MAIN-1f126a43,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-1f126a44-2023-1,2023,Canada,Gold,4,Intermediate metal,Production,oz,684640.0,21.294700239999997,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",ON-MAIN-1f126a44,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-1f126a45-2023-1,2023,Canada,Silver,4,Intermediate metal,Production,koz,310.0,9.642085,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",ON-MAIN-1f126a45,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-e7e6a960-2023-1,2023,Canada,Gold,2,Ore processed,Production,t,25434853.5024164,25434853.5024164,,QC-MAIN-e7e6a960,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-e7e6a963-2023-1,2023,Canada,Gold,4,Intermediate metal,Production,oz,677446.0,21.070941661,Like intermediate metal,QC-MAIN-e7e6a963,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-e7e6a964-2023-1,2023,Canada,Silver,4,Intermediate metal,Production,koz,79.0,2.4571765,Like intermediate metal,QC-MAIN-e7e6a964,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-8b0264c9-2023-1,2023,Canada,Ore,2,Ore processed,Production,t,2886927.3287239997,2886927.3287239997,,NU-MAIN-8b0264c9,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-8b0264c9-2023-2,2023,Canada,Gold,4,Intermediate metal,Production,oz,140982.567105,4.385051275950367,,NU-MAIN-8b0264c9,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-8b0264c9-2023-3,2023,Canada,Silver,4,Intermediate metal,Production,koz,2.0,0.062207,,NU-MAIN-8b0264c9,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-8b0264c9-2023-4,2023,Canada,Zinc,3,Concentrate,Production,t,39.036758,39.036758,,NU-MAIN-8b0264c9,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-730aefe3-2023-1,2023,Canada,Ore,2,Ore processed,Production,t,441588.0,441588.0,,NU-MAIN-730aefe3,-,,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
