row_id,population_id,main_id,name,year,buffer_size,total_population,geometry
landcover-251d6364-2025-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,2025,10km,1.3389600628865974,POINT (-55.196 48.715909)
landcover-251d6364-2025-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,2025,50km,25427.321333352997,POINT (-55.196 48.715909)
landcover-251d6364-2030-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,2030,10km,1.3370795484066156,POINT (-55.196 48.715909)
landcover-251d6364-2030-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,2030,50km,25395.873456549973,POINT (-55.196 48.715909)
landcover-842ba1b4-2025-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,2025,10km,0.0,POINT (-55.7753 49.845)
landcover-842ba1b4-2025-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,2025,50km,0.0,POINT (-55.7753 49.845)
landcover-842ba1b4-2030-1,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,2030,10km,0.0,POINT (-55.7753 49.845)
landcover-842ba1b4-2030-2,NL-MAIN-842ba1b4,NL-MAIN-842ba1b4,Nugget Pond,2030,50km,0.0,POINT (-55.7753 49.845)
landcover-c139de6d-2025-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,2025,10km,1434.7724768171124,POINT (-56.087 49.915)
landcover-c139de6d-2025-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,2025,50km,0.0,POINT (-56.087 49.915)
landcover-c139de6d-2030-1,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,2030,10km,1432.1725782574172,POINT (-56.087 49.915)
landcover-c139de6d-2030-2,NL-MAIN-c139de6d,NL-MAIN-c139de6d,Ming,2030,50km,0.0,POINT (-56.087 49.915)
landcover-f021107e-2025-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,2025,10km,1742.4047742485309,POINT (-56.124447 49.96142)
landcover-f021107e-2025-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,2025,50km,0.0,POINT (-56.124447 49.96142)
landcover-f021107e-2030-1,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,2030,10km,1739.5960330212092,POINT (-56.124447 49.96142)
landcover-f021107e-2030-2,NL-MAIN-f021107e,NL-MAIN-f021107e,Point Rousse,2030,50km,0.0,POINT (-56.124447 49.96142)
landcover-2d8801d6-2025-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,2025,10km,0.0,POINT (-62.090855 56.331659)
landcover-2d8801d6-2025-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,2025,50km,0.0,POINT (-62.090855 56.331659)
landcover-2d8801d6-2030-1,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,2030,10km,0.0,POINT (-62.090855 56.331659)
landcover-2d8801d6-2030-2,NL-MAIN-2d8801d6,NL-MAIN-2d8801d6,Voisey’s Bay,2030,50km,0.0,POINT (-62.090855 56.331659)
