main_id,facility_name,jung_priority_point,jung_priority_mean_50km,source_id,geometry
SK-MAIN-91cf5448,Cigar Lake,35.72639285821945,30.4,https://doi.org/10.5281/zenodo.5006332,POINT (-104.54123 58.06819)
SK-MAIN-bb89158f,Key Lake,23.60450137430375,26.35,https://doi.org/10.5281/zenodo.5006332,POINT (-105.647 57.207)
SK-MAIN-d3c471e8,McArthur River,36.661117842485865,30.70886075949367,https://doi.org/10.5281/zenodo.5006332,POINT (-105.053 57.7637)
ON-MAIN-237587f6,Port Hope,49.0,43.12765957446808,https://doi.org/10.5281/zenodo.5006332,POINT (-78.2943 43.9429)
ON-MAIN-4c5c1179,Crawford,22.90045171594238,21.556962025316455,https://doi.org/10.5281/zenodo.5006332,POINT (-81.37309 48.83972)
NB-MAIN-8e04eb21,Murray Brook,26.207795684914434,28.189873417721518,https://doi.org/10.5281/zenodo.5006332,POINT (-66.43167 47.52528)
ON-MAIN-37e9571e,Thierry,25.83437793924517,20.01298701298701,https://doi.org/10.5281/zenodo.5006332,POINT (-90.34694 51.49667)
NB-MAIN-3e7d42ac,Woodstock,23.703697615707508,26.08974358974359,https://doi.org/10.5281/zenodo.5006332,POINT (-67.64 46.18)
NU-MAIN-eae1621e,Ferguson Lake,32.60721039548803,28.76923076923077,https://doi.org/10.5281/zenodo.5006332,POINT (-96.83306 62.87306)
QC-MAIN-5ce331b8,Nunavik Nickel,18.437037789262188,54.15384615384615,https://doi.org/10.5281/zenodo.5006332,POINT (-74.1375 61.420856)
BC-MAIN-eba3e309,Golden Crown,53.648017161838425,53.57692307692308,https://doi.org/10.5281/zenodo.5006332,POINT (-118.59 49.09)
BC-MAIN-e34feb4d,Kemess,42.51050154613637,35.282051282051285,https://doi.org/10.5281/zenodo.5006332,POINT (-126.77117 57.05037)
BC-MAIN-ed23117f,Mount Milligan,25.340064658899397,26.615384615384617,https://doi.org/10.5281/zenodo.5006332,POINT (-124.031 55.118)
QC-MAIN-089f3c60,Bloom Lake,28.37614210361152,22.151898734177216,https://doi.org/10.5281/zenodo.5006332,POINT (-67.28 52.84)
NL-MAIN-251d6364,Beaver Brook,34.01854403721548,31.2375,https://doi.org/10.5281/zenodo.5006332,POINT (-55.196 48.715909)
ON-MAIN-be399420,Thunder Bay North,34.888594436799224,32.62162162162162,https://doi.org/10.5281/zenodo.5006332,POINT (-88.931 48.79)
QC-MAIN-3330383b,Eldor (Ashram),36.705445313014934,35.79746835443038,https://doi.org/10.5281/zenodo.5006332,POINT (-68.40417 56.94583)
MB-MAIN-6fca9d6d,Lynn Lake,22.624738349799305,17.025316455696203,https://doi.org/10.5281/zenodo.5006332,POINT (-101.03486 56.85217)
QC-MAIN-d4e2812a,Rose,22.873054782222688,21.743589743589745,https://doi.org/10.5281/zenodo.5006332,POINT (-76.172 52.022485)
AB-MAIN-9a0307f6,SBH Black Shale,34.65921369686075,37.6025641025641,https://doi.org/10.5281/zenodo.5006332,POINT (-111.90375 57.68711)
QC-MAIN-715d4318,Horizon,37.44520814787847,33.44871794871795,https://doi.org/10.5281/zenodo.5006332,POINT (-73.450825 45.57462)
NT-MAIN-94e652a5,Gahcho Kué,46.750773766761995,44.72727272727273,https://doi.org/10.5281/zenodo.5006332,POINT (-109.21194 63.44528)
BC-MAIN-382acb18,Wicheeda,17.48939618229807,22.756410256410255,https://doi.org/10.5281/zenodo.5006332,POINT (-122.09912 54.53141)
SK-MAIN-4aef3cb2,Waterbury,29.6178654223846,27.5,https://doi.org/10.5281/zenodo.5006332,POINT (-104.03032 58.3478)
SK-MAIN-95ec2625,Wheeler River,25.899954337686378,27.72972972972973,https://doi.org/10.5281/zenodo.5006332,POINT (-105.38137 57.50888)
BC-MAIN-51068f3b,Kitsault Valley,49.62683843160713,37.607594936708864,https://doi.org/10.5281/zenodo.5006332,POINT (-129.57778 55.75361)
AB-MAIN-7d4a0421,Bashaw District,66.35081039678343,58.949367088607595,https://doi.org/10.5281/zenodo.5006332,POINT (-113.93655 51.77696)
QC-MAIN-f9e41c2a,Lamaque,21.088353384340657,21.39240506329114,https://doi.org/10.5281/zenodo.5006332,POINT (-77.739624 48.079221)
ON-MAIN-6664e89b,Battery Materials Park,36.584026861843576,32.81012658227848,https://doi.org/10.5281/zenodo.5006332,POINT (-79.62229 47.40635)
QC-MAIN-5398dfac,Elkem Chicoutimi,32.99824386393493,24.776315789473685,https://doi.org/10.5281/zenodo.5006332,POINT (-71.131239 48.412769)
QC-MAIN-2cf66e65,Becancour Plant,33.11392418320006,30.28205128205128,https://doi.org/10.5281/zenodo.5006332,POINT (-72.433334 46.333332)
ON-MAIN-7f050560,Red Lake,25.304299109307504,19.569620253164558,https://doi.org/10.5281/zenodo.5006332,POINT (-93.732922 51.050557)
SK-MAIN-26b9aaf3,EVRAZ Regina,62.87770796154496,65.09210526315789,https://doi.org/10.5281/zenodo.5006332,POINT (-104.623843 50.515263)
QC-MAIN-c1cc9f7c,Becancour Silicon,32.0,29.11392405063291,https://doi.org/10.5281/zenodo.5006332,POINT (-72.39 46.37)
NL-MAIN-c139de6d,Ming,43.44428841033954,49.36065573770492,https://doi.org/10.5281/zenodo.5006332,POINT (-56.087 49.915)
NL-MAIN-842ba1b4,Nugget Pond,55.62901970724892,54.26,https://doi.org/10.5281/zenodo.5006332,POINT (-55.7753 49.845)
