indigenous_land_id,Name,Category,Data_Src,Data_Date,longitude,latitude
ZZ-IND-65515118,Nicola Lake 1,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2012-09-05,-13409682.855988646,6482531.008360065
ZZ-IND-822586b0,Piikani Reserve,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2012-09-05,-12651281.719107948,6375071.124283616
ZZ-IND-cf5cc3a8,Suwannee Lake Indian Reserve 09924,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-05-30,-11147225.239561895,7586467.619640702
ZZ-IND-d4241875,Chitek Lake I.r. 191,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-09-09,-11997242.97527123,7113774.0054939715
ZZ-IND-ee5d19c4,Couchiching Indian Reserve No. 16a,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-09-09,-10400109.203756465,6221741.059970515
ZZ-IND-e2d6e68b,Chippewa Of The Thames First Nation Indian Reserve No. 42,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-11-04,-9070083.800614221,5283349.261709673
ZZ-IND-e369758a,Marble Canyon 3,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-11-04,-13543560.9939412,6589352.963805817
ZZ-IND-d4f462d4,Cowessess No. 73,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-12-05,-11429351.839183144,6547951.745540791
ZZ-IND-d44169d6,Wahta Mohawk Territory,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-12-05,-8875784.273495344,5623403.796754278
ZZ-IND-d2affa9a,Beardy's & Okemasis I.r. 96 & 97a,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2013-12-05,-11617536.925770998,6737210.104150494
ZZ-IND-5410db44,Carrier Lake 15,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13791297.291889885,7269486.013007778
ZZ-IND-daf280fa,Alexis Creek 26,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13851628.269718096,6854242.2211168
ZZ-IND-6e124d2b,Lawanth 5,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14124260.982620597,6611674.51366579
ZZ-IND-b4f17170,Soda Creek 1,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13610657.927456986,6859259.069714033
ZZ-IND-dbe38489,Attawapiskat Indian Reserve No. 91,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-9385323.334979815,7088485.787890281
ZZ-IND-fbe93468,Poundmaker I.r. 114-22,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-12180709.151241237,6952477.874806901
ZZ-IND-479a3661,Tatla't East 2,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14080409.098338421,7167547.494375499
ZZ-IND-5ee4074b,Fond Du Lac I.r. 229,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11988689.993687663,8275333.142319545
ZZ-IND-0d1d2d3d,Nuchatl 2,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14133884.843515577,6412098.38824275
ZZ-IND-ef7165c6,Neekas 4,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14266816.103398506,6886194.778069095
ZZ-IND-b4b85b16,Toksee 4,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14175480.732245142,6662525.117759525
ZZ-IND-11bf1823,Muskowekwan I.r. 85-9,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11579559.481021963,6686392.077122075
ZZ-IND-b49512db,Swan 35,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14056563.953160383,6335943.310331392
ZZ-IND-384f4d69,Potato Point 3,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13898993.056333331,6608389.293333335
ZZ-IND-7918201a,Wa-pii-moos-toosis I.r. 83a,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11545135.904321203,6578957.926826256
ZZ-IND-f60e9c44,Sheraton Creek 19,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13969388.837151002,7204587.431037176
ZZ-IND-3a27fc34,Poundmaker I.r. 114-1a,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-12134932.192468677,6986664.646865262
ZZ-IND-463669c7,Gold River Indian Reserve No. 21,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-7162987.805298528,5552333.2295231335
ZZ-IND-3b1ad3bd,Piapot Cree First Nation I.r. 75i,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11665812.578085909,6420986.801886796
ZZ-IND-91a6b744,Marktosis 15,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14032777.7094929,6322057.613548621
ZZ-IND-a2eca0d8,Taleomy 3,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14100952.218340863,6803907.650656586
ZZ-IND-98cd6afe,Nazco 20,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13757342.93435379,6974539.681662414
ZZ-IND-91c69432,Tankeah 5,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14277597.754337188,6855321.987540223
ZZ-IND-4acece74,Buctouche Indian Reserve No. 16,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-7208826.940167396,5852969.137381674
ZZ-IND-48ac0286,Kadis 11,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14130254.239568856,6592586.946113937
ZZ-IND-69a5f9ea,Opaskwayak Cree Nation 21e,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11277388.275574483,7145586.841828743
ZZ-IND-7b6b335b,Lower Kootenay 1c,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-12977976.63362438,6291112.2332095895
ZZ-IND-8eca40bb,Opaskwayak Cree Nation Root Lake 231,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11282782.100271057,7169854.6792812385
ZZ-IND-a64c90e6,Shingle Point 4,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13763270.808657592,6281873.72694029
ZZ-IND-e1bd90fe,Yellow Girl Bay Indian Reserve No. 32b,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-10485746.895323465,6360393.852874521
ZZ-IND-e2a2cf36,Big Joe's Meadow 7,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13650093.014583634,6878557.834301193
ZZ-IND-92f2d16a,Moosomin Indian Reserve No. 112s,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-12206177.685965285,6996071.888100719
ZZ-IND-2180151d,Cape Mudge 10,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13936017.3853529,6448486.794184715
ZZ-IND-ed50b7b8,Wikwemikong Unceded Indian Reserve No. 26,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-9100875.870055325,5730587.034320605
ZZ-IND-c8244aa0,Carry The Kettle Nakoda First Nation No. 76-21,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-11520422.879469423,6523558.027748264
ZZ-IND-540ad091,Blind Creek 6a,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13331167.018966667,6307658.252766669
ZZ-IND-38a2371f,Semiahmoo,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13666524.528321078,6276999.940787317
ZZ-IND-db66cd4e,Hoonees 2,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14245622.951832026,6857538.946918803
ZZ-IND-f2d875ed,Kaste 6,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-14671609.77164655,7012713.03531579
ZZ-IND-69c9ba2b,High Bar 2,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13578004.711182417,6634691.832255045
ZZ-IND-a9e7301b,Sas Mighe 32,Indian Reserve,"Natural Resources Canada, Earth Sciences Sector, Surveyor General Branch",2015-01-05,-13658613.967872582,7266735.7656795
