main_id,name,longitude,latitude,geometry,peatland_presence
ON-MAIN-af364a50-1,Timmins West,-81.549826,48.383275,POINT (-81.549826 48.383275),No data
ON-MAIN-f22b9058-1,Sugar Zone,-85.00401,48.80496,POINT (-85.00401 48.80496),No data
SK-MAIN-fb71dcba-1,Santoy,-103.414571,55.66778,POINT (-103.414571 55.66778),No data
SK-MAIN-409d52eb-1,Seabee,-103.622257,55.683772,POINT (-103.622257 55.683772),No data
NS-MAIN-7611a9c0-1,Moose River Consolidated,-62.94292,44.98243,POINT (-62.94292 44.98243),No data
YT-MAIN-24f21978-1,Eagle (Dublin Gulch),-135.8456,64.0322,POINT (-135.8456 64.0322),No data
ON-MAIN-d0063de8-1,Eagle River,-85.4619,47.9861,POINT (-85.4619 47.9861),No data
QC-MAIN-918440f1-1,Kiena,-77.91,48.12,POINT (-77.91 48.12),No data
ON-MAIN-36212738-1,Mishi,-85.4525,48.11028,POINT (-85.4525 48.11028),No data
QC-MAIN-efc41be6-1,Sleeping Giant,-77.97434,49.13259,POINT (-77.97434 49.13259),peat in soil mosaic
QC-MAIN-b1e99caf-1,Canadian Malartic,-78.130824,48.122223,POINT (-78.130824 48.122223),No data
QC-MAIN-547f4bc7-1,Goldex,-77.8733,48.0926,POINT (-77.8733 48.0926),peat in soil mosaic
ON-MAIN-efe5148b-1,Macassa,-80.071637,48.142528,POINT (-80.071637 48.142528),No data
ON-MAIN-cb6d25a5-1,Magino,-84.45744,48.28869,POINT (-84.45744 48.28869),No data
ON-MAIN-578ec529-1,Red Lake,-93.732922,51.050557,POINT (-93.732922 51.050557),peat in soil mosaic
QC-MAIN-e3cedb7d-1,Casa Berardi,-79.231307,49.5719,POINT (-79.231307 49.5719),peat in soil mosaic
QC-MAIN-20601058-1,Westwood-Doyon,-78.502,48.256,POINT (-78.502 48.256),No data
ON-MAIN-bfbfae34-1,Rainy River,-94.012,48.833,POINT (-94.012 48.833),peat in soil mosaic
BC-MAIN-6709f0d0-1,Brucejack,-130.21783,56.47554,POINT (-130.21783 56.47554),No data
ON-MAIN-46afc5a3-1,Musselwhite,-90.3636,52.6127,POINT (-90.3636 52.6127),peat in soil mosaic
MB-MAIN-8f99fefb-1,New Britannia,-100.024002,54.886349,POINT (-100.024002 54.886349),peat in soil mosaic
BC-MAIN-e6cded7f-1,Mount Polley,-121.633931,52.544959,POINT (-121.633931 52.544959),No data
BC-MAIN-bc178f67-1,New Afton,-120.514,50.661,POINT (-120.514 50.661),No data
BC-MAIN-95797c9b-1,Red Chris,-129.78333,57.7,POINT (-129.78333 57.7),No data
MB-MAIN-1136efa4-1,Stall Lake,-99.9451,54.85692,POINT (-99.9451 54.85692),peat in soil mosaic
MB-MAIN-fd93bf0f-1,Lalor Lake,-100.13333,54.86667,POINT (-100.13333 54.86667),peat in soil mosaic
QC-MAIN-44440aa8-1,LaRonde,-78.428,48.2516,POINT (-78.428 48.2516),No data
BC-MAIN-0910057b-1,Brule,-121.832,55.398,POINT (-121.832 55.398),No data
BC-MAIN-963c4503-1,Willow Creek,-122.2222,55.607,POINT (-122.2222 55.607),No data
BC-MAIN-e24a35ee-1,Wolverine,-121.2453,55.0861,POINT (-121.2453 55.0861),No data
AB-MAIN-7ae40bd3-1,Grande Cache,-119.1667,54.0333,POINT (-119.1667 54.0333),No data
BC-MAIN-9ae2b136-1,Elkview,-114.805,49.7431,POINT (-114.805 49.7431),No data
