row_id,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodities_nrcan,deposit_type,mining_depth,mining_method,processing_method,source,source_id
ARCH-d29e0839-1,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,-,mining,Concentrator,"Gold, silver",VMS,,"Shrinkage stoping
Room-and-pillar
Longhole stoping",,MDO,SRC_AbcourtMinesInc_MDO
ARCH-1f126a43-1,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,mining,"Underground, concentrator","Gold, silver",Disseminated gold deposit,,"Open pit, conventional truck and shovel; remote-controlled shovels, drills, and dozers used in legacy underground mining areas​","Conventional crushing, grinding, gravity concentration, cyanide leaching, and carbon-in-pulp recovery​",TR_2021,SRC_AgnicoEagleMinesLimited_TR_2021
ARCH-e7e6a960-1,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,mining,"Open-pit, concentrator",Gold,Disseminated and structurally controlled lode gold deposit​,,"Open pit, conventional truck and shovel method","Crushing, grinding, gravity concentration, cyanide leaching, and carbon-in-pulp (CIP) circuit​",TR_2021,SRC_AgnicoEagleMinesLimited_TR_2021
ARCH-8b0264c9-1,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,mining,"Underground, concentrator","Gold, silver","Vein / narrow vein
Skarn
Hydrothermal",,"Truck & Shovel / Loader
Longhole stoping",,MDO,SRC_AgnicoEagleMinesLimited_MDO
ARCH-4ea8ac9d-1,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,-,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Polymetallic massive sulphide and lode gold deposit,,"Longitudinal and transverse longhole open stoping methods, primary-secondary or pillarless mining sequences, and paste backfill​",,TR_2023,SRC_AgnicoEagleMinesLimited_TR_2023
ARCH-730aefe3-1,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,-,mining,Concentrator,"Gold, silver","Vein / narrow vein
Breccia pipe / Stockwork",,"Longhole stoping
Mechanized Cut & Fill
Underhand Cut & Fill
Overhand Cut & Fill",x,MDO,SRC_AgnicoEagleMinesLimited_MDO
ARCH-GRP-0a2c0d69-1,Agnico Eagle Mines Limited,Meadowbank complex,-,GRP-0a2c0d69,mining,"Open-pit, concentrator",Gold,"Mesothermal lode-gold mineralization (including hybrid, stratiform, and vein-type iron-formation-hosted gold deposits)​",-,Open pit truck and shovel methods; selective mining within ore zones,"Primary and secondary crushing, semi-autogenous grinding (SAG), ball mill, gravity concentration, cyanide leaching, and carbon-in-pulp (CIP)​",TR_2018,SRC_AgnicoEagleMinesLimited_TR_2018
ARCH-aeafbb59-1,Agnico Eagle Mines Limited,Meliadine,ON-MAIN-aeafbb59,-,mining,"Underground, concentrator",Gold,"Mesothermal lode gold deposits, primarily iron-formation-hosted",,"Long-hole mining method (both transverse and longitudinal mining); Cemented pastefill in primary stopes, rockfill in secondary stopes",,TR_2023,SRC_AgnicoEagleMinesLimited_TR_2023
ARCH-7607a50e-1,Alamos Gold Inc,Island,ON-MAIN-7607a50e,-,mining,"Underground, concentrator",Gold,Vein / narrow vein,,"Longitudinal open stoping
Longhole open stoping
Transverse open stoping",,MDO,SRC_AlamosGoldInc_MDO
ARCH-687b8c8d-1,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,-,mining,"Underground, concentrator",Gold,"Intrusion related
Syenite hosted",,"Longitudinal stoping
Transverse stoping",,MDO,SRC_AlamosGoldInc_MDO
