main_id,name,indicator,value,year,scenario,geometry
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2020,baseline,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2020,baseline,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Groundwater Table Decline Label,Low (<0 cm/y),2020,baseline,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Coastal Eutrophication Potential Label,Low - Medium (-5 to 0),2020,baseline,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2030,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2030,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2030,pes,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2030,pes,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2030,opt,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2030,opt,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2050,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2050,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Stress Label,Low (<10%),2050,pes,POINT (-135.4833 63.9167)
YT-MAIN-ab926389-1,Keno Hill Silver District,Water Depletion Label,Low (<5%),2050,pes,POINT (-135.4833 63.9167)
