main_id,facility_name,reported_company,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source,source_df,geometry,cluster_id
QC-MAIN-5801b453,Abcourt-Barvue,Abcourt Mines Inc.,-77.67901,48.52154,,Quebec,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, silver",,nrcan_critical_df,POINT (1266125.694144 120209.640134),0
QC-MAIN-d29e0839,Sleeping Giant,Abcourt Mines Inc.,-77.97434,49.13259,north of Amos,Quebec,active_facility,,,mining,Concentrator,Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1227075.587525 179956.966546),1
QC-MAIN-f1ff4920,Akasaba West,Agnico Eagle Mines Limited,-77.58,48.04,,Quebec,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (1287705.022274 70489.379399),2
NU-MAIN-4ea8ac9d,Amaruq,Agnico Eagle Mines Limited,-96.697,65.415,Baker Lake,Nunavut,active_facility,,,mining,"Open-pit, underground",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-76411.705195 1790828.006583),No cluster
QC-MAIN-e7e6a960,Canadian Malartic,Agnico Eagle Mines Limited,-78.130824,48.122223,Malartic,Quebec,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1245557.716157 68365.16292),2
ON-MAIN-aeafbb59,Detour Lake,Agnico Eagle Mines Limited,-79.717631,50.018143,Northeast of Cochrane,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (1080616.478023 243464.389162),3
QC-MAIN-c0660aec,Goldex,Agnico Eagle Mines Limited,-77.8733,48.0926,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1264993.502609 70259.206193),2
QC-MAIN-e51eda66,LaRonde,Agnico Eagle Mines Limited,-78.428,48.2516,Preissac,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, zinc, copper, silver, cadmium",,nrcan_mining_df,POINT (1220400.87327 76541.161643),4
ON-MAIN-1f126a43,Macassa,Agnico Eagle Mines Limited,-80.071637,48.142528,Kirkland Lake area,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (1104546.036526 34703.459587),5
NU-MAIN-730aefe3,Meadowbank,Agnico Eagle Mines Limited,-96.071313,65.0199956,Baker Lake,Nunavut,active_facility,,,mining,Concentrator,Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-48961.205076 1747518.920397),6
NU-MAIN-8b0264c9,Meliadine,Agnico Eagle Mines Limited,-92.220206,63.031529,Rankin Inlet,Nunavut,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (136397.153884 1535177.170149),7
MB-MAIN-5d21dbd5,Monument Bay,Agnico Eagle Mines Limited,-92.914016,54.446415,,Manitoba,project_facility,Active,Advanced project,project,,,Gold,"Gold, tungsten",,nrcan_critical_df,POINT (132924.257778 602481.929231),No cluster
ON-MAIN-74997012,Upper Beaver,Agnico Eagle Mines Limited,-79.76,48.16,,Ontario,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (1126703.096286 42064.22431),No cluster
ON-MAIN-687b8c8d,Island,Alamos Gold Inc.,-84.449604,48.285667,Dubreuilville,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (781590.447458 -14576.886336),8
ON-MAIN-7607a50e,Young-Davidson,Alamos Gold Inc.,-80.67444,47.94667,Matachewan,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (1065599.815306 3134.546759),9
QC-MAIN-52c01ae4,Baie-Comeau,Alcoa Corporation,-68.1491,49.2562,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (1895224.104156 434554.886683),No cluster
QC-MAIN-eac5a52b,Deschambault,Alcoa Corporation,-71.9467,46.6939,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure),Aluminum (pure),,nrcan_manufacturing_df,POINT (1741498.655151 61484.159298),No cluster
QC-MAIN-81a288d0,Elysis,Alcoa Corporation / Rio Tinto Aluminum Inc.,-71.17565,48.43214,,Quebec,project_facility,Active,Advanced processing project,project,,,Aluminum,Aluminum,,nrcan_critical_df,POINT (1725922.634485 263845.306384),10
QC-MAIN-c8966bdc,Bécancour,Alcoa Corporation and Rio Tinto Aluminum Inc.,-72.3852,46.381,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),,nrcan_manufacturing_df,POINT (1722027.794385 16645.3431),11
