row_id,land_cover_id,main_id,name,year,modis_land_cover,esa_land_cover
landcover-5801b453-2021-1,QC-MAIN-5801b453,QC-MAIN-5801b453,Abcourt-Barvue,2021,Woody Savannas,Built-up
landcover-d29e0839-2021-1,QC-MAIN-d29e0839,QC-MAIN-d29e0839,Sleeping Giant,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-f1ff4920-2021-1,QC-MAIN-f1ff4920,QC-MAIN-f1ff4920,Akasaba West,2021,Woody Savannas,Tree Cover
landcover-4ea8ac9d-2021-1,NU-MAIN-4ea8ac9d,NU-MAIN-4ea8ac9d,Amaruq,2021,Grasslands,Moss & Lichen
landcover-e7e6a960-2021-1,QC-MAIN-e7e6a960,QC-MAIN-e7e6a960,Canadian Malartic,2021,Grasslands,Bare/Sparse Vegetation
landcover-aeafbb59-2021-1,ON-MAIN-aeafbb59,ON-MAIN-aeafbb59,Detour Lake,2021,Grasslands,Bare/Sparse Vegetation
landcover-c0660aec-2021-1,QC-MAIN-c0660aec,QC-MAIN-c0660aec,Goldex,2021,Grasslands,Tree Cover
landcover-e51eda66-2021-1,QC-MAIN-e51eda66,QC-MAIN-e51eda66,LaRonde,2021,Mixed Forests,Built-up
landcover-1f126a43-2021-1,ON-MAIN-1f126a43,ON-MAIN-1f126a43,Macassa,2021,Savannas,Built-up
landcover-730aefe3-2021-1,NU-MAIN-730aefe3,NU-MAIN-730aefe3,Meadowbank,2021,Grasslands,Bare/Sparse Vegetation
landcover-8b0264c9-2021-1,NU-MAIN-8b0264c9,NU-MAIN-8b0264c9,Meliadine,2021,Grasslands,Bare/Sparse Vegetation
landcover-5d21dbd5-2021-1,MB-MAIN-5d21dbd5,MB-MAIN-5d21dbd5,Monument Bay,2021,Woody Savannas,Permanent Water Bodies
landcover-74997012-2021-1,ON-MAIN-74997012,ON-MAIN-74997012,Upper Beaver,2021,Mixed Forests,Tree Cover
landcover-687b8c8d-2021-1,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,2021,Woody Savannas,Bare/Sparse Vegetation
landcover-7607a50e-2021-1,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,2021,Woody Savannas,Built-up
landcover-52c01ae4-2021-1,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,2021,Urban & Built-up,Built-up
landcover-eac5a52b-2021-1,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,2021,Mixed Forests,Built-up
landcover-81a288d0-2021-1,QC-MAIN-81a288d0,QC-MAIN-81a288d0,Elysis,2021,Urban & Built-up,Built-up
landcover-c8966bdc-2021-1,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,2021,Urban & Built-up,Built-up
landcover-eab8c362-2021-1,ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,2021,Urban & Built-up,Bare/Sparse Vegetation
landcover-8c7063b2-2021-1,QC-MAIN-8c7063b2,QC-MAIN-8c7063b2,James Bay Lithium,2021,Open Shrublands,Tree Cover
landcover-3ef4f421-2021-1,BC-MAIN-3ef4f421,BC-MAIN-3ef4f421,Avanti Kitsault,2021,Evergreen Needleleaf Forest,Grassland
landcover-9fed34a8-2021-1,AB-MAIN-9fed34a8,AB-MAIN-9fed34a8,AltaSteel,2021,Grasslands,Built-up
landcover-9e0c4fb2-2021-1,NB-MAIN-9e0c4fb2,NB-MAIN-9e0c4fb2,AIM Recycling Atlantic,2021,Urban & Built-up,Built-up
landcover-9623499f-2021-1,ON-MAIN-9623499f,ON-MAIN-9623499f,AIM Recycling Hamilton,2021,Urban & Built-up,Built-up
landcover-abe563b5-2021-1,QC-MAIN-abe563b5,QC-MAIN-abe563b5,AIM Recycling La Prairie,2021,Urban & Built-up,Built-up
landcover-a1159813-2021-1,QC-MAIN-a1159813,QC-MAIN-a1159813,AIM Recycling Laval,2021,Savannas,Built-up
