row_id,water_risk_id,main_id,name,indicator,value,year,scenario
water_risk-251d6364-2020-baseline-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2020,baseline
water_risk-251d6364-2020-baseline-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2020,baseline
water_risk-251d6364-2020-baseline-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline
water_risk-251d6364-2020-baseline-4,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Groundwater Table Decline Label,Insignificant Trend,2020,baseline
water_risk-251d6364-2020-baseline-5,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline
water_risk-251d6364-2030-bau-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2030,bau
water_risk-251d6364-2030-bau-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2030,bau
water_risk-251d6364-2030-bau-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau
water_risk-251d6364-2030-pes-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2030,pes
water_risk-251d6364-2030-pes-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2030,pes
water_risk-251d6364-2030-pes-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes
water_risk-251d6364-2030-opt-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2030,opt
water_risk-251d6364-2030-opt-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2030,opt
water_risk-251d6364-2030-opt-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt
water_risk-251d6364-2050-bau-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2050,bau
water_risk-251d6364-2050-bau-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2050,bau
water_risk-251d6364-2050-bau-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau
water_risk-251d6364-2050-pes-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2050,pes
water_risk-251d6364-2050-pes-2,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Depletion Label,Low (<5%),2050,pes
water_risk-251d6364-2050-pes-3,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes
water_risk-251d6364-2050-opt-1,NL-MAIN-251d6364,NL-MAIN-251d6364,Beaver Brook,Water Stress Label,Low (<10%),2050,opt
