row_id,population_id,main_id,name,year,buffer_size,total_population
population-74997012-2030-2,ON-MAIN-74997012,ON-MAIN-74997012,Upper Beaver,2030,50km,25368.758540779418
population-687b8c8d-2025-1,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,2025,10km,86.88008238958633
population-687b8c8d-2025-2,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,2025,50km,4180.965277757278
population-687b8c8d-2030-1,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,2030,10km,89.3484395023125
population-687b8c8d-2030-2,ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,2030,50km,4312.2188655648915
population-7607a50e-2025-1,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,2025,10km,301.6788492500782
population-7607a50e-2025-2,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,2025,50km,2700.552721022227
population-7607a50e-2030-1,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,2030,10km,310.8264129664749
population-7607a50e-2030-2,ON-MAIN-7607a50e,ON-MAIN-7607a50e,Young-Davidson,2030,50km,2786.3023921346125
population-52c01ae4-2025-1,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,2025,10km,0.0
population-52c01ae4-2025-2,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,2025,50km,0.0
population-52c01ae4-2030-1,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,2030,10km,0.0
population-52c01ae4-2030-2,QC-MAIN-52c01ae4,QC-MAIN-52c01ae4,Baie-Comeau,2030,50km,0.0
population-eac5a52b-2025-1,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,2025,10km,10253.559233054419
population-eac5a52b-2025-2,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,2025,50km,375107.2588208292
population-eac5a52b-2030-1,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,2030,10km,10479.212729837576
population-eac5a52b-2030-2,QC-MAIN-eac5a52b,QC-MAIN-eac5a52b,Deschambault,2030,50km,389851.46883062704
population-81a288d0-2025-1,QC-MAIN-81a288d0,QC-MAIN-81a288d0,Elysis,2025,10km,113629.27977280482
population-81a288d0-2025-2,QC-MAIN-81a288d0,QC-MAIN-81a288d0,Elysis,2025,50km,229053.19013165036
population-81a288d0-2030-1,QC-MAIN-81a288d0,QC-MAIN-81a288d0,Elysis,2030,10km,118605.31734194356
population-81a288d0-2030-2,QC-MAIN-81a288d0,QC-MAIN-81a288d0,Elysis,2030,50km,237825.63412818368
population-c8966bdc-2025-1,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,2025,10km,20103.986847990553
population-c8966bdc-2025-2,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,2025,50km,0.0
population-c8966bdc-2030-1,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,2030,10km,20780.349039932593
population-c8966bdc-2030-2,QC-MAIN-c8966bdc,QC-MAIN-c8966bdc,Bécancour,2030,50km,0.0
population-eab8c362-2025-1,ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,2025,10km,88844.19987684392
population-eab8c362-2025-2,ON-MAIN-eab8c362,ON-MAIN-eab8c362,Algoma Steel,2025,50km,123460.14571194908
