maus_id,geometry,area_km2
NS-MAUS-034be517,"POLYGON ((2465825.132689861 185240.9206208963, 2465693.220574349 185297.28345540282, 2465579.2207720634 185105.24255984326, 2465414.5150066763 185104.777291158, 2465474.645405316 185228.34895299448, 2465507.4774364154 185517.6626489086, 2465386.4982939363 185554.22978337828, 2465368.5652232594 185686.39162502988, 2464858.8880061856 185663.49647521778, 2464761.301801948 185558.01571390626, 2464837.7276541884 185303.16422390877, 2465019.542600634 185106.43850551787, 2465307.557356959 185032.86059655828, 2465314.5543943746 184920.49496008546, 2464931.222229436 184734.89069151712, 2464753.3074485124 184907.94822882133, 2464606.554741256 184891.58313900512, 2464637.660430837 184585.9144932969, 2464842.1583705116 184530.81453826829, 2464847.474868301 184172.1792783363, 2465169.034819195 183987.9295454621, 2465470.4669575617 184205.8292042502, 2465726.5158143016 184140.43573466816, 2466048.1551161967 184072.48892401432, 2466131.7208919628 184170.2510145751, 2465743.0049093515 184459.4774865581, 2465585.2373012216 184230.39168746097, 2465365.8980357274 184328.94835320557, 2465476.80583206 184493.43436126184, 2465515.1047708034 184656.61587803168, 2465591.659909341 184866.73266725123, 2465946.878640156 185036.88548553688, 2466744.6133974227 184172.6291319535, 2467320.0573428543 184193.1473901039, 2467416.1094784657 184401.16989128216, 2467362.2385560926 185030.1940906124, 2466844.6304938486 185519.4414380342, 2466483.983771339 185591.6026279292, 2465825.132689861 185240.9206208963))",2.6167610189008497
NS-MAUS-c031164b,"POLYGON ((2465555.1074723415 185647.2574378417, 2465581.631987309 185532.74808980114, 2465667.4706674684 185360.56327450435, 2465838.410801175 185299.9061981233, 2466259.951153846 185532.52989313213, 2466260.733697996 185597.53906798363, 2466292.739171667 185705.61209037082, 2466416.067084022 185864.09315768332, 2466286.489453056 185999.22048039245, 2466304.4293026803 186215.77297193758, 2465979.737625307 186139.88046911958, 2465810.360468765 185865.5944394983, 2465555.1074723415 185647.2574378417))",0.44222157028551073
NS-MAUS-762a8381,"POLYGON ((2428808.303506598 168666.5725532921, 2428907.629564739 168398.92254066898, 2430216.5067563034 167834.81930356284, 2431155.2650975813 169166.54753181592, 2430949.00919773 170186.4774347176, 2430654.270905964 170528.24985699536, 2430371.4973148447 170477.84431394815, 2430336.598369618 170188.87214458582, 2429387.7858557967 169751.89199844786, 2429448.0798852085 169270.2223793971, 2429305.127924171 168742.75799538507, 2428808.303506598 168666.5725532921))",3.4263072466327475
NS-MAUS-f1edad6c,"POLYGON ((2437073.486656619 174014.15609945613, 2437162.523799785 173766.57153803474, 2437395.9321589814 173790.578378011, 2437612.5468540685 174281.68846989662, 2437507.5698274313 174340.40845593528, 2437364.3916081586 174133.79969267393, 2437073.486656619 174014.15609945613))",0.14173873567529072
NS-MAUS-ed05db90,"POLYGON ((2434470.6693955837 174168.97963470692, 2434007.8976728977 173878.93936372723, 2433919.0485380054 173521.89616971355, 2433927.899386819 173320.85439147413, 2434212.851009011 173115.39951716643, 2434066.6999032563 172830.15870915935, 2434220.3353978526 172463.30417440456, 2434530.053912365 172464.27819130392, 2434718.0440371623 172219.00545003003, 2435317.1366484393 172325.75411673545, 2435358.05094611 172502.39590795676, 2434958.3135899953 173070.0843331089, 2434733.250022812 173501.06536140735, 2435147.2141336766 173713.16478213313, 2435058.7262370936 173909.55144394338, 2434711.5303170374 174145.47097060896, 2434470.6693955837 174168.97963470692))",1.7049995805705798
NS-MAUS-ef841d1f,"POLYGON ((2434116.788256369 181426.52751441227, 2434391.3839815655 181189.9406906616, 2434961.6807393557 181950.77427427805, 2435070.4455357864 182203.02925195228, 2434988.844778184 182403.1063125173, 2435272.77375359 182634.94053590245, 2435218.185698331 182785.3819546185, 2435086.24288336 182726.3946282762, 2434740.0990537778 182357.7470199389, 2434331.6672786814 181852.30155143354, 2434116.788256369 181426.52751441227))",0.5955280840566427
NS-MAUS-69b1a58c,"POLYGON ((2422047.2761874804 172540.83454503, 2422041.6606004676 172332.2288091131, 2422358.5021766736 172285.04156442662, 2422716.548294144 172414.32994375666, 2422975.5802459465 172541.5156060717, 2422997.6561418977 172669.09727067617, 2422884.19306739 172710.5490321453, 2422731.2217607945 172589.30151353043, 2422641.8761624345 172720.88989782476, 2422221.3903117324 172673.48231330118, 2422047.2761874804 172540.83454503))",0.2773903873110693
NS-MAUS-3ef84fcc,"POLYGON ((2419558.523231506 170271.9222460991, 2419685.348106637 170070.62914853438, 2419995.5334507315 170238.02333561282, 2420111.394830044 170647.37148702802, 2420449.4008499244 170881.21858944918, 2420670.5836139126 171129.09757579942, 2420470.2112233927 171213.59491359143, 2420129.2212300217 171170.79886817673, 2419995.6390921916 171047.30788768752, 2419856.976198817 170612.80846066392, 2419633.412906049 170453.62166454134, 2419558.523231506 170271.9222460991))",0.4493125782355923
NS-MAUS-691407fc,"POLYGON ((2420330.586914305 171472.1936035722, 2420600.7673171507 171258.39632619268, 2420899.4746659254 171278.38999982574, 2420988.051776184 171518.92238569807, 2421017.871738496 171817.65184049399, 2420626.8890497996 171850.5696802993, 2420330.586914305 171472.1936035722))",0.2879849996639706
NS-MAUS-e1f376b5,"POLYGON ((2428534.795753182 160367.74570667875, 2428709.2986354483 160230.65493944718, 2428942.5546371206 160626.69764730753, 2427805.3413985386 161143.35043972716, 2427784.9512512516 160708.14054233328, 2428263.0792675484 160465.1587503628, 2428459.2062782953 160558.29008404064, 2428498.532569436 160502.41157519526, 2428534.795753182 160367.74570667875))",0.4556438289351764
