main_id,cluster_id,tailing_id,tang_id,check_manually
,230,,MB-TANG-e319aa49,False
,230,,MB-TANG-0e1c7990,False
,230,,MB-TANG-ed849d03,False
,230,,MB-TANG-e94922ff,False
,231,,SK-TANG-1a1eb50c,False
,231,,SK-TANG-4fb24a2a,False
,231,,SK-TANG-be36bd47,False
,106,,ON-TANG-4d2dc96d,False
,33,,ON-TANG-50cd9d7b,False
,33,,ON-TANG-61483155,False
,33,,ON-TANG-f6fce8de,False
,33,,ON-TANG-ed23c2d8,False
,73,,ON-TANG-b9dd8798,False
,73,,ON-TANG-6bec55ec,False
,73,,ON-TANG-eb96589f,False
,73,,ON-TANG-c53ca1f1,False
,73,,ON-TANG-71eb8943,False
,73,,ON-TANG-491d2812,False
,73,,ON-TANG-e693d971,False
,73,,ON-TANG-798436aa,False
,73,,ON-TANG-bccc811c,False
,73,,ON-TANG-3401f217,False
,73,,ON-TANG-f79fcead,False
,73,,ON-TANG-97bd19ab,False
,73,,ON-TANG-add2fd4e,False
,73,,ON-TANG-fdbe09a1,False
,73,,ON-TANG-fbc53245,False
,73,,ON-TANG-0c564186,False
,73,,ON-TANG-3717524a,False
,73,,ON-TANG-eb4524b5,False
,73,,ON-TANG-b0543ab9,False
,73,,ON-TANG-ffabfa8a,False
,73,,ON-TANG-fe2366b3,False
,232,,ON-TANG-c0736764,False
,231,,SK-TANG-a6c7976b,False
,231,,SK-TANG-b2942a7d,False
,231,,SK-TANG-79e821f7,False
,129,,SK-TANG-a8aa3053,False
,129,,SK-TANG-dd7e6ae5,False
,129,,SK-TANG-7e9438f7,False
,129,,SK-TANG-d89faf78,False
,129,,SK-TANG-736aa368,False
,48,,SK-TANG-b6c62645,False
,48,,SK-TANG-1cde8c35,False
,233,,BC-TANG-324de63c,False
,233,,BC-TANG-e189fc65,False
,233,,BC-TANG-ec73aa19,False
,227,,AB-TANG-8111ab48,False
,233,,BC-TANG-ea8dce28,False
,233,,BC-TANG-28d6851c,False
,227,,AB-TANG-e1c60c89,False
,227,,AB-TANG-43febcb7,False
,233,,BC-TANG-edb8a967,False
,233,,BC-TANG-29ac94ed,False
,225,,AB-TANG-c1dea456,False
,225,,AB-TANG-a911b2a2,False
,225,,AB-TANG-4d2690b8,False
,234,,AB-TANG-0d23a8a8,False
,225,,AB-TANG-dd65a30e,False
,234,,AB-TANG-cdfbbd82,False
,234,,AB-TANG-0a4f5d01,False
,234,,AB-TANG-55384cd1,False
,234,,AB-TANG-ed130db2,False
,234,,AB-TANG-736ab522,False
,233,,BC-TANG-5523c726,False
,233,,BC-TANG-aaffd387,False
,235,,AB-TANG-0520622c,False
,235,,AB-TANG-b1850b17,False
,236,,BC-TANG-6f3fce6e,False
,235,,AB-TANG-af81a3bd,False
,235,,AB-TANG-12a6dac8,False
,235,,AB-TANG-078f7bfa,False
,235,,AB-TANG-088001c4,False
,235,,AB-TANG-0ce645c1,False
,234,,AB-TANG-13ae75a3,False
,234,,AB-TANG-1e251d17,False
,234,,AB-TANG-f508e2af,False
,234,,AB-TANG-4c0b575f,False
,234,,AB-TANG-b56e2993,False
,234,,AB-TANG-52a3cb16,False
,234,,AB-TANG-ac872285,False
,234,,AB-TANG-29a7acca,False
,234,,AB-TANG-31450086,False
,234,,AB-TANG-f59085da,False
,234,,AB-TANG-c965fa4d,False
,234,,AB-TANG-63642f54,False
,234,,AB-TANG-27ca064a,False
,234,,AB-TANG-401d0942,False
,234,,AB-TANG-3c6568aa,False
,234,,AB-TANG-e02c7c0c,False
,234,,AB-TANG-57fcdc4f,False
,234,,AB-TANG-ae43b8ee,False
,234,,AB-TANG-72635b7e,False
,234,,AB-TANG-631c20a8,False
,235,,AB-TANG-aaf18d4f,False
,235,,AB-TANG-70bdea2c,False
,235,,AB-TANG-4ab44071,False
,235,,AB-TANG-dff7ebf2,False
,235,,AB-TANG-ecc6593f,False
,235,,AB-TANG-479ee00d,False
,235,,AB-TANG-a9b95ba3,False
,235,,AB-TANG-14fb7d37,False
,235,,AB-TANG-be080bda,False
,235,,AB-TANG-a7c8fb1a,False
,235,,AB-TANG-59cf3cde,False
,235,,AB-TANG-4eba93e2,False
,235,,AB-TANG-99e6c12d,False
,88,,BC-TANG-1f88f9be,False
,88,,BC-TANG-1e8851fa,False
,237,,AB-TANG-494fcda0,False
,237,,AB-TANG-06c96536,False
,237,,AB-TANG-f7de885d,False
,237,,AB-TANG-ef58b759,False
,237,,AB-TANG-42160512,False
,237,,AB-TANG-deda7e6a,False
,140,,BC-TANG-d4bf217d,True
,237,,AB-TANG-d68e7d30,False
,238,,BC-TANG-bea260d3,False
,238,,BC-TANG-a0b106ab,False
,238,,BC-TANG-4b2966d9,False
,125,,BC-TANG-36c2b489,False
,239,,BC-TANG-fae530f7,False
,239,,BC-TANG-3b46a339,False
,239,,BC-TANG-32ebea25,False
,206,,SK-TANG-061dd33f,False
,206,,SK-TANG-c168c44e,False
,206,,SK-TANG-2df02df0,False
,206,,SK-TANG-b9fcfe6f,False
,206,,SK-TANG-a958bad2,False
,206,,SK-TANG-4a3eb104,False
,206,,SK-TANG-8e97f760,False
,206,,SK-TANG-18935084,False
,240,,AB-TANG-da0f3b9e,False
,240,,AB-TANG-034347ce,False
,239,,BC-TANG-fe6c2dad,False
,239,,BC-TANG-dcf1e199,False
,136,,BC-TANG-8d5531a3,False
,136,,BC-TANG-f4025195,False
,137,,BC-TANG-5055055c,True
,116,,BC-TANG-7df163dd,True
,137,,BC-TANG-d33948b2,True
,137,,BC-TANG-95b16eee,True
,116,,BC-TANG-6dbfd345,True
,137,,BC-TANG-1ab02a2e,True
,119,,MB-TANG-29ee5195,False
,119,,SK-TANG-618bede8,False
,119,,MB-TANG-1ff1ab3c,False
,119,,SK-TANG-ba2c2a31,False
,119,,SK-TANG-e17773ef,False
,119,,MB-TANG-effa5c37,False
,119,,SK-TANG-9f22a5ad,False
,119,,SK-TANG-5dc1ca5a,False
,119,,SK-TANG-fa8f1b95,False
,119,,SK-TANG-a62082c2,False
,60,,MB-TANG-0cf30a91,True
,60,,MB-TANG-4826c42d,True
,60,,MB-TANG-14a469f0,True
,241,,MB-TANG-63e2807a,False
,241,,MB-TANG-68ed3fdd,False
,241,,MB-TANG-2ba21158,False
,119,,MB-TANG-76c4bcd3,False
,60,,MB-TANG-fda86f52,True
,60,,MB-TANG-30b0186a,True
,60,,MB-TANG-e6b81f23,True
,60,,MB-TANG-cf15fe1a,True
,60,,MB-TANG-f12e51d6,True
,60,,MB-TANG-217c5f36,True
,60,,MB-TANG-f1dc9945,True
,60,,MB-TANG-04fdc469,True
,60,,MB-TANG-54a10712,True
,242,,SK-TANG-4df841b2,False
,60,,MB-TANG-332caad9,True
,60,,MB-TANG-19b72429,True
,242,,SK-TANG-be136f4f,False
,60,,MB-TANG-ea46edbe,True
,241,,MB-TANG-f63d1653,False
,242,,SK-TANG-4fe9bdeb,False
,241,,MB-TANG-358eb5e0,False
,60,,MB-TANG-e1360f4e,True
,60,,MB-TANG-1c9ebf03,True
,60,,MB-TANG-a5745f6c,True
,60,,MB-TANG-e9ccee67,True
,241,,MB-TANG-42262b51,False
,241,,MB-TANG-4cc2af89,False
,60,,MB-TANG-723519b4,True
,243,,MB-TANG-d657d39f,False
,243,,MB-TANG-18e9b171,False
,243,,MB-TANG-c73c5cdc,False
,94,,MB-TANG-624c9a52,True
,81,,SK-TANG-5fb2a8c4,True
,94,,MB-TANG-b046e923,True
,81,,SK-TANG-e1ad1044,True
,81,,SK-TANG-021decf1,True
,81,,SK-TANG-1ff64214,True
,81,,SK-TANG-5647cbc2,True
,81,,SK-TANG-ef5d588c,True
,81,,SK-TANG-8cc80537,True
,94,,MB-TANG-976e1810,True
,94,,MB-TANG-42cdca72,True
,94,,MB-TANG-c4ac1ca8,True
,94,,MB-TANG-429e762a,True
,94,,MB-TANG-f0014964,True
,81,,SK-TANG-6ceca8bf,True
,94,,MB-TANG-0c4c94d5,True
,94,,MB-TANG-9787f051,True
,94,,MB-TANG-190630c8,True
,94,,MB-TANG-fd714363,True
,94,,MB-TANG-0695ac66,True
,94,,MB-TANG-187078fb,True
,244,,SK-TANG-5f5bf53d,False
,245,,MB-TANG-f064dccf,False
,246,,MB-TANG-72cf7f6b,False
,38,,MB-TANG-34dfbac1,False
,38,,MB-TANG-9a5f5e46,False
,38,,MB-TANG-dca44993,False
,38,,MB-TANG-8ebde779,False
,38,,MB-TANG-11ae812f,False
,38,,MB-TANG-3da64ef9,False
,38,,MB-TANG-1742e549,False
,38,,MB-TANG-62ac2ecd,False
,38,,MB-TANG-9c40cbe6,False
,38,,MB-TANG-720e99cf,False
,38,,MB-TANG-9b2475af,False
,38,,MB-TANG-b00b6984,False
,38,,MB-TANG-faf1ed4f,False
,38,,MB-TANG-0ce9c82a,False
,38,,MB-TANG-1ec17953,False
,38,,MB-TANG-e7f8d44f,False
,38,,MB-TANG-5831252e,False
,38,,MB-TANG-0de2af77,False
,38,,MB-TANG-017638a4,False
,38,,MB-TANG-3adbcf48,False
,38,,MB-TANG-6382d927,False
,38,,MB-TANG-bcb483fe,False
,38,,MB-TANG-78a8f37e,False
,247,,MB-TANG-8e408247,False
,38,,MB-TANG-f0329150,False
,247,,MB-TANG-1726ffdc,False
,38,,MB-TANG-f9f29ce6,False
,38,,MB-TANG-01c97cef,False
,247,,MB-TANG-f40e0711,False
,30,,SK-TANG-87fca460,False
,30,,SK-TANG-30676653,False
,30,,SK-TANG-5c958fda,False
,137,,BC-TANG-805677f2,True
,137,,BC-TANG-d0309628,True
,137,,BC-TANG-2a4c8126,True
,137,,BC-TANG-326f7b6a,True
,137,,BC-TANG-f36c168f,True
,137,,BC-TANG-f7fec7fb,True
,137,,BC-TANG-ac16d475,True
,137,,BC-TANG-dfe7dc6c,True
,137,,BC-TANG-ea264b47,True
,137,,BC-TANG-b68321a6,True
,137,,BC-TANG-7ef0ec50,True
,137,,BC-TANG-26ff719c,True
,115,,BC-TANG-42a4c7e7,True
,37,,BC-TANG-da428b06,False
,115,,BC-TANG-b92ed1e5,True
,248,,BC-TANG-5968cc26,False
,248,,BC-TANG-2c2ab26c,False
,248,,BC-TANG-d05370bf,False
,248,,BC-TANG-43661a5f,False
,248,,BC-TANG-ce0ad088,False
,234,,AB-TANG-368fd3ea,False
,234,,AB-TANG-f467f13b,False
,234,,AB-TANG-b37fc338,False
,234,,AB-TANG-beb34da1,False
,234,,AB-TANG-7c8dcd10,False
,234,,AB-TANG-a4c938cd,False
,234,,AB-TANG-2e0aae89,False
,234,,AB-TANG-34da7179,False
,234,,AB-TANG-ea061f65,False
,127,,AB-TANG-e88c9230,True
,248,,BC-TANG-cc123dbd,False
,248,,BC-TANG-38ab84d5,False
,248,,BC-TANG-1b1d9130,False
,248,,BC-TANG-f68b8a4d,False
,248,,BC-TANG-bebe3a72,False
,248,,BC-TANG-61dfc631,False
,13,,BC-TANG-3458346f,False
,248,,BC-TANG-dcddc2c3,False
,248,,BC-TANG-9fd73a88,False
,248,,BC-TANG-35c94e55,False
,249,,BC-TANG-b08eebbe,False
,84,,BC-TANG-d62db940,True
,84,,BC-TANG-60816b7f,True
,36,,BC-TANG-8da77720,False
,36,,BC-TANG-4f225a8d,False
,36,,BC-TANG-f1ce1300,False
,74,,BC-TANG-c7c0dae1,False
,74,,BC-TANG-3a482dac,False
,74,,BC-TANG-92b6be77,False
,127,,AB-TANG-c23264a2,True
,127,,AB-TANG-e42188de,True
,127,,AB-TANG-7922e0ad,True
,127,,AB-TANG-50987da1,True
,29,,SK-TANG-d765e256,True
,29,,SK-TANG-c3ed459e,True
,29,,SK-TANG-475a4b58,True
,29,,SK-TANG-7040f11b,True
,29,,SK-TANG-d85462b2,True
,29,,SK-TANG-c151a5d1,True
,127,,AB-TANG-489d9ab6,True
,127,,AB-TANG-2e45e67f,True
,127,,AB-TANG-72e5065c,True
,127,,AB-TANG-58018325,True
,127,,AB-TANG-e2bc75df,True
,127,,AB-TANG-9117d01a,True
,127,,AB-TANG-fb61cad0,True
,127,,AB-TANG-854bec5c,True
,127,,AB-TANG-20b0da85,True
,127,,AB-TANG-b3c2299a,True
,29,,SK-TANG-157b5eda,True
,29,,SK-TANG-bd85ab79,True
,29,,SK-TANG-72056205,True
,29,,SK-TANG-6fb950b4,True
,29,,SK-TANG-261d8d08,True
,29,,SK-TANG-52fb4150,True
,127,,AB-TANG-322a7d9f,True
,250,,AB-TANG-6c508d9f,False
,251,,SK-TANG-91733786,False
,251,,SK-TANG-b1a6f94d,False
,30,,SK-TANG-471cda80,False
,30,,SK-TANG-d4ee74a1,False
,28,,SK-TANG-39a4e1ae,False
,28,,SK-TANG-72062e52,False
,28,,SK-TANG-69a01fb9,False
,252,,SK-TANG-4f730269,False
,28,,SK-TANG-cdf41144,False
,40,,SK-TANG-eb3a7f32,True
,40,,SK-TANG-7dfcc99b,True
,40,,SK-TANG-86bfa3c0,True
,253,,BC-TANG-67ce4bb7,False
,254,,BC-TANG-adf94869,False
,156,,NB-TANG-3b2745b8,False
,156,,NB-TANG-44915a79,False
,156,,NB-TANG-89ebc261,False
,130,,NB-TANG-1866c1b2,False
,130,,NB-TANG-fe00fb40,False
,130,,NB-TANG-ab5f4fcc,False
,130,,NB-TANG-2abe7055,False
,141,,NB-TANG-0f27b137,True
,141,,NB-TANG-085abefc,True
,141,,NB-TANG-0a348777,True
,154,,NS-TANG-488d1571,False
,154,,NS-TANG-6c864658,False
,154,,NS-TANG-95372a83,False
,154,,NS-TANG-ba440dc9,False
,154,,NS-TANG-f6c0373b,False
,154,,NS-TANG-5c8aab78,False
,255,,NL-TANG-ca9d5216,False
,95,,NL-TANG-93b04046,True
,95,,NL-TANG-94483d39,True
,95,,NL-TANG-003710c3,True
,95,,NL-TANG-e5bb53bd,True
,95,,NL-TANG-c56845d2,True
,95,,NL-TANG-f5848433,True
,141,,NB-TANG-52f65ef0,True
,141,,NB-TANG-716846ac,True
,141,,NB-TANG-a8836da4,True
,141,,NB-TANG-8259c7ed,True
,141,,NB-TANG-e5c7abf8,True
,32,,NB-TANG-239f28dd,False
,32,,NB-TANG-632ecd74,False
,141,,NB-TANG-acb1993a,True
,141,,NB-TANG-aab5cc55,True
,141,,NB-TANG-3e3898a1,True
,141,,NB-TANG-48360949,True
,32,,NB-TANG-0b02b25c,False
,128,,NB-TANG-2f35dbd4,True
,128,,NB-TANG-540a9211,True
,128,,NB-TANG-3a381e4c,True
,141,,NB-TANG-35d424cb,True
,141,,NB-TANG-e432c2fc,True
,142,,QC-TANG-d3da9b04,True
