row_id,main_id,name,year,scenario,category,source_id,geometry
CC-5801b453-1991_2020-historical-1,QC-MAIN-5801b453,Abcourt-Barvue,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-77.67901 48.52154)
CC-d29e0839-1991_2020-historical-1,QC-MAIN-d29e0839,Sleeping Giant,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-77.97434 49.13259)
CC-f1ff4920-1991_2020-historical-1,QC-MAIN-f1ff4920,Akasaba West,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-77.58 48.04)
CC-4ea8ac9d-1991_2020-historical-1,NU-MAIN-4ea8ac9d,Amaruq,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-96.697 65.415)
CC-e7e6a960-1991_2020-historical-1,QC-MAIN-e7e6a960,Canadian Malartic,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-78.130824 48.122223)
CC-aeafbb59-1991_2020-historical-1,ON-MAIN-aeafbb59,Detour Lake,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-79.717631 50.018143)
CC-c0660aec-1991_2020-historical-1,QC-MAIN-c0660aec,Goldex,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-77.8733 48.0926)
CC-e51eda66-1991_2020-historical-1,QC-MAIN-e51eda66,LaRonde,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-78.428 48.2516)
CC-1f126a43-1991_2020-historical-1,ON-MAIN-1f126a43,Macassa,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-80.071637 48.142528)
CC-730aefe3-1991_2020-historical-1,NU-MAIN-730aefe3,Meadowbank,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-96.071313 65.0199956)
CC-8b0264c9-1991_2020-historical-1,NU-MAIN-8b0264c9,Meliadine,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-92.220206 63.031529)
CC-5d21dbd5-1991_2020-historical-1,MB-MAIN-5d21dbd5,Monument Bay,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-92.914016 54.446415)
CC-74997012-1991_2020-historical-1,ON-MAIN-74997012,Upper Beaver,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-79.76 48.16)
CC-687b8c8d-1991_2020-historical-1,ON-MAIN-687b8c8d,Island,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-84.449604 48.285667)
CC-7607a50e-1991_2020-historical-1,ON-MAIN-7607a50e,Young-Davidson,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-80.67444 47.94667)
CC-52c01ae4-1991_2020-historical-1,QC-MAIN-52c01ae4,Baie-Comeau,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-68.1491 49.2562)
CC-eac5a52b-1991_2020-historical-1,QC-MAIN-eac5a52b,Deschambault,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-71.9467 46.6939)
CC-81a288d0-1991_2020-historical-1,QC-MAIN-81a288d0,Elysis,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-71.17565 48.43214)
CC-c8966bdc-1991_2020-historical-1,QC-MAIN-c8966bdc,Bécancour,1991_2020,historical,,https://doi.org/10.1038/s41597-023-02549-6,POINT (-72.3852 46.381)
CC-eab8c362-1991_2020-historical-1,ON-MAIN-eab8c362,Algoma Steel,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-84.36664 46.52055)
CC-8c7063b2-1991_2020-historical-1,QC-MAIN-8c7063b2,James Bay Lithium,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-77.06667 52.23333)
CC-3ef4f421-1991_2020-historical-1,BC-MAIN-3ef4f421,Avanti Kitsault,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-129.419 55.422)
CC-9fed34a8-1991_2020-historical-1,AB-MAIN-9fed34a8,AltaSteel,1991_2020,historical,"Dfb - Cold, no dry season, warm summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-113.387962 53.492783)
CC-33c09b8b-1991_2020-historical-1,QC-MAIN-33c09b8b,Fire Lake,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-67.363935 52.352998)
CC-084bd95c-1991_2020-historical-1,QC-MAIN-084bd95c,Mont-Wright,1991_2020,historical,"Dfc - Cold, no dry season, cold summer",https://doi.org/10.1038/s41597-023-02549-6,POINT (-67.330058 52.757053)
