npv_id,main_id,name,latitude,longitude,biome_type,geometry
ON-MAIN-8629a493,ON-MAIN-8629a493,Hollinger,48.4733,-81.31314,Cool Mixed Forest,POINT (-81.31314 48.4733)
ON-MAIN-6e9b2449,ON-MAIN-6e9b2449,Coleman,46.6771,-81.3397,Cool Mixed Forest,POINT (-81.3397 46.6771)
ON-MAIN-206041d1,ON-MAIN-206041d1,Fraser,46.6633,-81.3404,Cool Mixed Forest,POINT (-81.3404 46.6633)
ON-MAIN-ed85ac94,ON-MAIN-ed85ac94,Strathcona,46.6734,-81.3427,Cool Mixed Forest,POINT (-81.3427 46.6734)
ON-MAIN-f8313ebd,ON-MAIN-f8313ebd,Kidd Creek,48.6894,-81.37,Cool Mixed Forest,POINT (-81.37 48.6894)
ON-MAIN-7001a391,ON-MAIN-7001a391,McCreedy West,46.638059,-81.39894,Cool Mixed Forest,POINT (-81.39894 46.638059)
ON-MAIN-28f3f0fc,ON-MAIN-28f3f0fc,Totten,46.381174,-81.454839,Cool Mixed Forest,POINT (-81.454839 46.381174)
ON-MAIN-f3e6ff08,ON-MAIN-f3e6ff08,Timmins West,48.383275,-81.549826,Cool Mixed Forest,POINT (-81.549826 48.383275)
ON-MAIN-1c674cd0,ON-MAIN-1c674cd0,Borden,47.871883,-83.260981,Cool Mixed Forest,POINT (-83.260981 47.871883)
ON-MAIN-687b8c8d,ON-MAIN-687b8c8d,Island,48.285667,-84.449604,Cool Mixed Forest,POINT (-84.449604 48.285667)
ON-MAIN-8825d90d,ON-MAIN-8825d90d,Magino,48.28869,-84.45744,Cool Mixed Forest,POINT (-84.45744 48.28869)
ON-MAIN-f4fc3276,ON-MAIN-f4fc3276,Sugar Zone,48.80496,-85.00401,Cool Mixed Forest,POINT (-85.00401 48.80496)
ON-MAIN-c5fefb01,ON-MAIN-c5fefb01,Mishi,48.11028,-85.4525,Cool Mixed Forest,POINT (-85.4525 48.11028)
ON-MAIN-cb85213a,ON-MAIN-cb85213a,Eagle River,47.9861,-85.4619,Cool Mixed Forest,POINT (-85.4619 47.9861)
ON-MAIN-6e9be24e,ON-MAIN-6e9be24e,Hemlo (Williams),48.695726,-85.91598,Cool Mixed Forest,POINT (-85.91598 48.695726)
ON-MAIN-a3c56a83,ON-MAIN-a3c56a83,Lac des Iles,49.1691,-89.6105,Cold Evergreen Needleleaf Forest,POINT (-89.6105 49.1691)
ON-MAIN-fefeaee4,ON-MAIN-fefeaee4,Musselwhite,52.6127,-90.3636,Cold Evergreen Needleleaf Forest,POINT (-90.3636 52.6127)
ON-MAIN-7f050560,ON-MAIN-7f050560,Red Lake,51.050557,-93.732922,Cool Mixed Forest,POINT (-93.732922 51.050557)
ON-MAIN-0aadf28f,ON-MAIN-0aadf28f,Rainy River,48.833,-94.012,Cool Mixed Forest,POINT (-94.012 48.833)
MB-MAIN-915d9faa,MB-MAIN-915d9faa,Tanco,50.4291,-95.4502,Cool Mixed Forest,POINT (-95.4502 50.4291)
MB-MAIN-e0a6250e,MB-MAIN-e0a6250e,Thompson (T-1 and T-3),55.7152,-97.8444,Cold Evergreen Needleleaf Forest,POINT (-97.8444 55.7152)
MB-MAIN-0898e255,MB-MAIN-0898e255,Stall Lake,54.85692,-99.9451,Cold Evergreen Needleleaf Forest,POINT (-99.9451 54.85692)
MB-MAIN-da0b5c3d,MB-MAIN-da0b5c3d,New Britannia,54.886349,-100.024002,,POINT (-100.024002 54.886349)
MB-MAIN-be5b3dc8,MB-MAIN-be5b3dc8,Lalor Lake,54.86667,-100.13333,Cold Evergreen Needleleaf Forest,POINT (-100.13333 54.86667)
SK-MAIN-22ce14be,SK-MAIN-22ce14be,Santoy,55.66778,-103.414571,Cold Evergreen Needleleaf Forest,POINT (-103.414571 55.66778)
SK-MAIN-29afbdb5,SK-MAIN-29afbdb5,Seabee,55.683772,-103.622257,,POINT (-103.622257 55.683772)
SK-MAIN-60ba74c4,SK-MAIN-60ba74c4,McClean Lake,58.3472,-103.8361,Cold Evergreen Needleleaf Forest,POINT (-103.8361 58.3472)
SK-MAIN-91cf5448,SK-MAIN-91cf5448,Cigar Lake,58.06819,-104.54123,Cold Evergreen Needleleaf Forest,POINT (-104.54123 58.06819)
SK-MAIN-d3c471e8,SK-MAIN-d3c471e8,McArthur River,57.7637,-105.053,Cold Evergreen Needleleaf Forest,POINT (-105.053 57.7637)
SK-MAIN-bb89158f,SK-MAIN-bb89158f,Key Lake,57.207,-105.647,Cold Evergreen Needleleaf Forest,POINT (-105.647 57.207)
SK-MAIN-ae4fcc15,SK-MAIN-ae4fcc15,Estevan,49.087329,-102.864956,Steppe,POINT (-102.864956 49.087329)
SK-MAIN-a35bfc1b,SK-MAIN-a35bfc1b,Poplar River,49.217566,-105.472585,Steppe,POINT (-105.472585 49.217566)
AB-MAIN-526c6c76,AB-MAIN-526c6c76,Genesee,53.323876,-114.267236,Cold Evergreen Needleleaf Forest,POINT (-114.267236 53.323876)
AB-MAIN-0c614cfb,AB-MAIN-0c614cfb,Coal Valley,53.072796,-116.786616,Cold Evergreen Needleleaf Forest,POINT (-116.786616 53.072796)
