row_id,main_id,name,year,buffer_size,total_population,source_id,geometry
population-e51eda66-2025-2,QC-MAIN-e51eda66,LaRonde,2025,50km,85753.83910362789,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-78.428 48.2516)
population-e51eda66-2030-1,QC-MAIN-e51eda66,LaRonde,2030,10km,1369.8654912880788,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-78.428 48.2516)
population-e51eda66-2030-2,QC-MAIN-e51eda66,LaRonde,2030,50km,87693.41743626243,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-78.428 48.2516)
population-1f126a43-2025-1,ON-MAIN-1f126a43,Macassa,2025,10km,9692.441926674617,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.071637 48.142528)
population-1f126a43-2025-2,ON-MAIN-1f126a43,Macassa,2025,50km,18005.138853093245,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.071637 48.142528)
population-1f126a43-2030-1,ON-MAIN-1f126a43,Macassa,2030,10km,9988.39395048241,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.071637 48.142528)
population-1f126a43-2030-2,ON-MAIN-1f126a43,Macassa,2030,50km,18549.989496817372,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.071637 48.142528)
population-730aefe3-2025-1,NU-MAIN-730aefe3,Meadowbank,2025,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-96.071313 65.0199956)
population-730aefe3-2025-2,NU-MAIN-730aefe3,Meadowbank,2025,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-96.071313 65.0199956)
population-730aefe3-2030-1,NU-MAIN-730aefe3,Meadowbank,2030,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-96.071313 65.0199956)
population-730aefe3-2030-2,NU-MAIN-730aefe3,Meadowbank,2030,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-96.071313 65.0199956)
population-8b0264c9-2025-1,NU-MAIN-8b0264c9,Meliadine,2025,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.220206 63.031529)
population-8b0264c9-2025-2,NU-MAIN-8b0264c9,Meliadine,2025,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.220206 63.031529)
population-8b0264c9-2030-1,NU-MAIN-8b0264c9,Meliadine,2030,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.220206 63.031529)
population-8b0264c9-2030-2,NU-MAIN-8b0264c9,Meliadine,2030,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.220206 63.031529)
population-5d21dbd5-2025-1,MB-MAIN-5d21dbd5,Monument Bay,2025,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.914016 54.446415)
population-5d21dbd5-2025-2,MB-MAIN-5d21dbd5,Monument Bay,2025,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.914016 54.446415)
population-5d21dbd5-2030-1,MB-MAIN-5d21dbd5,Monument Bay,2030,10km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.914016 54.446415)
population-5d21dbd5-2030-2,MB-MAIN-5d21dbd5,Monument Bay,2030,50km,0.0,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-92.914016 54.446415)
population-74997012-2025-1,ON-MAIN-74997012,Upper Beaver,2025,10km,868.9827688471414,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-79.76 48.16)
population-74997012-2025-2,ON-MAIN-74997012,Upper Beaver,2025,50km,24669.634733136583,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-79.76 48.16)
population-74997012-2030-1,ON-MAIN-74997012,Upper Beaver,2030,10km,895.3136030478636,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-79.76 48.16)
population-74997012-2030-2,ON-MAIN-74997012,Upper Beaver,2030,50km,25368.758540779418,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-79.76 48.16)
population-687b8c8d-2025-1,ON-MAIN-687b8c8d,Island,2025,10km,86.88008238958633,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.449604 48.285667)
population-687b8c8d-2025-2,ON-MAIN-687b8c8d,Island,2025,50km,4180.965277757278,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.449604 48.285667)
population-687b8c8d-2030-1,ON-MAIN-687b8c8d,Island,2030,10km,89.3484395023125,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.449604 48.285667)
population-687b8c8d-2030-2,ON-MAIN-687b8c8d,Island,2030,50km,4312.2188655648915,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-84.449604 48.285667)
population-7607a50e-2025-1,ON-MAIN-7607a50e,Young-Davidson,2025,10km,301.6788492500782,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.67444 47.94667)
population-7607a50e-2025-2,ON-MAIN-7607a50e,Young-Davidson,2025,50km,2700.552721022227,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.67444 47.94667)
population-7607a50e-2030-1,ON-MAIN-7607a50e,Young-Davidson,2030,10km,310.8264129664749,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.67444 47.94667)
population-7607a50e-2030-2,ON-MAIN-7607a50e,Young-Davidson,2030,50km,2786.3023921346125,https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE,POINT (-80.67444 47.94667)
