Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
12753,ABGS0113388,ORLEN Upstream Canada Ltd.,Calgary,400 850 2 Street Southwest,T2P 0R8,Alberta,52.29913,-115.02838,10.43,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12753-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112753&GoCTemplateCulture=en-CA
"
12754,Open Creek 10-34-042-05 W5M,i3 Energy Canada Ltd.,Calgary,500 207 9 Avenue Southwest,T2P 1K3,Alberta,52.66337,-114.63472,12.15,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12754-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112754&GoCTemplateCulture=en-CA
"
12755,UKALTA 13-35-56-18W4 PRORATION,Rubellite Energy Inc.,Boyle,,T0A 0M0,Alberta,53.88874,-112.57594,11.93,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12755-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112755&GoCTemplateCulture=en-CA
"
12756,FIGURE LAKE 9-23-63-18W4 PRORATION,Rubellite Energy Inc.,Boyle,,T0A 0M0,Alberta,54.46539,-112.60497,15.28,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12756-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112756&GoCTemplateCulture=en-CA
"
12757,FIGURE LAKE 2/1-13-63-18W4 PRORATION,Rubellite Energy Inc.,Boyle,,T0A 0M0,Alberta,54.44377,-112.57979,10.47,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12757-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112757&GoCTemplateCulture=en-CA
"
12758,FIGURE LAKE 2/1-3-63-18W4 PRORATION,Rubellite Energy Inc.,Boyle,,T0A 0M0,Alberta,54.41486,-112.63025,10.14,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12758-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112758&GoCTemplateCulture=en-CA
"
12759,Clarkson Wastewater Treatment Facility,Ontario Clean Water Agency,Mississauga,2307 Lakeshore Road,L5J 1J9,Ontario,43.49544,-79.6197,29.77,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Sewage Treatment Facilities,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=221320&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12759-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112759&GoCTemplateCulture=en-CA
"
12760,Puskwa 05-14-074-01W6 MWB,Prairie Thunder Resources Ltd.,Debolt,,T0H 1B0,Alberta,55.40881,-118.04815,11.63,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12760-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112760&GoCTemplateCulture=en-CA
"
12761,LECOURS LUMBER CO LTD,Lecours Lumber Co. Limited,Calstock,HWY663,P0L 1B0,Ontario,49.7915,-84.3224,13.08,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Sawmills (except Shingle and Shake Mills),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=321111&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12761-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112761&GoCTemplateCulture=en-CA
"
12762,AG20 ABGP0001429 SWALWELL GAS PLANT,Ember Resources Inc.,Entice,,T2P 4H2,Alberta,51.53143,-113.27666,10.09,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12762-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112762&GoCTemplateCulture=en-CA
"
12763,Town B-032-C/094-G-01,PETRONAS Energy Canada Ltd.,Peace River,,V0J 3N0,British Columbia,57.02744,-122.27043,18.95,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12763-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112763&GoCTemplateCulture=en-CA
"
12765,NIPISI 05-29-75-05 W5,Spur Petroleum Ltd.,Slave Lake,,T2P 0B2,Alberta,55.52579,-114.74968,14.23,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12765-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112765&GoCTemplateCulture=en-CA
"
12766,NIPISI 09-17-78-09 W5,Spur Petroleum Ltd.,Slave Lake,,N/A,Alberta,55.76083,-115.35009,10.52,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Oil and gas extraction (except oil sands),https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=211110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12766-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112766&GoCTemplateCulture=en-CA
"
