main_id,facility_name,geometry,jung_priority_point,jung_priority_mean_50km,source_id
QC-MAIN-5801b453,Abcourt-Barvue,POINT (-77.67900999999999 48.521539999999995),25.926612361206704,22.025641025641026,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-d29e0839,Sleeping Giant,POINT (-77.97433999999997 49.13259000000001),13.0,15.775,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-f1ff4920,Akasaba West,POINT (-77.58 48.03999999999999),20.6188881824943,21.125,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-4ea8ac9d,Amaruq,POINT (-96.69700000000002 65.415),63.926999552466384,58.07692307692308,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-e7e6a960,Canadian Malartic,POINT (-78.13082400000002 48.12222300000001),21.186758449496068,21.166666666666668,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-aeafbb59,Detour Lake,POINT (-79.71763099999998 50.018143000000016),16.17795850583877,14.576923076923077,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-c0660aec,Goldex,POINT (-77.87329999999999 48.09259999999998),19.15075338317996,21.525,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-e51eda66,LaRonde,POINT (-78.42799999999997 48.25159999999999),25.00115765812521,21.85,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-1f126a43,Macassa,POINT (-80.071637 48.142528),23.16147565378485,26.844155844155843,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-730aefe3,Meadowbank,POINT (-96.07131299999996 65.01999559999986),50.922237959161244,54.037974683544306,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-8b0264c9,Meliadine,POINT (-92.22020599999993 63.031528999999935),50.8688901138528,54.57534246575342,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-5d21dbd5,Monument Bay,POINT (-92.91401600000002 54.44641499999999),23.267558560686915,25.17721518987342,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-74997012,Upper Beaver,POINT (-79.75999999999998 48.15999999999998),28.505262396055475,26.075949367088608,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-687b8c8d,Island,POINT (-84.449604 48.28566699999998),36.26064495311893,27.358974358974358,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-7607a50e,Young-Davidson,POINT (-80.67443999999999 47.946670000000005),30.685867586011987,27.615384615384617,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-52c01ae4,Baie-Comeau,POINT (-68.1491 49.2562),21.0,27.903846153846153,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-eac5a52b,Deschambault,POINT (-71.9467 46.693900000000006),23.067971340051745,24.765432098765434,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-81a288d0,Elysis,POINT (-71.17565 48.432140000000004),32.587720691904224,24.794871794871796,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-c8966bdc,Bécancour,POINT (-72.3852 46.381),32.0,28.848101265822784,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-eab8c362,Algoma Steel,POINT (-84.36664000000003 46.52055),38.841321852368,30.675675675675677,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-8c7063b2,James Bay Lithium,POINT (-77.06666999999999 52.233329999999995),15.924753369660657,21.415584415584416,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-3ef4f421,Avanti Kitsault,POINT (-129.41899999999995 55.421999999999976),34.287800573958165,31.569620253164558,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-9fed34a8,AltaSteel,POINT (-113.387962 53.492783),57.811978721975834,53.717948717948715,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-33c09b8b,Fire Lake,POINT (-67.36393500000001 52.352998),34.34261583997517,22.28205128205128,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-084bd95c,Mont-Wright,POINT (-67.33005799999998 52.75705299999998),30.48946986553831,21.25,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-1eee4ace,Contrecœur East,POINT (-73.24908099999999 45.837723),31.919354223816658,33.67088607594937,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-844dcc47,Contrecœur West,POINT (-73.26326799999998 45.81993799999999),31.765854318059162,33.47435897435897,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-e25eed27,Port-Cartier,POINT (-66.797531 50.03213),50.70747545491961,27.916666666666668,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-4c35e094,ArcelorMittal Dofasco,POINT (-79.80520399999999 43.26913199999999),47.79800877565438,43.351351351351354,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-8825d90d,Magino,POINT (-84.45744000000002 48.288689999999995),36.16570129649507,27.358974358974358,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-de2e2f8e,Prairie Lithium,POINT (-103.63517999999999 49.21363),75.85953842924332,64.64556962025317,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-e928d96a,Brampton,POINT (-79.72212499999999 43.691066),48.60351831645573,44.30769230769231,https://doi.org/10.5281/zenodo.5006332
NT-MAIN-4f11f183,Nechalacho - Basal Zone,POINT (-112.59971999999995 62.118059999999964),53.74552577917325,49.72727272727273,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-46f71d5b,Separation Rapids,POINT (-94.58257999999998 50.266),35.10041112476961,24.2375,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-5154702a,Mary River,POINT (-78.55686899999999 71.34044600000001),65.67044457460892,70.72727272727273,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-6e9be24e,Hemlo (Williams),POINT (-85.91598 48.69572600000002),26.57985479844793,22.253333333333334,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-8434dce0,Baymag,POINT (-115.21006099999994 51.06002199999998),15.520591272344305,16.2625,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-2cc9bb06,Kudz Ze Kayah,POINT (-130.59893999999994 61.471079999999986),66.65301757099394,56.02597402597402,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-895cb178,Buchans River,POINT (-56.85596499999999 48.82901800000001),37.74163660615248,32.24050632911393,https://doi.org/10.5281/zenodo.5006332
NT-MAIN-6c1d6ee6,Ekati,POINT (-110.61799999999995 64.7149999999999),43.38348321266678,42.34615384615385,https://doi.org/10.5281/zenodo.5006332
NB-MAIN-0c5b40d8,Nash Creek,POINT (-66.09770999999999 47.88938999999996),44.171176769869824,36.65714285714286,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-484e4fa3,Blind River,POINT (-83.017246 46.18089599999999),31.5421577844824,29.805555555555557,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-91cf5448,Cigar Lake,POINT (-104.54123000000003 58.06819000000003),35.72639285821945,30.4,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-bb89158f,Key Lake,POINT (-105.64699999999998 57.206999999999994),23.60450137430375,26.35,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-d3c471e8,McArthur River,POINT (-105.05299999999997 57.76370000000001),36.661117842485865,30.70886075949367,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-237587f6,Port Hope,POINT (-78.2943 43.9429),49.0,43.12765957446808,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-4c5c1179,Crawford,POINT (-81.37309000000002 48.83972),22.90045171594238,21.556962025316455,https://doi.org/10.5281/zenodo.5006332
NB-MAIN-8e04eb21,Murray Brook,POINT (-66.43167 47.525280000000016),26.207795684914434,28.189873417721518,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-37e9571e,Thierry,POINT (-90.34694 51.49666999999999),25.83437793924517,20.01298701298701,https://doi.org/10.5281/zenodo.5006332
NB-MAIN-3e7d42ac,Woodstock,POINT (-67.63999999999999 46.17999999999999),23.703697615707508,26.08974358974359,https://doi.org/10.5281/zenodo.5006332
NU-MAIN-eae1621e,Ferguson Lake,POINT (-96.83306 62.87306000000001),32.60721039548803,28.76923076923077,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-5ce331b8,Nunavik Nickel,POINT (-74.1375 61.420855999999986),18.437037789262188,54.15384615384615,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-eba3e309,Golden Crown,POINT (-118.59 49.09),53.648017161838425,53.57692307692308,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-e34feb4d,Kemess,POINT (-126.77117 57.05037000000001),42.51050154613637,35.282051282051285,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-ed23117f,Mount Milligan,POINT (-124.031 55.118),25.340064658899397,26.615384615384617,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-089f3c60,Bloom Lake,POINT (-67.27999999999997 52.839999999999996),28.37614210361152,22.151898734177216,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-251d6364,Beaver Brook,POINT (-55.195999999999984 48.71590899999998),34.01854403721548,31.2375,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-be399420,Thunder Bay North,POINT (-88.93100000000001 48.79),34.888594436799224,32.62162162162162,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-3330383b,Eldor (Ashram),POINT (-68.40416999999998 56.945829999999994),36.705445313014934,35.79746835443038,https://doi.org/10.5281/zenodo.5006332
MB-MAIN-6fca9d6d,Lynn Lake,POINT (-101.03486 56.852170000000015),22.624738349799305,17.025316455696203,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-d4e2812a,Rose,POINT (-76.17199999999998 52.022485),22.873054782222688,21.743589743589745,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-9a0307f6,SBH Black Shale,POINT (-111.90374999999996 57.68710999999996),34.65921369686075,37.6025641025641,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-715d4318,Horizon,POINT (-73.45082499999997 45.574619999999996),37.44520814787847,33.44871794871795,https://doi.org/10.5281/zenodo.5006332
NT-MAIN-94e652a5,Gahcho Kué,POINT (-109.21193999999998 63.44527999999998),46.750773766761995,44.72727272727273,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-382acb18,Wicheeda,POINT (-122.09912 54.531409999999994),17.48939618229807,22.756410256410255,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-4aef3cb2,Waterbury,POINT (-104.03032 58.3478),29.6178654223846,27.5,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-95ec2625,Wheeler River,POINT (-105.38137 57.50888),25.899954337686378,27.72972972972973,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-51068f3b,Kitsault Valley,POINT (-129.57778 55.75361),49.62683843160713,37.607594936708864,https://doi.org/10.5281/zenodo.5006332
AB-MAIN-7d4a0421,Bashaw District,POINT (-113.93654999999997 51.77696),66.35081039678343,58.949367088607595,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-f9e41c2a,Lamaque,POINT (-77.73962400000002 48.07922100000002),21.088353384340657,21.39240506329114,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-6664e89b,Battery Materials Park,POINT (-79.62229 47.406349999999996),36.584026861843576,32.81012658227848,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-5398dfac,Elkem Chicoutimi,POINT (-71.131239 48.41276899999998),32.99824386393493,24.776315789473685,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-2cf66e65,Becancour Plant,POINT (-72.43333399999999 46.33333199999999),33.11392418320006,30.28205128205128,https://doi.org/10.5281/zenodo.5006332
ON-MAIN-7f050560,Red Lake,POINT (-93.732922 51.050557),25.304299109307504,19.569620253164558,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-26b9aaf3,EVRAZ Regina,POINT (-104.62384299999997 50.51526299999999),62.87770796154496,65.09210526315789,https://doi.org/10.5281/zenodo.5006332
QC-MAIN-c1cc9f7c,Becancour Silicon,POINT (-72.39 46.370000000000005),32.0,29.11392405063291,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-c139de6d,Ming,POINT (-56.08699999999999 49.91499999999998),43.44428841033954,49.36065573770492,https://doi.org/10.5281/zenodo.5006332
NL-MAIN-842ba1b4,Nugget Pond,POINT (-55.7753 49.845),55.62901970724892,54.26,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-ca488f19,Macmillan Pass,POINT (-130.15142999999992 63.160569999999964),63.25189444449622,48.8875,https://doi.org/10.5281/zenodo.5006332
YT-MAIN-70d629b4,Mactung,POINT (-130.1525 63.28222222219999),64.38701277471239,54.12820512820513,https://doi.org/10.5281/zenodo.5006332
BC-MAIN-efff21d3,Deer Horn,POINT (-127.30825999999999 53.36069999999999),15.098328352850656,25.3375,https://doi.org/10.5281/zenodo.5006332
SK-MAIN-0684a5d8,Patterson Lake South,POINT (-109.36399999999999 57.639),42.19227293313609,33.38461538461539,https://doi.org/10.5281/zenodo.5006332
