tech_attr_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,method,unit,value,comment,source,source_id
TA-7607a50e-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,g/t,9.48,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-7607a50e-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill recovery rate,Reported,%,97.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-7607a50e-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Island,ON-MAIN-7607a50e,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore grade,Reported,g/t,9.43,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-687b8c8d-2023-1,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill grade,Reported,g/t,2.2,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-687b8c8d-2023-2,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Mill recovery rate,Reported,%,90.0,,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-687b8c8d-2023-3,2023,Site-specific,Canada,Alamos Gold Inc,Young-Davidson,ON-MAIN-687b8c8d,,CMP-3a4ccc7f,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore grade,Reported,g/t,2.2,Assumed g/t,Data_2023.xlsx,SRC_AlamosGoldInc_Data_2023
TA-8825d90d-2024-1,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,,CMP-a6812c47,mining,"Open-pit, concentrator","Gold, silver",Gold,Total extraction,Strip ratio,Reported,waste/ore,4.18,Data from Alamos Gold,Data_2023.xlsx,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-2,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,,CMP-a6812c47,mining,"Open-pit, concentrator","Gold, silver",Gold,Crude ore,Ore grade,Reported,g/t,0.81,Data from Alamos Gold,Data_2023.xlsx,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-3,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,,CMP-a6812c47,mining,"Open-pit, concentrator","Gold, silver",Gold,Crude ore,Head grade,Reported,g/t,0.91,Data from Alamos Gold,Data_2023.xlsx,SRC_ArgonautGoldInc_Data_2023
TA-8825d90d-2024-4,2024,Site-specific,Canada,Argonaut Gold Inc,Magino,ON-MAIN-8825d90d,,CMP-a6812c47,mining,"Open-pit, concentrator","Gold, silver",Gold,Crude ore,Recovery rate,Reported,%,95.0,Data from Alamos Gold,Data_2023.xlsx,SRC_ArgonautGoldInc_Data_2023
