technosphere_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodity,flow_type,subflow_type,unit,value,comment,source,source_id
TECH-1f126a43-2023-3,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Light Fuel & Gasoline,GJ,42833.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-1f126a43-2023-4,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Natural gas,GJ,162805.0,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-1f126a43-2023-5,2023,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Energy,Propane,GJ,1463.60937,,2023-Sustainability-Performance_data,SRC_AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
TECH-dd723db4-2023-1,2023,Site-specific,Iron Ore Company of Canada Inc,Carol Lake,NL-MAIN-dd723db4,,CMP-2da4630a,mining,"Open-pit, concentrator",Iron,Energy,Energy use,MWh,4145000.0,No decomposition per energy type,SR_2023.pdf,SRC_IronOreCompanyofCanadaInc_SR_2023
TECH-44857446-2023-1,2023,Site-specific,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Energy,Diesel|Mobile equipment,gallons,2785135.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-44857446-2023-2,2023,Site-specific,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Energy,Electricity consumption|Not specified,kWh,137676647.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-44857446-2023-3,2023,Site-specific,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Energy,Gasoline|Mobile equipment,gallons,144321.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-44857446-2023-4,2023,Site-specific,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Energy,Propane,gallons,494423.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-44857446-2023-5,2023,Site-specific,Hecla Mining Company,Casa Berardi,YT-MAIN-44857446,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Energy,Surface/underground emulsion & ANFO,pounds,6543598.0,,SR_2023.pdf,SRC_HeclaMiningCompany_SR_2023
TECH-599152a0-2023-1,2023,Site-specific,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Energy,Diesel,TJ,80.96,Share of primary energy source derived from the all group,Hudbay-2023-Integrated-Annual-Report-Performance-Data.xlsx,SRC_HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data
TECH-599152a0-2023-2,2023,Site-specific,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Energy,Electricity consumption,TJ,1968.0,,Hudbay-2023-Integrated-Annual-Report-Performance-Data.xlsx,SRC_HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data
TECH-599152a0-2023-3,2023,Site-specific,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Energy,Gasoline,TJ,0.368,Share of primary energy source derived from the all group,Hudbay-2023-Integrated-Annual-Report-Performance-Data.xlsx,SRC_HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data
TECH-599152a0-2023-4,2023,Site-specific,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Energy,Propane,TJ,10.12,Share of primary energy source derived from the all group,Hudbay-2023-Integrated-Annual-Report-Performance-Data.xlsx,SRC_HudbayMineralsInc_Hudbay-2023-Integrated-Annual-Report-Performance-Data
