main_id,facility_name,longitude,latitude,geometry,peatland_presence,source_id
QC-MAIN-8c7063b2,James Bay Lithium,-77.06667,52.23333,POINT (-77.06667 52.23333),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
BC-MAIN-3ef4f421,Avanti Kitsault,-129.419,55.422,POINT (-129.419 55.422),No data,https://greifswaldmoor.de/global-peatland-database-en.html
AB-MAIN-9fed34a8,AltaSteel,-113.387962,53.492783,POINT (-113.387962 53.492783),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-33c09b8b,Fire Lake,-67.363935,52.352998,POINT (-67.363935 52.352998),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-084bd95c,Mont-Wright,-67.330058,52.757053,POINT (-67.330058 52.757053),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-1eee4ace,Contrecœur East,-73.249081,45.837723,POINT (-73.249081 45.837723),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-844dcc47,Contrecœur West,-73.263268,45.819938,POINT (-73.263268 45.819938),No data,https://greifswaldmoor.de/global-peatland-database-en.html
QC-MAIN-e25eed27,Port-Cartier,-66.797531,50.03213,POINT (-66.797531 50.03213),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-4c35e094,ArcelorMittal Dofasco,-79.805204,43.269132,POINT (-79.805204 43.269132),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-8825d90d,Magino,-84.45744,48.28869,POINT (-84.45744 48.28869),No data,https://greifswaldmoor.de/global-peatland-database-en.html
SK-MAIN-de2e2f8e,Prairie Lithium,-103.63518,49.21363,POINT (-103.63518 49.21363),No data,https://greifswaldmoor.de/global-peatland-database-en.html
ON-MAIN-e928d96a,Brampton,-79.722125,43.691066,POINT (-79.722125 43.691066),No data,https://greifswaldmoor.de/global-peatland-database-en.html
NT-MAIN-4f11f183,Nechalacho - Basal Zone,-112.59972,62.11806,POINT (-112.59972 62.11806),peat dominated,https://greifswaldmoor.de/global-peatland-database-en.html
