row_id,year,reporting_level,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_processing_type,commodity,reserves_resources,reserves_resources_type,method,ore,ore_unit,grade,grade_unit,metal_content,metal_content_unit,norm,recovery_rate,comment,source,source_id
RES-d29e0839-2022-1,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,,mining,Concentrator,Gold,Resources,Indicated,reported,755000,Mt,7.14,g/t,173300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,SRC_AbcourtMinesInc_TR_Abcourt_Geant_Dormant_2023
RES-d29e0839-2022-2,2022,Site-specific,Abcourt Mines Inc,Sleeping Giant,QC-MAIN-d29e0839,,mining,Concentrator,Gold,Resources,Inferred,reported,884000,Mt,8.74,g/t,248300.0,oz,,,,TR_Abcourt_Geant_Dormant_2023,SRC_AbcourtMinesInc_TR_Abcourt_Geant_Dormant_2023
RES-1f126a43-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,reported,40419,kt,0.52,g/t,680.0,koz,,93.23333333333335,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-1f126a43-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,reported,87128,kt,2.43,g/t,6818.0,koz,,93.23333333333335,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-1f126a43-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,reported,52873,kt,1.9,g/t,3232.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-1f126a43-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,,mining,"Underground, concentrator","Gold, silver",Resources,Inferred,reported,144334,kt,2.12,g/t,9857.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator",Gold,Reserves,Proven,reported,128454,kt,0.81,g/t,3333.0,koz,,92.0,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator",Gold,Reserves,Probable ,reported,666651,kt,0.73,g/t,15718.0,koz,,92.0,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator",Gold,Resources,Measured,reported,33923,kt,1.1,g/t,1201.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator",Gold,Resources,Indicated,reported,661068,kt,0.69,g/t,14592.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-e7e6a960-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,,mining,"Open-pit, concentrator",Gold,Resources,Inferred,reported,125335,kt,1.67,g/t,6742.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-8b0264c9-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator","Gold, silver",Reserves,Proven,reported,6318,kt,1.34,g/t,273.0,koz,,81.95,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-8b0264c9-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator","Gold, silver",Reserves,Probable ,reported,14085,kt,1.44,g/t,654.0,koz,,81.95,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-8b0264c9-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator","Gold, silver",Resources,Measured,reported,12360,kt,1.86,g/t,739.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-8b0264c9-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator","Gold, silver",Resources,Indicated,reported,22270,kt,1.33,g/t,955.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-8b0264c9-2024-5,2024,Site-specific,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,,mining,"Underground, concentrator","Gold, silver",Resources,Inferred,reported,16946,kt,1.62,g/t,885.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-4ea8ac9d-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Reserves,Proven,reported,7424,kt,2.98,g/t,712.0,koz,,94.6,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-4ea8ac9d-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Reserves,Probable,reported,12574,kt,5.02,g/t,2028.0,koz,,94.6,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-4ea8ac9d-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Resources,Indicated,reported,16945,kt,2.79,g/t,1522.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-4ea8ac9d-2024-4,2024,Site-specific,Agnico Eagle Mines Limited,LaRonde,NU-MAIN-4ea8ac9d,,mining,"Open-pit, underground, concentrator","Gold, zinc, copper, silver, cadmium",Resources,Inferred,reported,8806,kt,4.38,g/t,1240.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-730aefe3-2024-1,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,"Gold, silver",Reserves,Proven,reported,352,kt,12.65,g/t,143.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-730aefe3-2024-2,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,"Gold, silver",Reserves,Probable ,reported,6675,kt,9,g/t,1931.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
RES-730aefe3-2024-3,2024,Site-specific,Agnico Eagle Mines Limited,Macassa,NU-MAIN-730aefe3,,mining,Concentrator,"Gold, silver",Resources,Measured,reported,278,kt,8.46,g/t,76.0,koz,,,,2024_MRMR,SRC_AgnicoEagleMinesLimited_2024_MRMR
