row_id,main_id,name,year,buffer_size,total_population,geometry,source_id
population-74997012-2030-2,ON-MAIN-74997012,Upper Beaver,2030,50km,25368.758540779418,POINT (-79.76 48.16),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2025-1,ON-MAIN-687b8c8d,Island,2025,10km,86.88008238958633,POINT (-84.449604 48.285667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2025-2,ON-MAIN-687b8c8d,Island,2025,50km,4180.965277757278,POINT (-84.449604 48.285667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2030-1,ON-MAIN-687b8c8d,Island,2030,10km,89.3484395023125,POINT (-84.449604 48.285667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-687b8c8d-2030-2,ON-MAIN-687b8c8d,Island,2030,50km,4312.2188655648915,POINT (-84.449604 48.285667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2025-1,ON-MAIN-7607a50e,Young-Davidson,2025,10km,301.6788492500782,POINT (-80.67444 47.94667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2025-2,ON-MAIN-7607a50e,Young-Davidson,2025,50km,2700.552721022227,POINT (-80.67444 47.94667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2030-1,ON-MAIN-7607a50e,Young-Davidson,2030,10km,310.8264129664749,POINT (-80.67444 47.94667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-7607a50e-2030-2,ON-MAIN-7607a50e,Young-Davidson,2030,50km,2786.3023921346125,POINT (-80.67444 47.94667),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2025-1,QC-MAIN-52c01ae4,Baie-Comeau,2025,10km,0.0,POINT (-68.1491 49.2562),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2025-2,QC-MAIN-52c01ae4,Baie-Comeau,2025,50km,0.0,POINT (-68.1491 49.2562),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2030-1,QC-MAIN-52c01ae4,Baie-Comeau,2030,10km,0.0,POINT (-68.1491 49.2562),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-52c01ae4-2030-2,QC-MAIN-52c01ae4,Baie-Comeau,2030,50km,0.0,POINT (-68.1491 49.2562),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2025-1,QC-MAIN-eac5a52b,Deschambault,2025,10km,10253.559233054419,POINT (-71.9467 46.6939),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2025-2,QC-MAIN-eac5a52b,Deschambault,2025,50km,375107.2588208292,POINT (-71.9467 46.6939),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2030-1,QC-MAIN-eac5a52b,Deschambault,2030,10km,10479.212729837576,POINT (-71.9467 46.6939),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eac5a52b-2030-2,QC-MAIN-eac5a52b,Deschambault,2030,50km,389851.46883062704,POINT (-71.9467 46.6939),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2025-1,QC-MAIN-81a288d0,Elysis,2025,10km,113629.27977280482,POINT (-71.17565 48.43214),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2025-2,QC-MAIN-81a288d0,Elysis,2025,50km,229053.19013165036,POINT (-71.17565 48.43214),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2030-1,QC-MAIN-81a288d0,Elysis,2030,10km,118605.31734194356,POINT (-71.17565 48.43214),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-81a288d0-2030-2,QC-MAIN-81a288d0,Elysis,2030,50km,237825.63412818368,POINT (-71.17565 48.43214),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c8966bdc-2025-1,QC-MAIN-c8966bdc,Bécancour,2025,10km,20103.986847990553,POINT (-72.3852 46.381),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c8966bdc-2025-2,QC-MAIN-c8966bdc,Bécancour,2025,50km,0.0,POINT (-72.3852 46.381),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c8966bdc-2030-1,QC-MAIN-c8966bdc,Bécancour,2030,10km,20780.349039932593,POINT (-72.3852 46.381),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-c8966bdc-2030-2,QC-MAIN-c8966bdc,Bécancour,2030,50km,0.0,POINT (-72.3852 46.381),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eab8c362-2025-1,ON-MAIN-eab8c362,Algoma Steel,2025,10km,88844.19987684392,POINT (-84.36664 46.52055),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eab8c362-2025-2,ON-MAIN-eab8c362,Algoma Steel,2025,50km,123460.14571194908,POINT (-84.36664 46.52055),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eab8c362-2030-1,ON-MAIN-eab8c362,Algoma Steel,2030,10km,90532.71754565909,POINT (-84.36664 46.52055),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-eab8c362-2030-2,ON-MAIN-eab8c362,Algoma Steel,2030,50km,125020.33896960536,POINT (-84.36664 46.52055),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8c7063b2-2025-1,QC-MAIN-8c7063b2,James Bay Lithium,2025,10km,0.0,POINT (-77.06667 52.23333),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8c7063b2-2025-2,QC-MAIN-8c7063b2,James Bay Lithium,2025,50km,0.03773942371481098,POINT (-77.06667 52.23333),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8c7063b2-2030-1,QC-MAIN-8c7063b2,James Bay Lithium,2030,10km,0.0,POINT (-77.06667 52.23333),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-8c7063b2-2030-2,QC-MAIN-8c7063b2,James Bay Lithium,2030,50km,0.03859819041099399,POINT (-77.06667 52.23333),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-3ef4f421-2025-1,BC-MAIN-3ef4f421,Avanti Kitsault,2025,10km,10.804271132219583,POINT (-129.419 55.422),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-3ef4f421-2025-2,BC-MAIN-3ef4f421,Avanti Kitsault,2025,50km,1724.6983902920038,POINT (-129.419 55.422),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-3ef4f421-2030-1,BC-MAIN-3ef4f421,Avanti Kitsault,2030,10km,11.244297055527568,POINT (-129.419 55.422),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-3ef4f421-2030-2,BC-MAIN-3ef4f421,Avanti Kitsault,2030,50km,1794.9706817050464,POINT (-129.419 55.422),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-9fed34a8-2025-1,AB-MAIN-9fed34a8,AltaSteel,2025,10km,498709.25384164636,POINT (-113.387962 53.492783),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-9fed34a8-2025-2,AB-MAIN-9fed34a8,AltaSteel,2025,50km,1587484.5311207103,POINT (-113.387962 53.492783),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-9fed34a8-2030-1,AB-MAIN-9fed34a8,AltaSteel,2030,10km,524562.204282393,POINT (-113.387962 53.492783),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-9fed34a8-2030-2,AB-MAIN-9fed34a8,AltaSteel,2030,50km,1670741.4547198024,POINT (-113.387962 53.492783),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-33c09b8b-2025-1,QC-MAIN-33c09b8b,Fire Lake,2025,10km,0.0,POINT (-67.363935 52.352998),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-33c09b8b-2025-2,QC-MAIN-33c09b8b,Fire Lake,2025,50km,0.0,POINT (-67.363935 52.352998),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-33c09b8b-2030-1,QC-MAIN-33c09b8b,Fire Lake,2030,10km,0.0,POINT (-67.363935 52.352998),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-33c09b8b-2030-2,QC-MAIN-33c09b8b,Fire Lake,2030,50km,0.0,POINT (-67.363935 52.352998),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-084bd95c-2025-1,QC-MAIN-084bd95c,Mont-Wright,2025,10km,0.0,POINT (-67.330058 52.757053),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
population-084bd95c-2025-2,QC-MAIN-084bd95c,Mont-Wright,2025,50km,13076.8423898773,POINT (-67.330058 52.757053),https://doi.org/10.2905/2FF68A52-5B5B-4A22-8F40-C41DA8332CFE
