archetype_id,TR_available,reported_company_nrcan,name,main_id,facility_group_id,facility_type,mining_method,mining_method_mdo,mining_submethod,commodities_nrcan,deposit_mdo,ore_type,processing_method,source,source_id,deposit_cmmi
ARCH-0aadf28f-1,Yes,New Gold Inc,Rainy River,ON-MAIN-0aadf28f,,mining,"Underground, concentrator",Truck & Shovel / Loader;Longitudinal open stoping;Transverse stoping;Longhole open stoping;Avoca,"Surface – Truck & Shovel, Underground – Stoping – Long-Hole Stoping","Gold, silver","VMS, vein/narrow vein",Sulfide,,https://miningdataonline.com/property/11/new-afton-mine.aspx,https://miningdataonline.com/property/11/new-afton-mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-1c674cd0-1,,Newmont Corporation,Porcupine,ON-MAIN-1c674cd0,,mining,Underground,Truck & Shovel / Loader;Shrinkage stoping;Sub-level Retreat;Longhole stoping;Mechanized Cut & Fill,"Surface – Truck & Shovel, Underground – Caving – Sublevel Caving, Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping, Underground – Stoping – Shrinkage Stoping",Gold,"Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx,https://miningdataonline.com/property/69/Rainy-River-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic hydrothermal;Vein;Vein polymetallic
ARCH-3b3e5365-1,,Newmont Corporation,Hollinger,ON-MAIN-3b3e5365,GRP-0d911886,mining,"Underground, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Gold,"Vein / narrow vein, Porphyry",Sulfide,,https://miningdataonline.com/property/420/Hollinger-Mine.aspx,https://miningdataonline.com/property/420/Hollinger-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-857b7b89-1,,Newmont Corporation,Red Chris,BC-MAIN-857b7b89,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Gold, copper, silver",Porphyry,Sulfide,"Primary and secondary crushing, semi-autogenous grinding (SAG), ball mill, gravity concentration, cyanide leaching, and carbon-in-pulp (CIP)​",https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-8eb8be0d-1,,Newmont Corporation,Musselwhite,BC-MAIN-8eb8be0d,,mining,Concentrator,Avoca;Transverse stoping;Longhole stoping;Longitudinal retreat;Sub-level stoping,Underground – Stoping – Long-Hole Stoping,"Gold, silver","Iron formation hosted, Vein / narrow vein, Stratabound",Sulfide,,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx,https://miningdataonline.com/property/246/Red-Chris-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-538513cd-1,,Newmont Corporation,Éléonore,ON-MAIN-538513cd,,mining,"Underground, concentrator",Transverse open stoping;Open stoping;Longitudinal retreat,Underground – Stoping – Long-Hole Stoping,Gold,"Breccia pipe / Stockwork, Sediment-hosted",,Crush–grind–flotation: SAG mill + ball mill + pebble crusher; sulphide flotation producing Cu-Ag-Au concentrate,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx,https://miningdataonline.com/property/63/Musselwhite-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-fefeaee4-1,,Newmont Corporation,Brucejack,ON-MAIN-fefeaee4,,mining,"Underground, concentrator",Longhole open stoping;Transverse open stoping;Longitudinal open stoping,Underground – Stoping – Long-Hole Stoping,"Gold, silver","Breccia pipe / Stockwork, Vein / narrow vein, Epithermal",Oxide or Sulfide,,https://miningdataonline.com/property/72/Brucejack-Mine.aspx,https://miningdataonline.com/property/72/Brucejack-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-6dc537e6-1,,Newmont Corporation,Borden,QC-MAIN-6dc537e6,GRP-0d911886,mining,"Open-pit, underground",Sub-level Retreat,Underground – Caving – Sublevel Caving,Gold,"Vein / narrow vein, Mesothermal",Sulfide,,https://miningdataonline.com/property/72/Brucejack-Mine.aspx,https://miningdataonline.com/property/72/Brucejack-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-8629a493-1,,Newmont Corporation,Hoyle Pond,ON-MAIN-8629a493,GRP-0d911886,mining,Open-pit,Longhole stoping;Shrinkage stoping;Mechanized Cut & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping, Underground – Stoping – Shrinkage Stoping",Gold,Vein / narrow vein,Sulfide,,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-60ba74c4-1,,Orano Canada Inc,McClean Lake,SK-MAIN-60ba74c4,,mining,Concentrator,Borehole mining (SABRE),,Uranium,"Unconformity related, Vein / narrow vein",Sulfide,,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx,https://miningdataonline.com/property/1439/Hoyle-Pond-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-bfbcd72e-1,Yes,Pan American Silver Corp,Bell Creek,ON-MAIN-bfbcd72e,GRP-147b3123,mining,"Underground, concentrator",Longhole stoping,Underground – Stoping – Long-Hole Stoping,Gold,"Veing / narrow vein, Mesothermal",Sulfide,,https://miningdataonline.com/property/98/McClean-Lake-Mine.aspx,https://miningdataonline.com/property/98/McClean-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-f3e6ff08-1,Yes,Pan American Silver Corp,Timmins West,ON-MAIN-f3e6ff08,GRP-147b3123,mining,Underground,Longitudinal stoping;Transverse stoping;Longhole stoping,Underground – Stoping – Long-Hole Stoping,Gold,"Vein / narrow vein, Mesothermal, Intrusion related",Sulfide,,https://miningdataonline.com/property/8/Bell-Creek-Mine.aspx,https://miningdataonline.com/property/8/Bell-Creek-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Metamorphic hydrothermal;Orogenic;Mesozonal orogenic Au
ARCH-0ec39ce0-1,,Rio Tinto,Lac Tio,NT-MAIN-0ec39ce0,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Ilmenite,"Magmatic, Intrusion related",,"Acid leach at Key Lake mill, blended with lower-grade feed",https://miningdataonline.com/property/9/Timmins-West-Mine.aspx,https://miningdataonline.com/property/9/Timmins-West-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-e82266c5-1,,Rio Tinto,Diavik,QC-MAIN-e82266c5,,mining,"Underground, plant",Blast Hole Stoping;Sub-level Retreat,Underground – Caving – Sublevel Caving,Diamonds,Kimberlite,,,https://miningdataonline.com/property/955/Lac-Tio-(Havre-St-Pierre)-Mine.aspx,https://miningdataonline.com/property/955/Lac-Tio-(Havre-St-Pierre)-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-dc1a16f9-1,,Sayona Québec Inc,North American Lithium,QC-MAIN-dc1a16f9,,mining,"Open-pit, underground",Truck & Shovel / Loader,Surface – Truck & Shovel,Lithium,Pegmatite,Oxide,,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-f4fc3276-1,,Silver Lake Resources Ltd,Sugar Zone,ON-MAIN-f4fc3276,,mining,"Underground, concentrator",Longhole open stoping;Longitudinal retreat,Underground – Stoping – Long-Hole Stoping,Gold,"Porphyry, Vein / narrow vein, Mesothermal",Sulfide,,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx,https://miningdataonline.com/property/1628/North-American-Lithium-NAL-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-915d9faa-1,,Sinomine Resource Grp Co. Ltd,Tanco,MB-MAIN-915d9faa,,mining,"Underground, concentrator, plant",Room-and-pillar;Longhole stoping,"Underground – Room and pillar – Room-and-Pillar, Underground – Stoping – Long-Hole Stoping","Cesium, lithium",Pegmatite,Oxide,,https://miningdataonline.com/property/1741/Sugar-Zone-Mine.aspx,https://miningdataonline.com/property/1741/Sugar-Zone-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-GRP-14bfbb82-1,,SSR Mining Inc,Seabee Gold Operation,,GRP-14bfbb82,mining,Concentrator,Avoca;Transverse stoping;Alimak;Longitudinal retreat,Underground – Stoping – Long-Hole Stoping,Gold,"Vein / narrow vein, Mesothermal",Sulfide,,https://miningdataonline.com/property/977/Tanco-Bernic-Lake-Mine.aspx,https://miningdataonline.com/property/977/Tanco-Bernic-Lake-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-c9c77a59-1,Yes,St Barbara Limited,Moose River Consolidated,NS-MAIN-c9c77a59,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Gold,"Vein / narrow vein, Mesothermal",Sulfide,"Slurry to McClean Lake mill, acid leach (~99.5% recovery)",https://miningdataonline.com/property/1552/15-Mile-and-Beaver-Dam-Project.aspx,https://miningdataonline.com/property/1552/15-Mile-and-Beaver-Dam-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-3032c251-1,,Stornoway Diamonds Corporation,Renard,QC-MAIN-3032c251,,mining,"Open-pit, underground, concentrator",Truck & Shovel / Loader;Blast Hole Stoping,Surface – Truck & Shovel,Diamonds,Kimberlite,,,https://miningdataonline.com/property/944/Atlantic-Operation.aspx,https://miningdataonline.com/property/944/Atlantic-Operation.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-b64bae7a-1,,Tacora Resources Inc.,Scully,NL-MAIN-b64bae7a,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Banded iron formation,Oxide,,https://miningdataonline.com/property/968/Renard-Mine.aspx,https://miningdataonline.com/property/968/Renard-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-6b4800fe-1,,Taseko Mines Limited,Gibraltar,BC-MAIN-6b4800fe,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,"Copper, molybdenum, silver",Porphyry,Sulfide,x,https://miningdataonline.com/property/4651/Scully-Mine.aspx,https://miningdataonline.com/property/4651/Scully-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-e09881ff-1,,Tata Steel Minerals Canada Limited,DSO (3 and 4),NL-MAIN-e09881ff,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Iron formation hosted,Oxide,,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx,https://miningdataonline.com/property/2/Gibraltar-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-b8c826a2-1,,Tata Steel Minerals Canada Limited,DSO (Goodwood),QC-MAIN-b8c826a2,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Iron,Iron formation hosted,Oxide,,https://miningdataonline.com/property/941/Howse-Project.aspx,https://miningdataonline.com/property/941/Howse-Project.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-bf503b6b-1,,Teck Resources Limited,Highland Valley,BC-MAIN-bf503b6b,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,"Copper, silver, molybdenum","Porphyry, Breccia pipe / Stockwork, Vein / narrow vein",Sulfide,"Conventional crushing, grinding, gravity concentration, cyanide leaching, and carbon-in-pulp recovery​",https://miningdataonline.com/property/50/Highland-Valley-Mine.aspx,https://miningdataonline.com/property/50/Highland-Valley-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-23155c25-1,,Trafigura Mining Group,Myra Falls,BC-MAIN-23155c25,,mining,Underground,Cut & Fill;Drift & Fill;Sub-level open stoping (SLOS);Longhole open stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Zinc, copper, silver, gold, lead",VMS,Sulfide,,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-d9036091-1,,Vale,Voisey’s Bay,NL-MAIN-d9036091,,mining,Refinery,Drift & Fill;Open stoping,Underground – Stoping – Cut-and-Fill Stoping,"Nickel, copper, cobalt",Magmatic,Sulfide,,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx,https://miningdataonline.com/property/64/Myra-Falls-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Anorthosite conduit;Anorthosite conduit Ni-Cu-PGE
ARCH-2e13aaa0-1,,Vale,Thompson (T-1 and T-3),ON-MAIN-2e13aaa0,,mining,"Smelter, refinery, plant",Cut & Fill;Vertical block mining (VBM);Slot-Slash,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, cobalt, copper, platinum group metals, gold, silver","Vein / narrow vein, Breccia pipe / Stockwork, Magmatic",Sulfide,,https://miningdataonline.com/property/417/Voiseys-Bay-Mine.aspx,https://miningdataonline.com/property/417/Voiseys-Bay-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Komatiite;Komatiite Ni-Cu-PGE
ARCH-de2f9639-1,,Vale,Clarabelle,ON-MAIN-de2f9639,GRP-dc07540b,,Concentrator,Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,,https://miningdataonline.com/property/1377/Thompson-Mine.aspx,https://miningdataonline.com/property/1377/Thompson-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-de2f9639-2,,Vale,Coleman,ON-MAIN-de2f9639,GRP-dc07540b,mining,Underground,Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwall hosted, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-f080c409-1,,Vale,Copper Cliff Complex,ON-MAIN-f080c409,GRP-dc07540b,mining,Underground,Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-48fe2205-1,,Vale,Garson,ON-MAIN-48fe2205,GRP-dc07540b,mining,Underground,Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-52224e1e-1,,Vale,Creighton,ON-MAIN-52224e1e,GRP-dc07540b,mining,Underground,Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwal hosted, Breccia pipe / stockwork",Sulfide,,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-63b394c3-1,,Vale,Totten,ON-MAIN-63b394c3,,mining,Refinery,Slot-Slash;Mechanized Cut & Fill;Transverse stoping;Longitudinal stoping,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt",Magmatic,Sulfide,"Stall Mill: Crush, grind, flotation for Cu, Zn, Au
New Britannia: Grind, flotation, leaching (for Au), refining. Flotation tails optionally leached​",https://miningdataonline.com/property/626/Totten-Mine.aspx,https://miningdataonline.com/property/626/Totten-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-GRP-dc07540b-1,,Vale,Sudbury Operation,,GRP-dc07540b,mining,"Open-pit, underground, concentrator",Mechanized Cut & Fill;Post Pillar Cut & Fill;Longitudinal stoping;Transverse stoping;Slot-Slash;Uppers Retreat;Vertical Crater Retreat;Drift & Fill,"Underground – Stoping – Cut-and-Fill Stoping, Underground – Stoping – Long-Hole Stoping","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium","Magmatic, Footwall hosted, Breccia pipe / Stockwork",Sulfide,,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx,https://miningdataonline.com/property/1485/Sudbury-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,Magmatic;Ultramafic and (or) mafic intrusion;Impact U-M intrusion Ni-Cu-PGE
ARCH-e05ed9fe-1,,Victoria Gold Corporation,Eagle (Dublin Gulch),YT-MAIN-e05ed9fe,,mining,"Open-pit, concentrator",Truck & Shovel / Loader,Surface – Truck & Shovel,Gold,"Vein / narrow vein, Intrusion related",Sulfide,,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-c5fefb01-1,,Wesdome Gold Mines Ltd,Kiena,ON-MAIN-c5fefb01,,mining,"Open-pit, concentrator",Longhole stoping;Longitudinal retreat,Underground – Stoping – Long-Hole Stoping,Gold,"Vein / narrow vein, Breccia pipe / Stockwork, Orogenic",Sulfide,,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx,https://miningdataonline.com/property/1596/Eagle-Gold-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-cb85213a-1,,Wesdome Gold Mines Ltd,Mishi,ON-MAIN-cb85213a,,mining,Open-pit,Truck & Shovel / Loader,Surface – Truck & Shovel,Gold,"Vein / narrow vein, Mesothermal",Sulfide,,https://miningdataonline.com/property/3048/Kiena-Mine.aspx,https://miningdataonline.com/property/3048/Kiena-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-9de9bb0d-1,,Wesdome Gold Mines Ltd,Eagle River,QC-MAIN-9de9bb0d,,mining,"Underground, concentrator",Longhole stoping;Alimak;Sub-level open stoping (SLOS),Underground – Stoping – Long-Hole Stoping,Gold,"Mesothermal, Vein / narrow vein",Sulfide,,https://miningdataonline.com/property/1238/Mishi-Mine.aspx,https://miningdataonline.com/property/1238/Mishi-Mine.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
ARCH-UNKNOWN-1,,,,,,,,,,,,,,https://miningdataonline.com/property/1254/Eagle-River-Complex.aspx,https://miningdataonline.com/property/1254/Eagle-River-Complex.aspx ; https://ecat.ga.gov.au/geonetwork/srv/eng/catalog.search#/metadata/145496,
