main_id,facility_name,facility_group_id,facility_group_name,company_id,company_name,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,commodities,owners,operators,operation_periods,company_URL,facility_URL,MDO_URL,source_id
BC-MAIN-b1fe389a,Eskay Creek,,,CMP-aaf7bd8a,Skeena Resources Limited,,British Columbia,project_facility,Active,Advanced project,project,,,"Gold, Silver, copper, lead, zinc",,,,,,,
BC-MAIN-b4655afb,Galore Creek,,,CMP-4a434d72,Newmont Corporation,,British Columbia,project_facility,Active,Advanced project,project,,,"Copper, gold, silver",Newmount Corporation (50%),,,https://www.gcmc.ca/,https://www.gcmc.ca/,,
BC-MAIN-b7591127,Iskut,,,CMP-ece75057,Seabridge Gold Inc,,British Columbia,project_facility,Active,Advanced project,project,,,"Gold, copper, silver, iron ore",,,,,,,
BC-MAIN-bf503b6b,Highland Valley,,,CMP-06e20c6e,Teck Resources Limited,Logan Lake,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals,"Copper, silver, molybdenum",,,,,,,
BC-MAIN-c5d1b42d,Berg,,,CMP-ec368e4c,"Surge Copper Corp., Centerra Gold Inc",,British Columbia,project_facility,Active,Advanced project,project,,,"Copper, Molybdenum, Gold, Silver",,,,,,,
BC-MAIN-c720b195,GJ,,,CMP-4a434d72,Newmont Corporation,,British Columbia,project_facility,Active,Advanced project,project,,,"Copper, gold, silver",Newmount Corporation (100%),,,,,,
BC-MAIN-c7247100,Driftwood Creek,,,CMP-e58d58d3,MGX Minerals Inc,,British Columbia,project_facility,Active,Advanced project,project,,,Magnesium,,,,,,,
BC-MAIN-e1641dfb,Decar,,,CMP-24e65547,FPX Nickel Corp,,British Columbia,project_facility,Active,Advanced project,project,,,"Nickel, cobalt",,,,,,,
BC-MAIN-e34feb4d,Kemess,,,CMP-fa032e20,Centerra Gold Inc,,British Columbia,project_facility,Active,Advanced project,project,,,"Copper, gold, silver",,,,https://www.centerragold.com/,,,
BC-MAIN-eb47f7c7,Kitimat,,,CMP-7a096012,Rio Tinto,,British Columbia,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Rio Tinto (100%),,,https://www.riotinto.com/en/can,https://www.riotinto.com/en/operations/canada/saguenay,-,
BC-MAIN-eba3e309,Golden Crown,,,CMP-336d5ebc,-,,British Columbia,project_facility,Active,Advanced project,project,,,"Gold, copper",,,,,,,
BC-MAIN-ed23117f,Mount Milligan,,,CMP-fa032e20,Centerra Gold Inc,Fort St. James,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals and precious metals,"Copper, gold, silver",Centerra Gold Inc (100%),Thompson Creek Metals Company Inc,2014–open,https://www.centerragold.com/,https://www.centerragold.com/operations/mount-milligan/,https://miningdataonline.com/property/59/Mount-Milligan-Mine.aspx,
BC-MAIN-efff21d3,Deer Horn,,,CMP-45e36495,First Tellurium Corp,,British Columbia,project_facility,Active,Advanced project,project,,,"Gold, silver, tellurium, copper, zinc, lead",,,,,,,
BC-MAIN-feb13c30,Record Ridge,,,CMP-1023f9c0,West High Yield Resources Ltd,,British Columbia,project_facility,Active,Advanced project,project,,,Magnesium,,,,,,,
