DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,geometry
Becker Cochrane,Antimony,Simple Sb,60.1833299996,-135.21666,Canada,,POINT (-135.21665999975914 60.18332999957988)
Lake George,Antimony,Disseminated Sb,45.86663,-67.0325900001,Canada,,POINT (-67.03259000012838 45.86662999997458)
Beaver Brook (Hunan),Antimony,Simple Sb,48.7014120003,-55.2338849998,Canada,,POINT (-55.23388499979285 48.701412000263645)
Selwyn Basin,Barite,Bedded-sedimentary,63.0000000001,-130.0,Canada,,POINT (-129.99999999999994 63.00000000009999)
Logtung,Beryllium,Non-pegmatite,59.9999999998,-131.6,Canada,,POINT (-131.6000000003997 59.999999999800195)
Finlayson Lake,Beryllium,Non-pegmatite,61.6913890004,-130.773889,Canada,,POINT (-130.7738890002771 61.691389000402125)
Yellowknife field,Beryllium,Pegmatite,62.4422220004,-114.3975,Canada,,POINT (-114.39750000042466 62.44222200044504)
FI,Beryllium,Pegmatite,62.5001200003,-113.00135,Canada,,POINT (-113.00135000000245 62.5001200003378)
Violet,Beryllium,Pegmatite,54.8873359998,-100.021786,Canada,,POINT (-100.02178599982398 54.88733599975666)
High Grade Dyke pegmatite,Beryllium,Pegmatite,56.6152999999,-95.8360999003,Canada,,POINT (-95.83609990029015 56.615299999895115)
Shatford Lake,Beryllium,Pegmatite,50.3918999,-95.4999998999,Canada,,POINT (-95.49999989987543 50.39189989996049)
Bernic Lake,Beryllium,Be Type Rare-Metal Pegmatite,50.4172688,-95.4361724998,Canada,,POINT (-95.43617249976103 50.417268800015165)
Buck-Coe-Pegli pegmatite,Beryllium,Pegmatite,50.4178009999,-95.3850169996,Canada,,POINT (-95.38501699963479 50.41780099991627)
Silver Leaf-Greer Lake,Beryllium,Pegmatite,50.3505999002,-95.2686,Canada,,POINT (-95.26859999998999 50.35059990016532)
Yitt pegmatite,Beryllium,Pegmatite,51.7273000001,-91.8228,Canada,,POINT (-91.82280000001992 51.727300000095)
Nama Creek,Beryllium,Pegmatite,49.0000190002,-86.9999770003,Canada,,POINT (-86.99997700033828 49.00001900017679)
James Bay (Lithium One),Beryllium,Be Type Rare-Metal Pegmatite,52.2014139997,-78.5062029996,Canada,,POINT (-78.50620299956876 52.20141399965644)
Height of Land Mine,Beryllium,Pegmatite,48.4269440002,-78.3452779997,Canada,,POINT (-78.34527799967992 48.42694400016552)
Québec Lithium,Beryllium,Pegmatite,48.410833,-77.8091670001,Canada,,POINT (-77.80916700005696 48.410833000043)
Beryl Pit,Beryllium,Pegmatite,45.3141669999,-77.3783329999,Canada,,POINT (-77.37833299986801 45.31416699990717)
Matthews Yankee,Beryllium,Pegmatite,44.5833090001,-76.4162900004,Canada,,POINT (-76.41629000038319 44.58330900011032)
Mont Saint-Hilaire,Beryllium,Non-pegmatite,45.5627780001,-73.141667,Canada,,POINT (-73.14166700003199 45.562778000104686)
New Brunswick,Beryllium,Non-pegmatite,46.5653163004,-66.4619164004,Canada,,POINT (-66.4619164004215 46.565316300407005)
Nova Scotia,Beryllium,Non-pegmatite,44.6819865999,-63.7443109996,Canada,,POINT (-63.744310999552965 44.681986599901734)
Prince Edward Island,Beryllium,Non-pegmatite,46.2382400003,-63.1310704001,Canada,,POINT (-63.13107040007884 46.23824000027582)
Mann #1,Beryllium,Non-pegmatite,54.2333329999,-62.3833329996,Canada,,POINT (-62.383332999618176 54.23333299991805)
Seal Lake,Beryllium,Peralkaline intrusion Be,54.2333329999,-62.3833329996,Canada,,POINT (-62.383332999618176 54.23333299991805)
Nain Complex,Beryllium,Non-pegmatite,56.522222,-61.5280559999,Canada,,POINT (-61.52805599988443 56.5222220000453)
Dumont,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,48.6489999998,-78.4420000003,Canada,,POINT (-78.44200000029974 48.64899999975023)
Ferguson Lake,Cobalt,Magmatic Ni-Cu(-Co-PGE) sulfide,62.917,-96.9670000001,Canada,,POINT (-96.96700000014982 62.917000000049995)
