main_id,indigenous_land_id,distance_to_centroid_m,distance_to_edge_m
ON-MAIN-fc4f3bb2-1,ZZ-IND-595c0ff9-1,10115.25,7439.25
QC-MAIN-a07b1ea4-1,,,
QC-MAIN-9245d5f2-1,ZZ-IND-d628b6ef-1,9097.5,6873.92
AB-MAIN-0400fad0-1,,,
ON-MAIN-621e4f9d-1,,,
QC-MAIN-0d3e2477-1,,,
QC-MAIN-a80a23b5-1,,,
AB-MAIN-d0340ea2-1,,,
QC-MAIN-1cdc4109-1,ZZ-IND-ac711172-1,6778.38,5908.09
QC-MAIN-e6f9d1aa-1,ZZ-IND-ac711172-1,5510.56,4664.12
ON-MAIN-ab3beaca-1,ZZ-IND-b4b179d4-1,12614.35,1418.07
ON-MAIN-b8eb9cec-1,,,
ON-MAIN-5d575b1c-1,,,
AB-MAIN-9e5c8260-1,ZZ-IND-75a67250-1,24736.96,7957.96
ON-MAIN-6d63265c-1,,,
QC-MAIN-7aedd1d1-1,,,
QC-MAIN-b82e1010-1,,,
QC-MAIN-e346178b-1,,,
QC-MAIN-8395491a-1,,,
QC-MAIN-d5f7f7a9-1,,,
ON-MAIN-79b5b7f0-1,,,
QC-MAIN-a131cab8-1,,,
QC-MAIN-7af0f951-1,,,
SK-MAIN-df629bdd-1,ZZ-IND-34a1b0be-1,137329.53,2516.6
SK-MAIN-df629bdd-1,ZZ-IND-2aca4401-1,6027.83,5976.68
SK-MAIN-df629bdd-1,ZZ-IND-2a031e33-1,9847.36,9034.13
SK-MAIN-df629bdd-1,ZZ-IND-2634b043-1,355108.79,5529.69
AB-MAIN-e7f96788-1,,,
MB-MAIN-88871a03-1,ZZ-IND-7b48e5c4-1,3382.47,3251.75
QC-MAIN-4201fced-1,ZZ-IND-2d1513ea-1,7264.81,3664.84
QC-MAIN-5dd926d1-1,,,
ON-MAIN-c630ce3f-1,,,
ON-MAIN-4181dc29-1,,,
QC-MAIN-6ac74402-1,,,
MB-MAIN-1d0c2cb3-1,ZZ-IND-d7129510-1,7588.86,7547.61
MB-MAIN-1d0c2cb3-1,ZZ-IND-7b48e5c4-1,9657.13,9601.99
ON-MAIN-9326076c-1,,,
ON-MAIN-a427926b-1,,,
BC-MAIN-637c52c2-1,ZZ-IND-44e217ad-1,4386.59,3362.62
BC-MAIN-637c52c2-1,ZZ-IND-e1ab0821-1,2955.42,2674.11
BC-MAIN-637c52c2-1,ZZ-IND-865a1ba2-1,6583.85,6196.31
BC-MAIN-637c52c2-1,ZZ-IND-11d50d88-1,5943.19,5698.46
BC-MAIN-637c52c2-1,ZZ-IND-3713e000-1,4186.87,3414.77
BC-MAIN-637c52c2-1,ZZ-IND-8561bef4-1,8628.29,8099.0
ON-MAIN-f7c901fd-1,,,
QC-MAIN-ef20c691-1,,,
NL-MAIN-06a353b2-1,,,
MB-MAIN-90b02c47-1,ZZ-IND-7c4b9bb7-1,9438.37,9357.25
ON-MAIN-8869c24c-1,,,
ON-MAIN-f43e32c4-1,,,
AB-MAIN-feb0ef06-1,ZZ-IND-75a67250-1,24164.41,7556.58
QC-MAIN-2cd944d9-1,,,
ON-MAIN-dd48cf98-1,,,
ON-MAIN-2e8f3879-1,,,
ON-MAIN-d1b9bbe6-1,,,
ON-MAIN-7aca343d-1,,,
QC-MAIN-3af5b4c3-1,,,
BC-MAIN-bcfb90e1-1,ZZ-IND-2690e0c5-1,9512.15,9203.46
BC-MAIN-bcfb90e1-1,ZZ-IND-7f641629-1,9010.79,7821.77
BC-MAIN-bcfb90e1-1,ZZ-IND-9430d40a-1,8008.34,7523.6
BC-MAIN-16a191d7-1,ZZ-IND-2690e0c5-1,8930.01,8621.87
BC-MAIN-16a191d7-1,ZZ-IND-7f641629-1,9027.51,7909.2
BC-MAIN-16a191d7-1,ZZ-IND-9430d40a-1,8245.98,7739.9
QC-MAIN-662f8a99-1,,,
QC-MAIN-d7a77a42-1,ZZ-IND-2d1513ea-1,6033.25,196.0
ON-MAIN-41376f49-1,ZZ-IND-7f51465e-1,3761.57,3340.68
ON-MAIN-41376f49-1,ZZ-IND-595c0ff9-1,12009.19,9661.16
MB-MAIN-a67682ea-1,ZZ-IND-7c4b9bb7-1,9792.16,9704.04
ON-MAIN-cc6e92f1-1,,,
QC-MAIN-6cad640b-1,,,
ON-MAIN-ce39294f-1,,,
AB-MAIN-e029cb1f-1,,,
BC-MAIN-9be7e69d-1,,,
QC-MAIN-746467df-1,,,
BC-MAIN-7470aff6-1,ZZ-IND-a9710281-1,3561.5,2839.75
BC-MAIN-7470aff6-1,ZZ-IND-d0e88cfc-1,385.33,371.79
BC-MAIN-7470aff6-1,ZZ-IND-4f9b2518-1,10216.91,9563.51
BC-MAIN-7470aff6-1,ZZ-IND-cb14a785-1,9421.6,8658.13
BC-MAIN-7470aff6-1,ZZ-IND-144c62b5-1,4004.1,3731.28
ON-MAIN-10a30e3e-1,,,
SK-MAIN-42af1816-1,ZZ-IND-34a1b0be-1,138376.41,1125.79
SK-MAIN-42af1816-1,ZZ-IND-2aca4401-1,7245.93,7193.87
SK-MAIN-42af1816-1,ZZ-IND-2a031e33-1,10050.25,9211.8
SK-MAIN-42af1816-1,ZZ-IND-2634b043-1,354258.63,7044.61
ON-MAIN-34211858-1,,,
ON-MAIN-1252073c-1,,,
QC-MAIN-f6f57dd6-1,,,
NL-MAIN-f9946847-2,,,
QC-MAIN-3be44b79-1,,,
ON-MAIN-e116f385-1,,,
AB-MAIN-e2815b92-1,,,
NT-MAIN-47858377-1,ZZ-IND-706c331b-1,45297.79,2438.96
ON-MAIN-0df6012f-1,,,
QC-MAIN-6c3c0289-1,,,
NL-MAIN-2b03e509-1,,,
BC-MAIN-07ad2be6-1,,,
BC-MAIN-955f8afa-1,ZZ-IND-4cfd3599-1,10049.84,9917.17
BC-MAIN-955f8afa-1,ZZ-IND-8e408f33-1,6504.94,6457.12
YT-MAIN-411f048c-1,,,
BC-MAIN-832d756d-1,,,
BC-MAIN-21e4646e-1,,,
BC-MAIN-c87d00e6-1,,,
BC-MAIN-b35001c5-1,,,
BC-MAIN-51177ba8-1,,,
BC-MAIN-5ec20643-1,,,
NL-MAIN-bd410410-2,,,
YT-MAIN-68063961-2,ZZ-IND-971da58a-1,54159.6,4974.3
BC-MAIN-89916018-1,,,
YT-MAIN-6943b8cf-1,ZZ-IND-2e2b9a0e-1,47688.71,967.06
MB-MAIN-84300b33-1,,,
BC-MAIN-6b1be260-1,,,
BC-MAIN-b799f085-1,,,
BC-MAIN-67ecc2f4-1,,,
ON-MAIN-099602fd-1,,,
NU-MAIN-5d4f52b4-1,ZZ-IND-cde1dfbe-1,94754.14,350.28
SK-MAIN-92c5ea59-1,,,
BC-MAIN-b6add796-1,,,
NL-MAIN-790a609b-1,,,
QC-MAIN-383c2fa3-1,,,
BC-MAIN-1638bb75-1,,,
BC-MAIN-ac5c4f8e-1,,,
ON-MAIN-41bc0337-1,,,
QC-MAIN-5d1776d5-1,,,
BC-MAIN-18aacb3e-1,,,
BC-MAIN-853363d1-1,,,
QC-MAIN-1b3434ee-1,,,
BC-MAIN-b6135486-1,,,
BC-MAIN-96b6e5eb-1,,,
BC-MAIN-53bba17f-1,,,
YT-MAIN-11319f2d-1,ZZ-IND-2e2b9a0e-1,68339.12,600.08
MB-MAIN-e03a8156-1,,,
YT-MAIN-6dca29e5-1,ZZ-IND-2e2b9a0e-1,70078.04,5744.03
BC-MAIN-3091ca70-1,,,
MB-MAIN-b483545e-1,,,
YT-MAIN-60122d63-1,ZZ-IND-50397080-1,46510.11,3906.7
MB-MAIN-515b1195-1,,,
MB-MAIN-82ea0522-1,,,
MB-MAIN-6d9f24ca-1,,,
MB-MAIN-d97f30a3-1,,,
MB-MAIN-567f87fa-1,,,
ON-MAIN-4d689934-1,,,
ON-MAIN-7f2e11bd-1,,,
QC-MAIN-ce74de1a-1,,,
QC-MAIN-fe7c9493-1,,,
QC-MAIN-d0738410-1,,,
ON-MAIN-f944754f-1,,,
QC-MAIN-a7571857-1,,,
QC-MAIN-69334cb0-1,,,
QC-MAIN-2b8cc0f4-1,,,
AB-MAIN-cc42475c-1,,,
AB-MAIN-a23961e4-1,,,
QC-MAIN-ba3d416f-1,,,
QC-MAIN-bc5dd61c-1,,,
QC-MAIN-82b2717c-1,,,
