main_id,wpda_id,distance_to_centroid_m,distance_to_edge_m
BC-MAIN-435152ad-1,BC-WPDA-4386f71c-1,6799.12,6576.91
YT-MAIN-68063961-1,,,
BC-MAIN-1342ed5d-1,BC-WPDA-5d36ba5c-1,78257.68,2279.09
ON-MAIN-dcf3194d-1,ON-WPDA-5a5278ef-1,4009.73,3204.08
ON-MAIN-dcf3194d-1,ON-WPDA-74e03175-1,10027.65,9249.45
ON-MAIN-af5d904f-1,,,
NT-MAIN-7e17e361-1,,,
NT-MAIN-debdc8cf-1,,,
NT-MAIN-72d9e68b-1,,,
QC-MAIN-410d5427-1,,,
QC-MAIN-31468429-1,,,
QC-MAIN-e37f7069-1,QC-WPDA-1c2dffcd-1,155165.15,6277.47
QC-MAIN-e37f7069-1,QC-WPDA-25525451-1,185400.19,5515.91
NU-MAIN-2375f916-1,,,
QC-MAIN-a3f1b673-1,,,
NL-MAIN-2d168cf5-1,,,
NL-MAIN-26e5bd2d-1,NL-WPDA-c896eedf-1,8755.7,6273.89
NL-MAIN-c5737f5f-1,,,
QC-MAIN-696faf4f-1,,,
QC-MAIN-dc872009-1,,,
QC-MAIN-4c223b8f-1,,,
QC-MAIN-a55bfb50-1,,,
MB-MAIN-c8fbe1c0-1,,,
NL-MAIN-be92136a-1,,,
ON-MAIN-7b682137-1,ON-WPDA-fe763df9-1,6334.59,5246.13
ON-MAIN-7b682137-1,ON-WPDA-714f6635-1,5656.65,4720.76
ON-MAIN-8d7da620-1,ON-WPDA-172d7ed7-1,10163.69,9850.7
ON-MAIN-e79f2bec-1,ON-WPDA-5a5278ef-1,9878.48,9088.63
ON-MAIN-22af9c76-1,,,
ON-MAIN-48489720-1,ON-WPDA-5a5278ef-1,10323.39,9540.08
ON-MAIN-20ca68bc-1,,,
ON-MAIN-9e805c41-1,,,
ON-MAIN-eba2313b-1,ON-WPDA-714f6635-1,5788.94,4883.57
ON-MAIN-2a7426bd-1,ON-WPDA-5a5278ef-1,9343.86,8515.81
QC-MAIN-2747f5c0-1,,,
QC-MAIN-5a8a80ca-1,,,
ON-MAIN-bf708684-1,,,
NL-MAIN-f9946847-1,,,
SK-MAIN-3fcec2e7-1,,,
SK-MAIN-cbbe4602-1,,,
SK-MAIN-fa315b6c-1,,,
SK-MAIN-cec62931-1,,,
AB-MAIN-088a29d1-1,,,
AB-MAIN-c1f37e9f-1,,,
AB-MAIN-3014a94d-1,,,
AB-MAIN-bfdf3cbd-1,,,
AB-MAIN-49171f37-1,,,
AB-MAIN-189a0c74-1,AB-WPDA-864c131a-1,10166.7,9941.2
AB-MAIN-0b9235e1-1,,,
AB-MAIN-2a973ac9-1,,,
BC-MAIN-eb5b0a1d-1,BC-WPDA-d8990db1-1,2337.8,1458.74
QC-MAIN-36e82d90-1,ZZ-WPDA-9cc4c713-1,15156.15,9363.48
QC-MAIN-36e82d90-1,ZZ-WPDA-76934115-1,9168.75,8667.34
QC-MAIN-36e82d90-1,ZZ-WPDA-9a263424-1,6850.49,6107.26
QC-MAIN-36e82d90-1,ZZ-WPDA-fef35b65-1,8207.18,6800.5
QC-MAIN-36e82d90-1,ZZ-WPDA-6b674afd-1,5318.79,5075.4
QC-MAIN-36e82d90-1,ZZ-WPDA-9df32e14-1,4975.11,4164.52
QC-MAIN-36e82d90-1,ZZ-WPDA-24429595-1,4596.63,4549.32
QC-MAIN-36e82d90-1,QC-WPDA-4a4f03ae-1,3489.19,2648.58
QC-MAIN-36e82d90-1,ZZ-WPDA-8dd20bf8-1,9209.11,4508.89
QC-MAIN-36e82d90-1,QC-WPDA-8bc55150-1,3971.12,3567.58
QC-MAIN-36e82d90-1,ZZ-WPDA-44c05be8-1,11150.84,9363.48
QC-MAIN-36e82d90-1,QC-WPDA-f394819e-1,2342.6,1898.73
QC-MAIN-36e82d90-1,ZZ-WPDA-88c6887a-1,1667.35,1103.47
QC-MAIN-36e82d90-1,QC-WPDA-71ae7899-1,4347.39,4287.54
QC-MAIN-36e82d90-1,ZZ-WPDA-246faf57-1,4610.95,4556.33
QC-MAIN-36e82d90-1,QC-WPDA-eaf452fd-1,3256.22,2578.87
QC-MAIN-36e82d90-1,ZZ-WPDA-5d1bd476-1,8282.47,8155.61
QC-MAIN-36e82d90-1,QC-WPDA-79dfb115-1,8004.79,7527.35
NB-MAIN-6593e458-1,NB-WPDA-ae6399d5-1,4371.72,3592.16
NB-MAIN-6593e458-1,NB-WPDA-5b42747c-1,9984.19,9408.53
NB-MAIN-6593e458-1,NB-WPDA-fee2628f-1,7546.63,7208.63
NB-MAIN-6593e458-1,NB-WPDA-831bba89-1,6426.01,6297.9
NB-MAIN-6593e458-1,NB-WPDA-7f4447de-1,9236.86,8652.76
NB-MAIN-6593e458-1,NB-WPDA-968f5908-1,6243.98,5732.5
NB-MAIN-6593e458-1,NB-WPDA-9ad9b8e5-1,10091.66,9940.89
NB-MAIN-6593e458-1,ZZ-WPDA-a06c296d-1,6571.5,4534.97
ON-MAIN-0dc1ca23-1,ON-WPDA-a624bb00-1,11194.75,9654.93
ON-MAIN-0dc1ca23-1,ON-WPDA-07e3663f-1,6585.96,6500.59
ON-MAIN-0dc1ca23-1,ON-WPDA-f9cc0b57-1,6117.54,6093.46
ON-MAIN-0dc1ca23-1,ON-WPDA-4d6d4f4f-1,6306.86,6276.16
ON-MAIN-0dc1ca23-1,ON-WPDA-bdf525e1-1,8445.9,8380.71
ON-MAIN-0dc1ca23-1,ON-WPDA-bbab00b2-1,6876.67,5548.23
QC-MAIN-8ca456ee-1,ZZ-WPDA-9a263424-1,6345.59,5642.07
QC-MAIN-8ca456ee-1,ZZ-WPDA-fef35b65-1,5139.13,3125.2
QC-MAIN-8ca456ee-1,ZZ-WPDA-6b674afd-1,3159.5,2956.18
QC-MAIN-8ca456ee-1,ZZ-WPDA-9df32e14-1,7181.54,5887.1
QC-MAIN-8ca456ee-1,ZZ-WPDA-24429595-1,6743.99,6698.8
QC-MAIN-8ca456ee-1,QC-WPDA-4a4f03ae-1,7122.6,6684.07
QC-MAIN-8ca456ee-1,QC-WPDA-8bc55150-1,6542.43,5995.64
QC-MAIN-8ca456ee-1,QC-WPDA-f394819e-1,8655.88,6761.82
QC-MAIN-8ca456ee-1,ZZ-WPDA-88c6887a-1,7655.81,5466.85
QC-MAIN-8ca456ee-1,QC-WPDA-71ae7899-1,7668.28,7638.64
QC-MAIN-8ca456ee-1,QC-WPDA-8546aff0-1,8232.7,6115.92
QC-MAIN-8ca456ee-1,ZZ-WPDA-246faf57-1,7711.83,7664.9
QC-MAIN-8ca456ee-1,QC-WPDA-eaf452fd-1,7082.78,5117.21
QC-MAIN-8ca456ee-1,ZZ-WPDA-80b5d04f-1,9147.31,8007.8
QC-MAIN-8ca456ee-1,ZZ-WPDA-5d1bd476-1,6530.03,6201.79
QC-MAIN-8ca456ee-1,QC-WPDA-79dfb115-1,7847.69,7348.13
QC-MAIN-8ca456ee-1,QC-WPDA-8e852340-1,8312.13,6960.42
QC-MAIN-a8bc675a-1,QC-WPDA-90bd8a25-1,7541.62,7111.23
QC-MAIN-a8bc675a-1,QC-WPDA-8738ee01-1,5500.89,5390.45
QC-MAIN-a8bc675a-1,QC-WPDA-4e57a9e0-1,8704.21,8012.59
QC-MAIN-a8bc675a-1,QC-WPDA-88543526-1,9469.67,9341.59
QC-MAIN-a8bc675a-1,QC-WPDA-b4f5c84e-1,7726.08,7531.03
QC-MAIN-a8bc675a-1,QC-WPDA-54ba3784-1,7240.37,7175.27
QC-MAIN-a8bc675a-1,QC-WPDA-6862f110-1,7246.65,6929.7
QC-MAIN-a8bc675a-1,QC-WPDA-b46c05c0-1,10215.44,8652.57
QC-MAIN-a8bc675a-1,QC-WPDA-0825574f-1,9769.53,9686.18
QC-MAIN-a8bc675a-1,QC-WPDA-0463e9d9-1,4705.19,4655.26
QC-MAIN-4e8715a9-1,ZZ-WPDA-1350c20d-1,6427.57,5264.67
QC-MAIN-4e8715a9-1,ZZ-WPDA-1bd1da87-1,4609.34,3688.05
QC-MAIN-4e8715a9-1,ZZ-WPDA-f0e9a61c-1,5405.36,4601.25
QC-MAIN-4e8715a9-1,ZZ-WPDA-2bf226c9-1,10004.32,9594.04
QC-MAIN-4e8715a9-1,QC-WPDA-2076107b-1,9272.54,9025.15
QC-MAIN-41c4b402-1,QC-WPDA-f6b9e3d8-1,6855.98,5842.09
QC-MAIN-41c4b402-1,ZZ-WPDA-91840eb1-1,6443.28,6202.19
QC-MAIN-41c4b402-1,QC-WPDA-8738ee01-1,3901.12,3875.9
QC-MAIN-41c4b402-1,QC-WPDA-4e57a9e0-1,6239.33,5502.85
QC-MAIN-41c4b402-1,QC-WPDA-53586158-1,8914.8,8804.68
QC-MAIN-41c4b402-1,QC-WPDA-9b0452ed-1,6859.64,6535.81
QC-MAIN-41c4b402-1,QC-WPDA-723e213e-1,7859.62,7593.72
QC-MAIN-41c4b402-1,QC-WPDA-9b42b952-1,9073.25,8568.04
QC-MAIN-41c4b402-1,QC-WPDA-e4ddb4a4-1,4748.35,4215.82
QC-MAIN-41c4b402-1,QC-WPDA-1f68683c-1,10746.23,9004.21
QC-MAIN-41c4b402-1,QC-WPDA-992cc22a-1,8260.79,6936.71
QC-MAIN-41c4b402-1,ZZ-WPDA-45838f65-1,8081.93,6819.91
QC-MAIN-41c4b402-1,QC-WPDA-c4040d68-1,8765.2,6770.42
QC-MAIN-41c4b402-1,QC-WPDA-3460df07-1,6071.58,5055.18
QC-MAIN-41c4b402-1,QC-WPDA-2c2c715d-1,9910.36,9646.0
QC-MAIN-41c4b402-1,QC-WPDA-6862f110-1,1279.59,1047.99
QC-MAIN-41c4b402-1,QC-WPDA-b46c05c0-1,6450.15,4841.36
QC-MAIN-41c4b402-1,QC-WPDA-ca4fb02f-1,9670.0,9405.13
QC-MAIN-41c4b402-1,QC-WPDA-a8d95f69-1,9153.27,8920.09
ON-MAIN-a4f158ba-1,ON-WPDA-22837574-1,6350.66,3471.35
ON-MAIN-a4f158ba-1,ON-WPDA-eeee38bc-1,9097.78,8125.85
ON-MAIN-a4f158ba-1,ON-WPDA-f531fb6f-1,5963.63,5491.93
ON-MAIN-a4f158ba-1,ON-WPDA-47e48a4e-1,8031.71,7547.63
ON-MAIN-a4f158ba-1,ON-WPDA-f2a7eafb-1,5847.68,4496.05
ON-MAIN-a4f158ba-1,ON-WPDA-232489b6-1,8732.54,7587.93
ON-MAIN-a4f158ba-1,ON-WPDA-26342ed8-1,6648.37,5513.66
ON-MAIN-a4f158ba-1,ON-WPDA-86d96ddf-1,6031.1,2002.61
ON-MAIN-a4f158ba-1,ON-WPDA-58205a73-1,5561.63,1037.37
ON-MAIN-a4f158ba-1,ON-WPDA-ec3894b3-1,6525.16,5503.71
ON-MAIN-a4f158ba-1,QC-WPDA-f0ee618d-1,8428.78,8281.77
ON-MAIN-a4f158ba-1,QC-WPDA-f2ad2a59-1,8159.53,7619.43
ON-MAIN-a4f158ba-1,QC-WPDA-27dc4ed3-1,8716.59,8100.27
ON-MAIN-a4f158ba-1,QC-WPDA-ab39c2a4-1,10109.14,9131.81
ON-MAIN-a4f158ba-1,QC-WPDA-ff640ccf-1,8534.87,8100.27
ON-MAIN-a4f158ba-1,QC-WPDA-469ac84d-1,9559.38,8701.04
ON-MAIN-a4f158ba-1,QC-WPDA-ea465122-1,10420.25,9882.24
ON-MAIN-a4f158ba-1,ON-WPDA-8f46d04c-1,10861.15,9757.92
ON-MAIN-a4f158ba-1,QC-WPDA-513a3cfa-1,7397.23,7176.26
ON-MAIN-a4f158ba-1,QC-WPDA-34bb4dbf-1,9860.27,8826.76
ON-MAIN-a4f158ba-1,QC-WPDA-949371bf-1,8850.78,8663.32
ON-MAIN-a4f158ba-1,ON-WPDA-3c719ec8-1,82157.2,5810.89
ON-MAIN-a4f158ba-1,ON-WPDA-d8a6846b-1,8137.95,7798.13
ON-MAIN-fc4f3bb2-1,,,
QC-MAIN-a07b1ea4-1,QC-WPDA-11606b66-1,27457.58,5239.46
QC-MAIN-9245d5f2-1,QC-WPDA-50acf868-1,8671.51,7737.12
QC-MAIN-9245d5f2-1,ZZ-WPDA-ec66100d-1,1222.87,415.39
QC-MAIN-9245d5f2-1,ZZ-WPDA-8c81bf74-1,1675.53,671.54
QC-MAIN-9245d5f2-1,ZZ-WPDA-e251255e-1,9447.68,8669.86
QC-MAIN-9245d5f2-1,ZZ-WPDA-a30bcdec-1,7534.19,6212.17
QC-MAIN-9245d5f2-1,ZZ-WPDA-3752442d-1,4153.66,3450.29
QC-MAIN-9245d5f2-1,ZZ-WPDA-7142a5a5-1,4096.35,3821.64
QC-MAIN-9245d5f2-1,ZZ-WPDA-98a0034a-1,4069.96,2501.41
QC-MAIN-9245d5f2-1,QC-WPDA-8a23d9e7-1,6933.1,4710.96
QC-MAIN-9245d5f2-1,QC-WPDA-e411693b-1,10023.63,8431.02
QC-MAIN-9245d5f2-1,ZZ-WPDA-7ea3b027-1,9571.38,8907.46
QC-MAIN-9245d5f2-1,ZZ-WPDA-f7881e9e-1,9234.97,6006.22
QC-MAIN-9245d5f2-1,QC-WPDA-92df9d80-1,6477.56,4684.38
QC-MAIN-9245d5f2-1,QC-WPDA-9efd084e-1,10230.8,9692.11
QC-MAIN-9245d5f2-1,QC-WPDA-68d0f62b-1,5441.38,3895.64
QC-MAIN-9245d5f2-1,QC-WPDA-4b7da6be-1,8269.8,7984.2
QC-MAIN-9245d5f2-1,QC-WPDA-842285ce-1,8477.16,7776.49
QC-MAIN-9245d5f2-1,QC-WPDA-d57e0ba3-1,8467.25,8085.68
QC-MAIN-9245d5f2-1,ZZ-WPDA-11c8c1e4-1,8750.86,7166.62
QC-MAIN-9245d5f2-1,QC-WPDA-09c1539d-1,6662.83,3813.18
AB-MAIN-0400fad0-1,AB-WPDA-0ba3aff8-1,7393.18,6984.04
ON-MAIN-621e4f9d-1,ON-WPDA-15ab2715-1,9392.76,8924.47
ON-MAIN-621e4f9d-1,ON-WPDA-a624bb00-1,8842.47,7307.62
ON-MAIN-621e4f9d-1,ON-WPDA-b2b3fdc5-1,9271.77,9002.44
ON-MAIN-621e4f9d-1,ON-WPDA-07e3663f-1,8862.59,8781.8
ON-MAIN-621e4f9d-1,ON-WPDA-f9cc0b57-1,8292.68,8271.38
ON-MAIN-621e4f9d-1,ON-WPDA-9c2affd6-1,9371.4,9237.77
ON-MAIN-621e4f9d-1,ON-WPDA-4d6d4f4f-1,8548.93,8508.05
ON-MAIN-621e4f9d-1,ON-WPDA-f932e501-1,9938.7,9639.33
ON-MAIN-621e4f9d-1,ON-WPDA-bbab00b2-1,8873.6,7319.91
