main_id,tang_id,distance_to_centroid_m,distance_to_edge_m
QC-MAIN-cb4de7b8-1,QC-TANG-4f39ef00-1,3507.45,2868.03
QC-MAIN-cb4de7b8-1,QC-TANG-33c2d364-1,4915.25,4602.58
QC-MAIN-cb4de7b8-1,QC-TANG-15065568-1,4648.14,4384.71
QC-MAIN-cb4de7b8-1,QC-TANG-ef0dba86-1,4839.66,4669.84
QC-MAIN-cb4de7b8-1,QC-TANG-e5948de8-1,5371.1,4900.01
QC-MAIN-cb4de7b8-1,QC-TANG-17fcdcc2-1,8444.1,8258.99
QC-MAIN-cb4de7b8-1,QC-TANG-490653f0-1,9382.99,9166.17
QC-MAIN-cb4de7b8-1,QC-TANG-9977e3b0-1,10151.57,9592.41
BC-MAIN-f5fe547c-1,BC-TANG-61d949d2-1,232.89,133.47
BC-MAIN-f5fe547c-1,BC-TANG-3e2fd2f0-1,1704.1,1603.28
NL-MAIN-b066a0c7-1,NL-TANG-9f630ac6-1,7516.17,6788.62
NL-MAIN-b066a0c7-1,NL-TANG-99cffd8f-1,6202.51,6052.85
NL-MAIN-b066a0c7-1,NL-TANG-9c3e1c0c-1,5887.21,5701.17
NL-MAIN-b066a0c7-1,NL-TANG-0bddb43b-1,6067.24,5898.72
NL-MAIN-b066a0c7-1,NL-TANG-510cf7a2-1,559.98,354.67
NL-MAIN-b066a0c7-1,NL-TANG-0893ef47-1,5043.45,3665.23
ON-MAIN-86b89a70-1,ON-TANG-ad21a008-1,10049.29,9555.06
ON-MAIN-86b89a70-1,ON-TANG-235b6e79-1,10146.85,9927.51
ON-MAIN-86b89a70-1,ON-TANG-42e02b89-1,7410.81,6863.06
ON-MAIN-86b89a70-1,ON-TANG-087d57e7-1,9635.65,9439.24
ON-MAIN-86b89a70-1,ON-TANG-e6f1b38a-1,6014.97,5720.78
ON-MAIN-86b89a70-1,ON-TANG-64dc3f79-1,10467.03,9868.44
ON-MAIN-86b89a70-1,ON-TANG-14fb927f-1,6208.16,5835.69
ON-MAIN-86b89a70-1,ON-TANG-9bd4add2-1,5510.1,5041.36
ON-MAIN-86b89a70-1,ON-TANG-ed697bd3-1,9229.97,8998.82
ON-MAIN-86b89a70-1,ON-TANG-d0cad553-1,8908.36,8827.14
ON-MAIN-86b89a70-1,ON-TANG-b82aefed-1,680.2,288.29
ON-MAIN-86b89a70-1,ON-TANG-28d44016-1,1632.92,1069.82
ON-MAIN-86b89a70-1,ON-TANG-1d5aeb20-1,6791.52,6334.69
ON-MAIN-86b89a70-1,ON-TANG-f9e25b13-1,7544.44,6901.39
ON-MAIN-6b291dc6-1,,,
QC-MAIN-03247f98-1,QC-TANG-de5a6bf9-1,66.84,82.56
QC-MAIN-03247f98-1,QC-TANG-f7122c05-1,1445.96,995.67
QC-MAIN-03247f98-1,QC-TANG-2d156711-1,1395.09,1045.56
QC-MAIN-03247f98-1,QC-TANG-255578d9-1,892.33,803.06
QC-MAIN-03247f98-1,QC-TANG-1351f9cd-1,867.3,804.84
QC-MAIN-03247f98-1,QC-TANG-04c91823-1,1003.89,925.41
QC-MAIN-03247f98-1,QC-TANG-f8a90192-1,1135.76,1085.08
QC-MAIN-03247f98-1,QC-TANG-152bc21c-1,1613.64,1410.17
QC-MAIN-03247f98-1,QC-TANG-86e9d2b5-1,2951.98,2827.21
QC-MAIN-03247f98-1,QC-TANG-82308891-1,4548.03,4246.54
