Geography,Commodity,Product_type,Variable,Unit,Value
Canada,Aluminum,Undefined,Value of shipments,Dollars,11839581728.0
Canada,Cobalt,recoverable,Value of shipments,Dollars,139569499.0
Canada,Cobalt,refined,Value of shipments,Dollars,154136771.0
Canada,Copper,concentrates,Value of shipments,Dollars,6949789153.0
Canada,Copper,recoverable,Value of shipments,Dollars,5423211129.0
Canada,Gold,recoverable,Value of shipments,Dollars,15700820584.0
Canada,Gold and silver bullion,crude and dore,Value of shipments,Dollars,13674792714.0
Canada,Iron,concentrates,Value of shipments,Dollars,4656207015.0
Canada,Lead,refined from secondary,Value of shipments,Dollars,124567825.0
Canada,Nickel,concentrates,Value of shipments,Dollars,3272068253.0
Canada,Nickel,recoverable,Value of shipments,Dollars,3208434360.0
Canada,Palladium,recoverable,Value of shipments,Dollars,356942759.0
Canada,Platinum,recoverable,Value of shipments,Dollars,41402038.0
Canada,Platinum group,recoverable,Value of shipments,Dollars,603702246.0
Canada,Platinum group,refined,Value of shipments,Dollars,623221042.0
Canada,Silver,recoverable,Value of shipments,Dollars,221154428.0
Canada,Silver,refined,Value of shipments,Dollars,8580387423.0
Canada,Zinc,concentrates,Value of shipments,Dollars,366086393.0
Canada,Zinc,recoverable,Value of shipments,Dollars,323758085.0
