Geography,Commodity,Product_type,Variable,Unit,Value
Canada,Aluminum,alloys,Quantity produced,Tonnes,43691.0
Canada,Aluminum,molten metal,Quantity produced,Tonnes,3258153.0
Canada,Aluminum,undefined,Quantity produced,Tonnes,3301844.0
Canada,Cobalt,recoverable,Quantity produced,Kilograms,3461609.0
Canada,Cobalt,refined,Quantity produced,Kilograms,4923174.0
Canada,Copper,concentrates,Quantity produced,Kilograms,1472936470.0
Canada,Copper,recoverable,Quantity produced,Kilograms,499791211.0
Canada,Gold,recoverable,Quantity produced,Kilograms,189538.0
Canada,Gold and silver bullion,crude and dore,Quantity produced,Kilograms,213502.0
Canada,Iron,concentrates,Quantity produced,Tonnes,61232848.0
Canada,Nickel,concentrates,Quantity produced,Kilograms,949236267.0
Canada,Nickel,recoverable,Quantity produced,Kilograms,122253236.0
Canada,Palladium,recoverable,Quantity produced,Grams,6699511.0
Canada,Platinum,recoverable,Quantity produced,Grams,1309769.0
Canada,Platinum group,recoverable,Quantity produced,Grams,13061382.0
Canada,Platinum group,refined,Quantity produced,Grams,11541177.0
Canada,Silver,recoverable,Quantity produced,Kilograms,221118.0
Canada,Silver,refined,Quantity produced,Kilograms,6720981.0
Canada,Zinc,concentrates,Quantity produced,Kilograms,213493000.0
Canada,Zinc,recoverable,Quantity produced,Kilograms,99789481.0
