Geography,Commodity,Product_type,Variable,Unit,Value
Canada,Aluminum,Undefined,Quantity shipped,Tonnes,3256970.0
Canada,Cobalt,recoverable,Quantity shipped,Kilograms,3226845.0
Canada,Cobalt,refined,Quantity shipped,Kilograms,5999944.0
Canada,Copper,concentrates,Quantity shipped,Kilograms,1441406043.0
Canada,Copper,recoverable,Quantity shipped,Kilograms,636464922.0
Canada,Gold,recoverable,Quantity shipped,Kilograms,188686.0
Canada,Gold and silver bullion,crude and dore,Quantity shipped,Kilograms,210028.0
Canada,Iron,concentrates,Quantity shipped,Tonnes,43093149.0
Canada,Nickel,concentrates,Quantity shipped,Kilograms,838529960.0
Canada,Nickel,recoverable,Quantity shipped,Kilograms,114738974.0
Canada,Palladium,recoverable,Quantity shipped,Grams,6957143.0
Canada,Platinum,recoverable,Quantity shipped,Grams,1232629.0
Canada,Platinum group,recoverable,Quantity shipped,Grams,11656260.0
Canada,Platinum group,refined,Quantity shipped,Grams,11514903.0
Canada,Silver,recoverable,Quantity shipped,Kilograms,228395.0
Canada,Silver,refined,Quantity shipped,Kilograms,8461807.0
Canada,Zinc,concentrates,Quantity shipped,Kilograms,211088000.0
Canada,Zinc,recoverable,Quantity shipped,Kilograms,101351747.0
