row_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,data_type,unit,value,comment,source
PROD-1f126a43-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a43,-,,mining,"Underground, concentrator","Gold, silver",Ore,2,Ore processed,Production,t,19594928.0,,2023-Sustainability-Performance_data
PROD-1f126a44-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a44,-,,mining,"Underground, concentrator","Gold, silver",Gold,4,Intermediate metal,Production,oz,684640.0,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",2023-Sustainability-Performance_data
PROD-1f126a45-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,ON-MAIN-1f126a45,-,,mining,"Underground, concentrator","Gold, silver",Silver,4,Intermediate metal,Production,koz,310.0,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",2023-Sustainability-Performance_data
PROD-e7e6a960-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a960,-,,mining,"Open-pit, concentrator",Gold,Gold,2,Ore processed,Production,t,25434853.5024164,,2023-Sustainability-Performance_data
PROD-e7e6a963-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a963,-,,mining,"Open-pit, concentrator",Gold,Gold,4,Intermediate metal,Production,oz,677446.0,Like intermediate metal,2023-Sustainability-Performance_data
PROD-e7e6a964-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,QC-MAIN-e7e6a964,-,,mining,"Open-pit, concentrator",Gold,Silver,4,Intermediate metal,Production,koz,79.0,Like intermediate metal,2023-Sustainability-Performance_data
PROD-8b0264c9-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Ore,2,Ore processed,Production,t,2886927.3287239997,,2023-Sustainability-Performance_data
PROD-8b0264c9-2023-2,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Gold,4,Intermediate metal,Production,oz,140982.567105,,2023-Sustainability-Performance_data
PROD-8b0264c9-2023-3,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Silver,4,Intermediate metal,Production,koz,2.0,,2023-Sustainability-Performance_data
PROD-8b0264c9-2023-4,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Goldex,NU-MAIN-8b0264c9,-,,mining,"Underground, concentrator","Gold, silver",Zinc,3,Concentrate,Production,t,39.036758,,2023-Sustainability-Performance_data
