row_id,year,level,geography,reported_company_nrcan,name,main_id,facility_group_id,company_id,facility_type,mining_processing_type,commodities_nrcan,commodity,reference_point,material_type,data_type,method,unit,value,comment,source,source_id
PROD-857b7b89-2023-1,2023,Site-specific,Canada,Newmont Corporation,Brucejack,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Underground, concentrator","Gold, silver",Ore,Total extraction,Ore mined,Production,Reported,kt,167.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-857b7b89-2023-2,2023,Site-specific,Canada,Newmont Corporation,Brucejack,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Ore processed,Production,Reported,kt,166.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-857b7b89-2023-3,2023,Site-specific,Canada,Newmont Corporation,Brucejack,BC-MAIN-857b7b89,,CMP-4a434d72,mining,"Underground, concentrator","Gold, silver",Gold,Usable ore,Contained metal in doré,Production,Reported,koz,29.0,,Operating_statistics_2023,NewmontCorporation_Operating_statistics_2023
PROD-de3d8b7b-2023-1,2023,Facility-group,Canada,Glencore,Canadian Electrolytic Zinc Limited (CEZinc),QC-MAIN-de3d8b7b,,CMP-d5f1c66b,Refinery,x,"Zinc, cadmium, liquid sulfur dioxide, sulfuric acid",Lead,Refined metal produced,Refinery production,Production,Reported,kt,244.6,,GLEN_2024-FY_ProductionReport_tables.xlsx,Glencore_GLEN_2024-FY_ProductionReport_tables
PROD-de3d8b7b-2023-2,2023,Facility-group,Canada,Glencore,Canadian Electrolytic Zinc Limited (CEZinc),QC-MAIN-de3d8b7b,,CMP-d5f1c66b,Refinery,x,"Zinc, cadmium, liquid sulfur dioxide, sulfuric acid",Zinc,Refined metal produced,Refinery production,Production,Reported,kt,752.6,,GLEN_2024-FY_ProductionReport_tables.xlsx,Glencore_GLEN_2024-FY_ProductionReport_tables
PROD-e7e6a960-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Ore,Crude ore,Ore processed,Production,Reported,kt,17332.9,,operational_data.xlsx,AgnicoEagleMinesLimited_operational_data
PROD-e7e6a960-2023-2,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Gold,Usable ore,Contained metal in doré,Production,Reported,oz,603955.0,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",operational_data.xlsx,AgnicoEagleMinesLimited_operational_data
PROD-e7e6a960-2023-3,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Canadian Malartic,QC-MAIN-e7e6a960,,CMP-6265c407,mining,"Underground, concentrator","Gold, silver",Silver,Usable ore,Contained metal in doré,Production,Reported,koz,311.0,"""Production reflects Agnico Eagle's 50% interest up to March 30 2023 and 100% thereafter""",operational_data.xlsx,AgnicoEagleMinesLimited_operational_data
PROD-dd723db4-2023-1,2023,Site-specific,Canada,Iron Ore Company of Canada,Carol Lake,NL-MAIN-dd723db4,,CMP-2da4630a,mining,"Open-pit, concentrator",Iron,Iron,Usable ore,Capacity,Capacity,Reported,kt,23000.0,,https://www.gem.wiki/IOC_Carol_Lake_Mine,https://www.gem.wiki/IOC_Carol_Lake_Mine
PROD-dd723db4-2023-2,2023,Site-specific,Canada,Iron Ore Company of Canada,Carol Lake,NL-MAIN-dd723db4,,CMP-2da4630a,mining,"Open-pit, concentrator",Iron,Iron,Total extraction,Ore mined,Production,Reported,kt,16478.0,Total production based on Rio Tinto's ownership share,rt-fact-book-addendum.xlsx,IronOreCompanyofCanada_rt-fact-book-addendum
PROD-b86f7d07-2023-1,2023,Site-specific,Canada,Hecla Mining Company,Casa Berardi,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Gold,Usable ore,Contained metal in doré,Production,Reported,koz,86.6,,https://www.hecla.com/operations/casa-berardi-quebec-canada,https://www.hecla.com/operations/casa-berardi-quebec-canada
PROD-b86f7d07-2023-2,2023,Site-specific,Canada,Hecla Mining Company,Casa Berardi,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Silver,Usable ore,Contained metal in doré,Production,Reported,koz,24.2,,https://www.hecla.com/operations/casa-berardi-quebec-canada,https://www.hecla.com/operations/casa-berardi-quebec-canada
PROD-b86f7d07-2023-3,2023,Site-specific,Canada,Hecla Mining Company,Casa Berardi,QC-MAIN-b86f7d07,,CMP-7e360a1f,mining,Concentrator,"Copper, gold, silver",Ore,Crude ore,Mill feed,Production,Reported,t,1361450.0,"""The Casa Berardi mill processes 3,730tpd, with future maximum production of 4,400tpd.""",TR_Casa_Berardi_2024.pdf,HeclaMiningCompany_TR_Casa_Berardi_2024
PROD-91cf5448-2023-1,2023,Site-specific,Canada,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,CMP-cadb529a,mining,Underground,Uranium,Uranium,Crude ore,Ore processed,Production,Calculated,Mlbs,96.40129496944846,"Calculated based on a 15,87% ore grade and 98,7% recovery rate",https://www.cameco.com/businesses/uranium-operations/canada/cigar-lake,https://www.cameco.com/businesses/uranium-operations/canada/cigar-lake
PROD-91cf5448-2023-2,2023,Site-specific,Canada,Cameco Corporation,Cigar Lake,SK-MAIN-91cf5448,,CMP-cadb529a,mining,Underground,Uranium,Uranium,Usable ore,Contained metal in concentrate,Production,Reported,Mlbs,15.1,"On a 100% ownership basis, Assumed contained metal in concentrate as it is given in U3O8",AR_2023.pdf,CamecoCorporation_AR_2023
PROD-GRP-7a9ba115-2024-1,2024,Facility-group,Canada,ArcelorMittal,Contrecoeur,,GRP-7a9ba115,CMP-3775c12e,manufacturing,Electric arc furnace,Steel,Steel,Refined metal produced,"Long/wire rod, bars, slabs",Production,Reported,Mt,1.9,Mini-mill,Factbook_2024.pdf,ArcelorMittal_Factbook_2024
PROD-f080c409-2023-1,2023,Site-specific,Canada,Vale,Copper Cliff Complex,ON-MAIN-f080c409,GRP-dc07540b,CMP-9617aef4,mining,Concentrator,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Nickel,Usable ore,Contained metal in concentrate,Production,Reported,t,8751.0,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI41I06NE00002,,Vale_nan
PROD-f080c409-2023-2,2023,Site-specific,Canada,Vale,Copper Cliff Complex,ON-MAIN-f080c409,GRP-dc07540b,CMP-9617aef4,mining,Concentrator,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Copper,Usable ore,Contained metal in concentrate,Production,Reported,t,10098.0,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI41I06NE00002,,Vale_nan
PROD-f080c409-2023-3,2023,Site-specific,Canada,Vale,Copper Cliff Complex,ON-MAIN-f080c409,GRP-dc07540b,CMP-9617aef4,mining,Concentrator,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Ore,Crude ore,Ore processed,Production,Reported,t,748000.0,https://www.geologyontario.mines.gov.on.ca/mineral-inventory/MDI41I06NE00002,,Vale_nan
PROD-63b394c3-2023-1,2023,Facility-group,Canada,Vale,Copper Cliff Complex,ON-MAIN-63b394c3,GRP-dc07540b,CMP-9617aef4,manufacturing,"Smelter, refinery, plant","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Copper,Refined metal produced,Refinery production,Production,Reported,kt,57.9,"Finished production by source (In Vale's reporting, ""by source"" refers to finished production from ore that originated from a specific mine), no data for site. 7.2kt additional feed from third-parties",Vale's performance in 1Q25 - xls,Vale_Vale'sperformancein1Q25-xls
PROD-63b394c3-2023-2,2023,Facility-group,Canada,Vale,Copper Cliff Complex,ON-MAIN-63b394c3,GRP-dc07540b,CMP-9617aef4,manufacturing,"Smelter, refinery, plant","Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Nickel,Refined metal produced,Refinery production,Production,Reported,kt,38.2,,Vale's performance in 1Q25 - xls,Vale_Vale'sperformancein1Q25-xls
PROD-599152a0-2023-1,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Gold,Usable ore,Contained metal in doré,Production,Reported,oz,8848.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,HudbayMineralsInc_MDA25
PROD-599152a0-2023-2,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Ore,Crude ore,Ore milled,Production,Reported,t,6862152.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,HudbayMineralsInc_MDA25
PROD-599152a0-2023-3,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Ore,Total extraction,Ore mined,Production,Reported,t,6975389.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,HudbayMineralsInc_MDA25
PROD-599152a0-2023-4,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Silver,Usable ore,Contained metal in doré,Production,Reported,oz,218282.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,HudbayMineralsInc_MDA25
PROD-599152a0-2023-5,2023,Site-specific,Canada,Hudbay Minerals Inc,Copper Mountain,BC-MAIN-599152a0,,CMP-12afc634,mining,Concentrator,"Copper, gold, silver",Copper,Usable ore,Contained metal in concentrate,Production,Reported,t,19050.0,"""As Copper Mountain was acquired on June 20, 2023, the results for the year ended December 31, 2023 represents the period from the acquisition date, June 20, 2023, through to the end of the fourth quarter of 2023""",MDA25,HudbayMineralsInc_MDA25
PROD-52224e1e-2023-1,2023,Site-specific,Canada,Vale,Creighton,ON-MAIN-52224e1e,GRP-dc07540b,CMP-9617aef4,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Nickel,Usable ore,Contained metal in concentrate,Production,Reported,t,11344.0,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I06NE00005.html,,Vale_nan
PROD-52224e1e-2023-2,2023,Site-specific,Canada,Vale,Creighton,ON-MAIN-52224e1e,GRP-dc07540b,CMP-9617aef4,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Copper,Usable ore,Contained metal in concentrate,Production,Reported,t,9396.0,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I06NE00005.html,,Vale_nan
PROD-52224e1e-2023-3,2023,Site-specific,Canada,Vale,Creighton,ON-MAIN-52224e1e,GRP-dc07540b,CMP-9617aef4,mining,Underground,"Nickel, copper, platinum group metals, gold, silver, cobalt, selenium, tellurium",Ore,Crude ore,Ore processed,Production,Reported,t,433000.0,https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI41I06NE00005.html,,Vale_nan
PROD-eac5a52b-2023-1,2023,Site-specific,Canada,Alcoa Corporation,Deschambault,QC-MAIN-eac5a52b,,CMP-140e111b,manufacturing,Smelter,Aluminum,Aluminum,Intermediate metal produced,Capacity,Capacity,Reported,t,287000.0,,https://aluminium.ca/en/the-industry/,https://aluminium.ca/en/the-industry/
PROD-aeafbb59-2023-1,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,ON-MAIN-aeafbb59,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Gold,Crude ore,Ore processed,Production,Reported,t,25434853.5024164,,2023-Sustainability-Performance_data,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-aeafbb59-2023-2,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,ON-MAIN-aeafbb59,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Gold,Usable ore,Contained metal in doré,Production,Reported,oz,677446.0,,2023-Sustainability-Performance_data,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-aeafbb59-2023-3,2023,Site-specific,Canada,Agnico Eagle Mines Limited,Detour Lake,ON-MAIN-aeafbb59,,CMP-6265c407,mining,"Open-pit, concentrator",Gold,Silver,Usable ore,Contained metal in doré,Production,Reported,koz,79.0,,2023-Sustainability-Performance_data,AgnicoEagleMinesLimited_2023-Sustainability-Performance_data
PROD-0ec39ce0-2023-1,2023,Site-specific,Canada,Rio Tinto,Diavik,NT-MAIN-0ec39ce0,,CMP-7a096012,mining,"Underground, plant",Diamonds,Diamonds,Usable ore,Diamond recovered,Production,Reported,kct,3339.76203,,2024-4qor-xlsx.xlsx,RioTinto_2024-4qor-xlsx
PROD-0ec39ce0-2023-2,2023,Site-specific,Canada,Rio Tinto,Diavik,NT-MAIN-0ec39ce0,,CMP-7a096012,mining,"Underground, plant",Diamonds,Diamonds,Crude ore,Ore processed,Production,Reported,kct,1687.71,,2024-4qor-xlsx.xlsx,RioTinto_2024-4qor-xlsx
PROD-GRP-2a663492-2023-1,2023,Facility-group,Canada,Tata Steel Minerals Canada Limited,DSO,,GRP-2a663492,CMP-31bb0d19,mining,Open-pit,Iron,Iron,Total extraction,Ore mined,Capacity,Reported,Mt,4.2,,https://www.gov.nl.ca/iet/files/Mining-in-NL-Fall-2024.pdf,https://www.gov.nl.ca/iet/files/Mining-in-NL-Fall-2024.pdf
PROD-cb85213a-2023-1,2023,Site-specific,Canada,Wesdome Gold Mines Ltd,Eagle River,ON-MAIN-cb85213a,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Gold,Usable ore,Contained metal in doré,Production,Reported,Oz,87467.0,Gold production',2024-MDA-FINAL,WesdomeGoldMinesLtd_2024-MDA-FINAL
PROD-cb85213a-2023-2,2023,Site-specific,Canada,Wesdome Gold Mines Ltd,Eagle River,ON-MAIN-cb85213a,,CMP-3d2c4955,mining,"Underground, concentrator",Gold,Gold,Crude ore,Ore milled,Production,Reported,t,222627.0,,2024-MDA-FINAL,WesdomeGoldMinesLtd_2024-MDA-FINAL
PROD-6c1d6ee6-2023-1,2023,Site-specific,Canada,Burgundy Diamond Mines,Ekati,NT-MAIN-6c1d6ee6,,CMP-caa580a0,mining,"Underground, plant",Diamonds,Diamonds,Usable ore,Carats recovered,Production,Reported,Mcts,5.1,,Quarterly-Activities-Report-for-the-Period-ended-September-30th-2027,BurgundyDiamondMines_Quarterly-Activities-Report-for-the-Period-ended-September-30th-2027
