row_id,year,npri_id,facility_name_npri,company_name_npri,facility_type,longitude,latitude,terrestrial_ecozone,watershed,cas_number,substance_name_npri,substance_unit,emission_type,emission_subtype,value,source_id,geometry
npri-24216-2023-190,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 07,Cyanides (ionic),tonnes,On-Site Disposal / Élimination sur le site,Tailings,92.759396,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-175,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 07,Cyanides (ionic),tonnes,On-Site Disposal / Élimination sur le site,Tailings,33.402948,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-191,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 08,Lead (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,420610.6375,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-176,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 08,Lead (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,445869.21338,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-192,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 09,Manganese (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,10249.152917,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-177,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 09,Manganese (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,683.725075,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-193,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 11,Nickel (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,1833.898875,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-178,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 11,Nickel (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,51.682807,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-194,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 22,Phosphorus (total),tonnes,On-Site Disposal / Élimination sur le site,Tailings,1350.3335,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-179,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 22,Phosphorus (total),tonnes,On-Site Disposal / Élimination sur le site,Tailings,858.513765,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-195,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 12,Selenium (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,4166.56958,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-180,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 12,Selenium (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,1388.22938,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-196,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 37,Thallium (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,1471.98517,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-181,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 37,Thallium (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,620.945275,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-197,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 40,Vanadium (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,341.232925,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-182,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 40,Vanadium (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,94.611811,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-24216-2023-198,2023,24216,Division Meadowbank,Agnico Eagle Mines Ltd.,mining,-96.0524,65.0149,Northern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 14,Zinc (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,341.841183,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-96.0524 65.0149)
npri-29389-2023-183,2023,29389,Meliadine Gold Project,Agnico Eagle Mines Ltd.,mining,-92.13443,63.22418,Southern Arctic,Western and Northern Hudson Bay Drainage Area,NA - 14,Zinc (and its compounds),tonnes,On-Site Disposal / Élimination sur le site,Tailings,154.296832,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-92.13443 63.22418)
npri-8757-2023-84,2023,8757,Division Goldex,Agnico-Eagle Mines Lted,mining,-77.87222,48.0911,Boreal Shield,Southwestern Hudson Bay Drainage Area,NA - 02,Arsenic (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,159.44,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-77.87222 48.0911)
npri-8757-2023-85,2023,8757,Division Goldex,Agnico-Eagle Mines Lted,mining,-77.87222,48.0911,Boreal Shield,Southwestern Hudson Bay Drainage Area,NA - 03,Cadmium (and its compounds),kg,On-Site Disposal / Élimination sur le site,Tailings,4.43,https://www.canada.ca/en/environment-climate-change/services/national-pollutant-release-inventory/tools-resources-data/exploredata.html,POINT (-77.87222 48.0911)
