main_id,mincan_id,distance_m,name,namemine,similarity_full_score,similarity_partial_score
ON-MAIN-86b89a70-1,ON-MINCAN-19b6e309-1,6998.9,Fox Complex,,26.66666666666667,33.333333333333336
ON-MAIN-86b89a70-1,ON-MINCAN-5ca79b5d-1,15094.41,Fox Complex,Larder Lake Division,12.903225806451612,19.999999999999996
ON-MAIN-86b89a70-1,ON-MINCAN-a8fc68bb-1,7541.24,Fox Complex,Ross,13.33333333333333,33.333333333333336
ON-MAIN-86b89a70-1,ON-MINCAN-64338276-1,12007.27,Fox Complex,,26.66666666666667,33.333333333333336
ON-MAIN-6b291dc6-1,ON-MINCAN-09222ef6-1,0.0,Borden,Borden,100.0,100.0
QC-MAIN-03247f98-1,QC-MINCAN-84c51948-1,0.0,Éléonore,Éléonore,100.0,100.0
ON-MAIN-5a030c69-1,ON-MINCAN-5f254d07-1,8646.02,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-d0b499b7-1,11218.4,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-79615968-1,15473.54,Hollinger,Owl Creek,22.22222222222222,26.66666666666667
ON-MAIN-5a030c69-1,ON-MINCAN-f24d24cd-1,15670.54,Hollinger,Pamour,26.66666666666667,28.57142857142857
ON-MAIN-5a030c69-1,ON-MINCAN-b04333c7-1,13612.39,Hollinger,Hallnor,62.5,61.53846153846154
ON-MAIN-5a030c69-1,ON-MINCAN-1935646c-1,1143.67,Hollinger,Norandas,23.529411764705888,28.57142857142857
ON-MAIN-5a030c69-1,ON-MINCAN-8863ccf3-1,1589.16,Hollinger,Schumacher Division (Former McIntyre) and renamed 1981: Shumacher,10.81081081081081,36.36363636363637
ON-MAIN-5a030c69-1,ON-MINCAN-0b822735-1,8090.34,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-eb1e3a56-1,4167.47,Hollinger,Paymaster,22.22222222222222,36.36363636363637
ON-MAIN-5a030c69-1,ON-MINCAN-6ed98edb-1,3531.23,Hollinger,Coniaurum,33.333333333333336,37.5
ON-MAIN-5a030c69-1,ON-MINCAN-bc12cac7-1,15272.86,Hollinger,,46.15384615384615,50.0
ON-MAIN-5a030c69-1,ON-MINCAN-64ef8584-1,17377.65,Hollinger,Hoyle,57.14285714285714,75.0
ON-MAIN-5a030c69-1,ON-MINCAN-55df954e-1,15673.87,Hollinger,No.3,15.384615384615385,33.333333333333336
ON-MAIN-5a030c69-1,ON-MINCAN-3abfda0f-1,3751.22,Hollinger,Aunor,28.57142857142857,44.44444444444444
ON-MAIN-5a030c69-1,ON-MINCAN-ab48ffa7-1,14905.95,Hollinger,Hoyle Pond,42.10526315789473,57.14285714285714
