main_id,tailing_id,distance_m,name,mine,similarity_full_score,similarity_partial_score
YT-MAIN-ab926389-1,,,Keno Hill Silver District,,,
NU-MAIN-15f39d07-1,,,Amaruq,,,
ON-MAIN-87c0220c-1,ON-TAIL-01ca623d-1.0,1075.98,Detour Lake,Detour Lake mine,81.4814814814815,100.0
NU-MAIN-22b6a486-1,NU-TAIL-7f10a36f-1.0,1290.1,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-22b6a486-1,NU-TAIL-0d1aff50-1.0,1858.98,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-22b6a486-1,NU-TAIL-2b4649d1-1.0,2639.61,Meadowbank,Meadowbank,100.0,100.0
NU-MAIN-b9901c24-1,NU-TAIL-16e3efbf-1.0,4087.98,Meliadine,Meliadine,100.0,100.0
ON-MAIN-042d0b12-1,ON-TAIL-f92415d2-1.0,2518.15,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-TAIL-f92415d2-2.0,2518.15,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-TAIL-f92415d2-3.0,2518.15,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-TAIL-f92415d2-4.0,2518.15,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-TAIL-f92415d2-5.0,2518.15,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-ca1b538d-1,ON-TAIL-50adb198-1.0,2878.3,Young-Davidson,Young-Davidson Mine,84.84848484848484,100.0
ON-MAIN-ca1b538d-1,ON-TAIL-50adb198-2.0,2878.3,Young-Davidson,Young-Davidson Mine,84.84848484848484,100.0
ON-MAIN-ca1b538d-1,ON-TAIL-50adb198-3.0,2878.3,Young-Davidson,Young-Davidson Mine,84.84848484848484,100.0
ON-MAIN-ca1b538d-1,ON-TAIL-50adb198-4.0,2878.3,Young-Davidson,Young-Davidson Mine,84.84848484848484,100.0
ON-MAIN-079ac66d-1,ON-TAIL-fef784a2-1.0,4097.52,Hemlo (Williams),Hemlo,47.61904761904761,100.0
ON-MAIN-079ac66d-1,ON-TAIL-c344000f-1.0,802.02,Hemlo (Williams),Golden Giant                              ,13.793103448275868,30.76923076923077
QC-MAIN-cb4de7b8-1,QC-TAIL-bc252e47-1.0,8144.64,Lamaque,Goldex,15.384615384615385,28.57142857142857
QC-MAIN-cb4de7b8-1,QC-TAIL-ddf77a70-1.0,19770.98,Lamaque,Bousquet ,37.5,50.0
QC-MAIN-cb4de7b8-1,QC-TAIL-69238f17-1.0,11919.91,Lamaque,Louvicourt,23.529411764705888,40.0
QC-MAIN-cb4de7b8-1,QC-TAIL-e1b33508-1.0,11918.78,Lamaque,Louvicourt,23.529411764705888,40.0
BC-MAIN-f5fe547c-1,,,Elk,,,
NL-MAIN-b066a0c7-1,,,Point Rousse,,,
ON-MAIN-86b89a70-1,,,Fox Complex,,,
ON-MAIN-6b291dc6-1,,,Borden,,,
QC-MAIN-03247f98-1,QC-TAIL-2d9f15a6-1.0,2861.87,Éléonore,Eleonore Mine                ,32.432432432432435,75.0
ON-MAIN-5a030c69-1,ON-TAIL-b0464779-1.0,17392.49,Hollinger,Kidd Metallurgical Site,25.0,40.0
ON-MAIN-5a030c69-1,ON-TAIL-9c28eec9-1.0,17425.38,Hollinger,Kidd Metallurgical Site,25.0,40.0
ON-MAIN-5a030c69-1,ON-TAIL-06df09b6-1.0,12494.76,Hollinger,Bell Creek,31.57894736842105,37.5
ON-MAIN-5a030c69-1,ON-TAIL-2dd50a69-1.0,8393.2,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-f676f028-1.0,3509.34,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-de53c3ba-1.0,4867.41,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-67339b79-1.0,5198.71,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-c4e05888-1.0,4381.57,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-1fb9e7cc-1.0,4667.56,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-a31be5e3-1.0,4032.53,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-82f6ca3c-1.0,5229.98,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-01b3452c-1.0,3683.9,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-ef988560-1.0,14621.4,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-fc416034-1.0,14867.11,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-ff67a43a-1.0,15978.47,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-4283b6f2-1.0,4384.32,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-cc9ac741-1.0,4549.3,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-5a030c69-1,ON-TAIL-4201c77e-1.0,4194.69,Hollinger,Porcupine Gold Mines  ,32.25806451612904,55.55555555555556
ON-MAIN-a86e1632-1,ON-TAIL-056fd67e-1.0,4664.2,Hoyle Pond,Kidd Metallurgical Site,12.121212121212121,25.0
ON-MAIN-a86e1632-1,ON-TAIL-b0464779-1.0,809.58,Hoyle Pond,Kidd Metallurgical Site,12.121212121212121,25.0
