main_id,pollutant_id,distance_m,name,facility_name_npri,similarity_full_score,similarity_partial_score
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-11,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-12,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-13,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-14,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-15,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-16,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-17,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-18,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-19,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-20,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-21,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-22,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-23,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-24,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-25,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-26,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-27,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-28,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-29,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-22b6a486-1,NU-pollutant-8069de4c-30,1025.05,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-b9901c24-1,,,Meliadine,,,
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-1,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-2,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-3,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-042d0b12-1,ON-pollutant-dcb2d535-4,2039.27,Island,Island Gold Mine,54.54545454545454,100.0
