main_id,ghg_id,distance_m,name,facility_name_ghg,similarity_full_score,similarity_partial_score
YT-MAIN-ab926389-1,,,Keno Hill Silver District,,,
NU-MAIN-15f39d07-1,,,Amaruq,,,
ON-MAIN-87c0220c-1,ON-ghg-3e1104aa-1,985.0,Detour Lake,Detour Lake Project,73.33333333333334,100.0
NU-MAIN-22b6a486-1,NU-ghg-a9d2dd2b-1,236.88,Meadowbank,Division Meadowbank,68.96551724137932,100.0
NU-MAIN-b9901c24-1,,,Meliadine,,,
ON-MAIN-042d0b12-1,ON-ghg-578ed6cd-1,10524.77,Island,Island Gold Mine,54.54545454545454,100.0
ON-MAIN-ca1b538d-1,ON-ghg-41da54e0-1,217.4,Young-Davidson,Young-Davidson,100.0,100.0
ON-MAIN-079ac66d-1,ON-ghg-e6e2eb4a-1,268.45,Hemlo (Williams),Williams Mine,55.172413793103445,72.72727272727273
QC-MAIN-cb4de7b8-1,QC-ghg-37889593-1,10153.16,Lamaque,Division Goldex,9.090909090909093,22.22222222222222
BC-MAIN-f5fe547c-1,,,Elk,,,
NL-MAIN-b066a0c7-1,,,Point Rousse,,,
ON-MAIN-86b89a70-1,,,Fox Complex,,,
ON-MAIN-6b291dc6-1,,,Borden,,,
QC-MAIN-03247f98-1,,,Éléonore,,,
ON-MAIN-5a030c69-1,ON-ghg-9d5ad41e-1,19876.73,Hollinger,Kidd Metallurgical Site,25.0,40.0
ON-MAIN-5a030c69-1,ON-ghg-7ab8863e-1,384.12,Hollinger,Timmins Micronizing Plant,23.529411764705888,44.44444444444444
ON-MAIN-5a030c69-1,ON-ghg-edee9500-1,4996.14,Hollinger,Porcupine Gold Mines,34.48275862068966,55.55555555555556
ON-MAIN-5a030c69-1,ON-ghg-7af3989a-1,13604.57,Hollinger,Bell Creek Complex,22.22222222222222,40.0
ON-MAIN-a86e1632-1,ON-ghg-9d5ad41e-1,2742.44,Hoyle Pond,Kidd Metallurgical Site,12.121212121212121,25.0
ON-MAIN-a86e1632-1,ON-ghg-7ab8863e-1,17757.22,Hoyle Pond,Timmins Micronizing Plant,22.857142857142854,37.5
ON-MAIN-a86e1632-1,ON-ghg-edee9500-1,14289.04,Hoyle Pond,Porcupine Gold Mines,33.333333333333336,42.10526315789473
ON-MAIN-a86e1632-1,ON-ghg-7af3989a-1,4785.13,Hoyle Pond,Bell Creek Complex,28.57142857142857,40.0
ON-MAIN-ec0e3472-1,ON-ghg-9d5ad41e-1,16632.43,Porcupine,Kidd Metallurgical Site,25.0,35.29411764705882
ON-MAIN-ec0e3472-1,ON-ghg-7ab8863e-1,5711.22,Porcupine,Timmins Micronizing Plant,17.647058823529417,33.333333333333336
ON-MAIN-ec0e3472-1,ON-ghg-edee9500-1,357.87,Porcupine,Porcupine Gold Mines,62.06896551724138,100.0
ON-MAIN-ec0e3472-1,ON-ghg-7af3989a-1,11158.05,Porcupine,Bell Creek Complex,22.22222222222222,40.0
ON-MAIN-87eff5d8-1,ON-ghg-9d5ad41e-1,6823.9,Bell Creek,Kidd Metallurgical Site,30.303030303030297,40.0
ON-MAIN-87eff5d8-1,ON-ghg-7ab8863e-1,13560.48,Bell Creek,Timmins Micronizing Plant,11.428571428571432,19.999999999999996
ON-MAIN-87eff5d8-1,ON-ghg-edee9500-1,11264.47,Bell Creek,Porcupine Gold Mines,26.66666666666667,33.333333333333336
ON-MAIN-87eff5d8-1,ON-ghg-7af3989a-1,377.91,Bell Creek,Bell Creek Complex,71.42857142857143,100.0
ON-MAIN-af364a50-1,ON-ghg-7ab8863e-1,19975.72,Timmins West,Timmins Micronizing Plant,48.64864864864865,80.0
ON-MAIN-af364a50-1,ON-ghg-acd971a1-1,575.5,Timmins West,Lake Shore Gold Timmins West Mine,53.333333333333336,100.0
ON-MAIN-f22b9058-1,,,Sugar Zone,,,
SK-MAIN-fb71dcba-1,,,Santoy,,,
SK-MAIN-409d52eb-1,,,Seabee,,,
NS-MAIN-7611a9c0-1,NS-ghg-38888029-1,2151.35,Moose River Consolidated,Touquoy Mine,33.333333333333336,45.45454545454546
YT-MAIN-24f21978-1,YT-ghg-04e8efc0-1,904.94,Eagle (Dublin Gulch),Eagle Gold Mine,51.42857142857142,64.28571428571428
ON-MAIN-d0063de8-1,ON-ghg-35f85a4c-1,13731.56,Eagle River,Eagle River Mill,81.4814814814815,100.0
QC-MAIN-918440f1-1,QC-ghg-0f958c53-1,16389.16,Kiena,Mine Canadian Malartic GP,26.66666666666667,50.0
QC-MAIN-918440f1-1,QC-ghg-37889593-1,4097.96,Kiena,Division Goldex,19.999999999999996,40.0
ON-MAIN-36212738-1,ON-ghg-35f85a4c-1,2242.92,Mishi,Eagle River Mill,19.047619047619047,44.44444444444444
QC-MAIN-efc41be6-1,,,Sleeping Giant,,,
QC-MAIN-b1e99caf-1,QC-ghg-0f958c53-1,280.35,Canadian Malartic,Mine Canadian Malartic GP,80.95238095238095,100.0
QC-MAIN-b1e99caf-1,QC-ghg-37889593-1,19482.08,Canadian Malartic,Division Goldex,25.0,29.629629629629626
QC-MAIN-547f4bc7-1,QC-ghg-0f958c53-1,19457.98,Goldex,Mine Canadian Malartic GP,6.451612903225811,25.0
QC-MAIN-547f4bc7-1,QC-ghg-37889593-1,62.13,Goldex,Division Goldex,57.14285714285714,100.0
ON-MAIN-efe5148b-1,ON-ghg-72247ddd-1,918.61,Macassa,Macassa Mine,73.6842105263158,100.0
ON-MAIN-cb6d25a5-1,ON-ghg-578ed6cd-1,9870.22,Magino,Island Gold Mine,27.27272727272727,60.0
ON-MAIN-578ec529-1,ON-ghg-d792cb90-1,1380.03,Red Lake,Red Lake Gold Mines,59.25925925925925,100.0
ON-MAIN-578ec529-1,ON-ghg-e583d1c5-1,1273.23,Red Lake,Red Lake Operation,61.53846153846154,100.0
QC-MAIN-e3cedb7d-1,,,Casa Berardi,,,
QC-MAIN-20601058-1,QC-ghg-82d15e92-1,4974.67,Westwood-Doyon,La mine Doyon,44.44444444444444,55.55555555555556
