main_id,climate_trace_id,distance_m,name,source_name,similarity_full_score,similarity_partial_score
NL-MAIN-c5737f5f-1,,,DSO (3 and 4),,,
QC-MAIN-696faf4f-1,,,DSO (Goodwood),,,
QC-MAIN-dc872009-1,,,Lac Tio,,,
QC-MAIN-4c223b8f-1,,,North American Lithium,,,
QC-MAIN-a55bfb50-1,,,Niobec,,,
MB-MAIN-c8fbe1c0-1,MB-CTRACE-92a744b8-1,527.26,Thompson (T-1 and T-3),Thompson Mine,57.14285714285714,81.81818181818181
NL-MAIN-be92136a-1,NL-CTRACE-970ab9c4-1,315.92,Voisey’s Bay,Voisey's Bay Mine,75.86206896551724,91.66666666666666
ON-MAIN-7b682137-1,ON-CTRACE-f4e08424-1,11183.56,Nickel Rim South,Garson Mine,14.814814814814813,25.0
ON-MAIN-7b682137-1,ON-CTRACE-62f9ef17-1,23.79,Nickel Rim South,Sudbury INO Operation,21.62162162162162,28.57142857142857
ON-MAIN-8d7da620-1,ON-CTRACE-8a30df38-1,122.25,Totten,Totten Mine,70.58823529411764,100.0
ON-MAIN-e79f2bec-1,ON-CTRACE-e3d25cb9-1,135.99,Strathcona,Coleman Mine,18.181818181818176,25.0
ON-MAIN-e79f2bec-1,ON-CTRACE-c27ea770-1,5861.64,Strathcona,McCreedy West Mine,21.42857142857143,25.0
ON-MAIN-22af9c76-1,ON-CTRACE-bc264035-1,1706.73,Clarabelle,Copper Cliff Mine,29.629629629629626,31.57894736842105
ON-MAIN-22af9c76-1,ON-CTRACE-55b19f8c-1,9963.48,Clarabelle,Creighton Mine,33.333333333333336,46.15384615384615
ON-MAIN-22af9c76-1,ON-CTRACE-f4e08424-1,17421.32,Clarabelle,Garson Mine,28.57142857142857,30.76923076923077
ON-MAIN-22af9c76-1,ON-CTRACE-bc264035-2,1706.73,Clarabelle,Stobie Mine,28.57142857142857,33.333333333333336
ON-MAIN-48489720-1,ON-CTRACE-e3d25cb9-1,384.7,Coleman,Coleman Mine,73.6842105263158,100.0
ON-MAIN-48489720-1,ON-CTRACE-c27ea770-1,6316.18,Coleman,McCreedy West Mine,24.0,33.333333333333336
ON-MAIN-20ca68bc-1,ON-CTRACE-bc264035-1,1711.1,Copper Cliff Complex,Copper Cliff Mine,75.67567567567568,86.66666666666667
ON-MAIN-20ca68bc-1,ON-CTRACE-55b19f8c-1,8959.29,Copper Cliff Complex,Creighton Mine,29.411764705882348,33.333333333333336
ON-MAIN-20ca68bc-1,ON-CTRACE-f4e08424-1,18434.44,Copper Cliff Complex,Garson Mine,25.806451612903224,28.57142857142857
ON-MAIN-20ca68bc-1,ON-CTRACE-bc264035-2,1711.1,Copper Cliff Complex,Stobie Mine,32.25806451612904,38.095238095238095
ON-MAIN-9e805c41-1,ON-CTRACE-bc264035-1,10419.99,Creighton,Copper Cliff Mine,30.76923076923077,36.36363636363637
ON-MAIN-9e805c41-1,ON-CTRACE-55b19f8c-1,1465.82,Creighton,Creighton Mine,78.26086956521739,100.0
ON-MAIN-9e805c41-1,ON-CTRACE-bc264035-2,10419.99,Creighton,Stobie Mine,30.000000000000004,40.0
ON-MAIN-eba2313b-1,ON-CTRACE-bc264035-1,18015.43,Garson,Copper Cliff Mine,17.391304347826086,25.0
ON-MAIN-eba2313b-1,ON-CTRACE-f4e08424-1,61.47,Garson,Garson Mine,70.58823529411764,100.0
ON-MAIN-eba2313b-1,ON-CTRACE-bc264035-2,18015.43,Garson,Stobie Mine,23.529411764705888,25.0
ON-MAIN-eba2313b-1,ON-CTRACE-62f9ef17-1,11115.55,Garson,Sudbury INO Operation,22.22222222222222,54.54545454545454
ON-MAIN-2a7426bd-1,ON-CTRACE-e3d25cb9-1,1283.24,Fraser,Coleman Mine,22.22222222222222,28.57142857142857
ON-MAIN-2a7426bd-1,ON-CTRACE-c27ea770-1,5303.2,Fraser,McCreedy West Mine,25.0,36.36363636363637
QC-MAIN-2747f5c0-1,,,Nunavik Nickel,,,
QC-MAIN-5a8a80ca-1,QC-CTRACE-a68bb77f-1,18250.96,Raglan,Nunavik Nickel Operation,26.66666666666667,36.36363636363637
QC-MAIN-5a8a80ca-1,QC-CTRACE-bfc689cf-1,215.88,Raglan,Raglan Operation,54.54545454545454,100.0
ON-MAIN-bf708684-1,ON-CTRACE-f8304878-1,1029.12,Lac des Iles,Lac des Iles Mine,82.75862068965517,100.0
NL-MAIN-f9946847-1,,,Beaver Brook,,,
SK-MAIN-3fcec2e7-1,,,Cigar Lake,,,
SK-MAIN-cbbe4602-1,,,Key Lake,,,
SK-MAIN-fa315b6c-1,,,McArthur River,,,
SK-MAIN-cec62931-1,,,McClean Lake,,,
AB-MAIN-088a29d1-1,,,Horizon,,,
AB-MAIN-c1f37e9f-1,,,Jackpine,,,
AB-MAIN-3014a94d-1,,,Muskeg River,,,
AB-MAIN-bfdf3cbd-1,,,Kearl,,,
AB-MAIN-49171f37-1,,,Fort Hills,,,
AB-MAIN-189a0c74-1,,,Millennium and Steepbank,,,
AB-MAIN-0b9235e1-1,,,Aurora North and South,,,
AB-MAIN-2a973ac9-1,,,Mildred Lake,,,
BC-MAIN-eb5b0a1d-1,BC-CTRACE-f8ece3d6-1,160.2,Myra Falls,Myra Falls Mine,80.0,100.0
QC-MAIN-36e82d90-1,,,A.S.I. - Ste Catherine,,,
NB-MAIN-6593e458-1,,,AIM Recycling Atlantic,,,
ON-MAIN-0dc1ca23-1,,,AIM Recycling Hamilton,,,
QC-MAIN-8ca456ee-1,,,AIM Recycling La Prairie,,,
QC-MAIN-a8bc675a-1,,,AIM Recycling Laval,,,
QC-MAIN-4e8715a9-1,,,AIM Recycling Lévis,,,
QC-MAIN-41c4b402-1,,,AIM Recycling Montréal-Est,,,
ON-MAIN-a4f158ba-1,,,AIM Recycling Ottawa East,,,
ON-MAIN-fc4f3bb2-1,,,Algoma Steel,,,
QC-MAIN-a07b1ea4-1,,,Alma,,,
QC-MAIN-9245d5f2-1,,,Alouette,,,
AB-MAIN-0400fad0-1,,,AltaSteel,,,
ON-MAIN-621e4f9d-1,,,ArcelorMittal Dofasco,,,
QC-MAIN-0d3e2477-1,,,Arvida,,,
QC-MAIN-a80a23b5-1,,,Baie-Comeau,,,
