main_id,wpda_id,distance_m,name,NAME,similarity_full_score,similarity_partial_score
SK-MAIN-b0e502f0-1,,,Patterson Lake South,,,
SK-MAIN-19e40503-1,,,Rook I,,,
SK-MAIN-b99b2981-1,,,Waterbury,,,
SK-MAIN-85cc24e6-1,,,Wheeler River,,,
AB-MAIN-5886ad62-1,,,SBH Black Shale,,,
QC-MAIN-958e6b58-1,,,Scott Lake,,,
ON-MAIN-1eff4e4b-1,,,Superior Lake,,,
YT-MAIN-777864fa-1,,,Marg,,,
QC-MAIN-53721d44-1,,,Caber Complex,,,
BC-MAIN-eb5b0a1d-2,,,Myra Falls,,,
NU-MAIN-3a15ba90-1,,,Izok Lake,,,
NT-MAIN-969facce-1,,,Pine Point,,,
YT-MAIN-860ad5a3-1,,,Selwyn,,,
YT-MAIN-80c56f4b-1,,,Yukon Base Metal,,,
NL-MAIN-d57abb7f-1,,,Buchans River,,,
NU-MAIN-9aa02969-1,,,Hackett River,,,
YT-MAIN-c333e0eb-1,,,Kudz Ze Kayah,,,
QC-MAIN-31d99c67-1,,,Langlois,,,
NS-MAIN-10a1b988-1,,,Scotia,,,
BC-MAIN-360b5bc6-1,,,Akie,,,
YT-MAIN-2e6786ff-1,,,Macmillan Pass,,,
NB-MAIN-cd82270d-1,,,Nash Creek,,,
NT-MAIN-9d6f2c07-1,,,Prairie Creek,,,
NB-MAIN-97cfe920-1,,,Caribou,,,
NB-MAIN-658c67a1-1,,,Halfmile,,,
NB-MAIN-100864a2-1,,,Murray Brook,,,
NB-MAIN-e2850267-1,,,Stratmat,,,
QC-MAIN-768b402a-1,,,Abcourt-Barvue,,,
QC-MAIN-7c67a92e-1,,,Horizon,,,
,ZZ-WPDA-edd74388-1,,,Tabusintac Lagoon and River Estuary,,
,ON-WPDA-2f7ee5c6-1,,,Minesing Swamp,,
,ON-WPDA-b6245b1c-1,,,Matchedash Bay,,
,QC-WPDA-4f538ce8-1,,,Lac Saint Pierre,,
,AB-WPDA-f8209152-1,,,Columbia Wetlands,,
,ON-WPDA-028fca50-1,,,Mont Saint Hilaire,,
,MB-WPDA-2704e938-1,,,Riding Mountain Biosphere Reserve,,
,ON-WPDA-80e80df1-1,,,Long Point Biosphere Reserve,,
,QC-WPDA-b3eb1e69-1,,,Réserve de la biosphère de Charlevoix,,
,SK-WPDA-7df41e42-1,,,Redberry Lake,,
,ZZ-WPDA-aa8b8cb0-1,,,Lac Saint-Pierre,,
,ON-WPDA-d9c78459-1,,,Thousands Islands Frontenac Arch,,
,ZZ-WPDA-f00d0963-1,,,Georgian Bay Littoral,,
,BC-WPDA-ded50da0-1,,,Clayoquot Sound,,
,BC-WPDA-aad04cfc-1,,,Mount Arrowsmith,,
,NB-WPDA-69468113-1,,,Fundy,,
,ZZ-WPDA-3b233ff1-1,,,Bras d'Or,,
