main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
QC-MAIN-2587E541,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
BC-MAIN-23155C25,mining,1,0,9,0,0,0,341,1,2,1,4,1,2,84,0,0,32,128
YT-MAIN-68C87980,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,4,0,0,32,128
QC-MAIN-B2148882,advanced project,0,0,9,0,0,0,1,1,6,1,4,1,2,11,0,0,32,128
ON-MAIN-4A6187A4,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,80,0,0,32,128
SK-MAIN-9DD2B7F8,advanced project,0,0,9,0,0,0,0,1,14,1,4,1,0,3,0,0,32,128
ON-MAIN-387B06FE,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,42,0,0,32,128
ON-MAIN-DE2F9639,mining,1,0,9,0,0,0,213,1,5,1,4,1,0,23,0,0,32,128
ON-MAIN-6E9B2449,mining,0,0,9,0,0,0,59,1,3,1,4,1,2,22,0,0,32,128
ON-MAIN-F080C409,mining,0,0,9,0,0,0,0,1,2,1,4,1,0,23,0,7,32,128
ON-MAIN-63B394C3,manufacturing,1,0,9,0,0,0,116,1,5,1,4,1,2,23,0,1,32,128
ON-MAIN-52224E1E,mining,0,0,9,0,0,0,88,1,2,1,4,1,2,23,0,0,32,128
ON-MAIN-48FE2205,mining,0,0,9,0,0,0,137,1,9,1,4,1,2,19,0,0,32,128
ON-MAIN-2E13AAA0,manufacturing,1,0,9,1,0,0,127,1,0,1,4,1,2,37,0,0,32,128
MB-MAIN-E0A6250E,mining,0,0,9,0,0,0,0,1,12,1,4,1,0,3,0,2,32,128
ON-MAIN-28F3F0FC,mining,0,0,9,0,0,0,130,1,4,1,4,1,2,22,0,0,32,128
NL-MAIN-D9036091,manufacturing,1,0,9,0,0,0,122,1,4,1,4,1,2,12,0,1,32,128
NL-MAIN-2D8801D6,mining,0,0,9,1,0,0,0,1,10,1,4,1,0,0,0,1,32,128
QC-MAIN-860BBBFC,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,29,0,0,32,128
YT-MAIN-E05ED9FE,mining,1,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
QC-MAIN-D59F82AA,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,35,0,0,32,128
NT-MAIN-B1B28B01,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,0,0,0,32,128
AB-MAIN-63F096A6,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
QC-MAIN-BE473617,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,34,0,0,32,128
ON-MAIN-3C468FAA,advanced project,0,0,9,0,0,0,0,1,2,1,4,1,0,20,0,0,32,128
ON-MAIN-CB85213A,mining,1,0,9,0,0,0,228,1,4,1,4,1,0,12,0,0,32,128
QC-MAIN-9DE9BB0D,mining,1,0,9,0,8,6,231,1,6,1,4,1,5,42,5,0,32,128
ON-MAIN-C5FEFB01,mining,1,0,9,0,8,6,19,1,4,1,4,1,5,11,5,0,32,128
BC-MAIN-FEB13C30,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,24,0,0,32,128
YT-MAIN-5E0D8B48,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
ON-MAIN-12C68D49,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
BC-MAIN-891D3CB5,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,9,0,0,32,128
