main_id,facility_type,Archetype table,By-product ratios table,Climate category table,Conflict table,Energy table,Environmental intensity table,Environmental flows table,Land cover table,Land occupation table,Peatland table,Population table,Prioritize conservation areas table,Production table,Protected & Indigenous land table,Reserves table,Tailings table,Water risk table,Weather table
ON-MAIN-6664E89B,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,39,0,0,32,128
QC-MAIN-5398DFAC,manufacturing,0,0,9,0,0,0,39,1,1,1,4,1,0,64,0,0,32,128
QC-MAIN-2CF66E65,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,85,0,0,32,128
ON-MAIN-7F050560,mining,1,0,9,0,8,0,195,1,9,1,4,1,5,9,3,4,32,128
SK-MAIN-26B9AAF3,manufacturing,0,0,9,0,0,0,328,1,0,1,4,1,2,47,0,0,32,128
QC-MAIN-C1CC9F7C,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,74,0,0,32,128
NL-MAIN-C139DE6D,mining,1,0,9,0,0,0,45,1,4,1,4,1,2,1,9,0,32,128
NL-MAIN-842BA1B4,mining,0,0,9,0,0,0,44,1,4,1,4,1,0,3,0,0,32,128
YT-MAIN-CA488F19,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
YT-MAIN-70D629B4,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
BC-MAIN-EFFF21D3,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,9,0,0,32,128
SK-MAIN-0684A5D8,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,3,0,0,32,128
MB-MAIN-F7FDE5B4,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
QC-MAIN-AE473A4E,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
SK-MAIN-7A11AE49,advanced project,0,0,9,0,0,0,0,1,2,1,4,1,0,21,0,0,32,128
AB-MAIN-CA9625CE,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,18,0,0,32,128
NT-MAIN-B7CDF82C,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,2,0,0,32,128
ON-MAIN-D47616E5,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,1,0,0,32,128
BC-MAIN-E1641DFB,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,56,0,0,32,128
ON-MAIN-C06904F0,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,5,0,0,32,128
ON-MAIN-64BBE7E6,advanced project,0,0,9,0,0,0,0,1,9,1,4,1,0,14,0,0,32,128
QC-MAIN-22426144,advanced project,0,0,9,0,0,0,0,1,0,1,4,1,0,197,0,0,32,128
MB-MAIN-0D5C2CAE,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,38,0,0,32,128
ON-MAIN-92CDEA80,manufacturing,0,0,9,0,0,0,0,1,0,1,4,1,0,42,0,0,32,128
ON-MAIN-BDDEAEF0,manufacturing,0,0,9,0,0,0,12,1,0,1,4,1,0,67,0,0,32,128
