Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Latitude,Longitude,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Emission Source / Source d'emission,substance,unit,value
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,Stationary Fuel Combustion,CO2,t,504422.833
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,Industrial Processes,CO2,t,129810.756
10052,2023,Carol Project,Labrador city,Newfoundland and Labrador,52.9565,-66.8936,212210,Iron Ore Mining,Iron Ore Company of Canada,On-site Transportation,CO2,t,140977.403
10164,2023,Kidd Metallurgical Site,Timmins/District of Cochrane,Ontario,48.57373,-81.09115,212233,Copper-Zinc Ore Mining,Glencore,Stationary Fuel Combustion,CO2,t,20752.326
10164,2023,Kidd Metallurgical Site,Timmins/District of Cochrane,Ontario,48.57373,-81.09115,212233,Copper-Zinc Ore Mining,Glencore,On-site Transportation,CO2,t,8266.7293
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,CO2,t,16827.654
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,CO2,t,11987.145
10188,2023,Mine de Mont-Wright,Fermont,Quebec,52.76639,-67.33306,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,CO2,t,221258.242
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Stationary Fuel Combustion,CO2,t,138037.1125
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Industrial Processes,CO2,t,1553.41073
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,On-site Transportation,CO2,t,17060.32142
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Waste,CO2,t,7.744957
10240,2023,Mine Raglan,Rivière-Koksoak,Quebec,61.6916,-73.6666,212232,Nickel-Copper Ore Mining,Glencore,Wastewater,CO2,t,0.0
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,CO2,t,659666.451
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,CO2,t,142394.284
10299,2023,Usine de Bouletage de Port-Cartier,Port-Cartier,Quebec,50.0334,-66.791,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,CO2,t,248.073
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,Stationary Fuel Combustion,CO2,t,76214.5865
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,Industrial Processes,CO2,t,1718.3632
10350,2023,Wabush Mines - Scully,Wabush,Newfoundland and Labrador,52.907,-66.9105,212210,Iron Ore Mining,Tacora Resources Inc.,On-site Transportation,CO2,t,30804.5179
10385,2023,Teck Highland Valley Copper Partnership,Logan Lake,British Columbia,50.47235,-121.02132,212233,Copper-Zinc Ore Mining,Teck Highland Valley Copper Partnership,Stationary Fuel Combustion,CO2,t,16582.3091
10385,2023,Teck Highland Valley Copper Partnership,Logan Lake,British Columbia,50.47235,-121.02132,212233,Copper-Zinc Ore Mining,Teck Highland Valley Copper Partnership,On-site Transportation,CO2,t,160943.741
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,Stationary Fuel Combustion,CO2,t,9305.97
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,On-site Transportation,CO2,t,9048.2
10569,2023,Thompson Operations,Thompson,Manitoba,55.7138,-97.8561,212232,Nickel-Copper Ore Mining,Vale Canada Ltd,Waste,CO2,t,0.0
10570,2023,Voisey's Bay Mine Site,HAPPY VALLEY-GOOSE BAY,Newfoundland and Labrador,56.33826,-62.09508,212232,Nickel-Copper Ore Mining,Vale Newfoundland and Labrador Limited,Stationary Fuel Combustion,CO2,t,127614.0
10570,2023,Voisey's Bay Mine Site,HAPPY VALLEY-GOOSE BAY,Newfoundland and Labrador,56.33826,-62.09508,212232,Nickel-Copper Ore Mining,Vale Newfoundland and Labrador Limited,On-site Transportation,CO2,t,39297.0
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Stationary Fuel Combustion,CO2,t,16737.386
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Industrial Processes,CO2,t,3.213
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,On-site Transportation,CO2,t,7132.265
10580,2023,Sudbury Operations Mines Mill - Onaping Area,Onaping,Ontario,46.67417,-81.3425,212232,Nickel-Copper Ore Mining,Glencore Canada Corporation,Waste,CO2,t,0.0
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Stationary Fuel Combustion,CO2,t,4177.193
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,Industrial Processes,CO2,t,2246.073
10589,2023,Mine de Fire Lake,Mont-Wright,Quebec,52.35028,-67.36917,212210,Iron Ore Mining,ArcelorMittal Exploitation Minière Canada s.e.n.c.,On-site Transportation,CO2,t,38449.359
10613,2023,Mount Polley Mine,Likely,British Columbia,52.5443,-121.6328,212299,All Other Metal Ore Mining,Imperial Metals Corporation,Stationary Fuel Combustion,CO2,t,917.04
10613,2023,Mount Polley Mine,Likely,British Columbia,52.5443,-121.6328,212299,All Other Metal Ore Mining,Imperial Metals Corporation,On-site Transportation,CO2,t,46615.6208
10647,2023,Tree Island Industries Ltd.,Richmond,British Columbia,49.1875,-122.95916,331222,Steel Wire Drawing,Tree Island Industries Ltd,Stationary Fuel Combustion,CO2,t,12445.45
10647,2023,Tree Island Industries Ltd.,Richmond,British Columbia,49.1875,-122.95916,331222,Steel Wire Drawing,Tree Island Industries Ltd,On-site Transportation,CO2,t,534.39
10679,2023,Gibraltar Mine (SFO),MCLEESE LAKE,British Columbia,52.5299,-122.2851,212233,Copper-Zinc Ore Mining,Gibraltar Mines Ltd.,Stationary Fuel Combustion,CO2,t,9638.285157
10679,2023,Gibraltar Mine (SFO),MCLEESE LAKE,British Columbia,52.5299,-122.2851,212233,Copper-Zinc Ore Mining,Gibraltar Mines Ltd.,On-site Transportation,CO2,t,114905.3282
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Stationary Fuel Combustion,CO2,t,12677.53
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,Industrial Processes,CO2,t,6256.35
10722,2023,Mine du Lac Bloom,Fermont,Quebec,52.85235,-67.25387,212210,Iron Ore Mining,MINERAI DE FER QUÉBEC INC.,On-site Transportation,CO2,t,99691.72
10785,2023,Myra Falls Mine Ltd.,Campbell River,British Columbia,49.57694,-125.60194,212233,Copper-Zinc Ore Mining,Myra Falls Mine Ltd,Stationary Fuel Combustion,CO2,t,32726.26
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,CO2,t,23680.69145
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,CO2,t,64863.55484
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,CO2,t,52.18549
10835,2023,Mary River Mine Site,,Nunavut,71.3146,-79.28194,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,CO2,t,0.0
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Stationary Fuel Combustion,CO2,t,17394.28422
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,On-site Transportation,CO2,t,59761.99755
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Waste,CO2,t,84.39828
10900,2023,Milne Port Site,,Nunavut,71.88444,-80.88611,212210,Iron Ore Mining,Baffinland Iron Mines Corporation,Wastewater,CO2,t,0.0
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,Stationary Fuel Combustion,CO2,t,6426.51
10907,2023,La Mine Niobec,Saint-Honoré,Quebec,48.5322,-71.1578,212299,All Other Metal Ore Mining,Magris Ressources,On-site Transportation,CO2,t,5333.48
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Stationary Fuel Combustion,CO2,t,19114.0205
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Industrial Processes,CO2,t,352.1914
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,On-site Transportation,CO2,t,1780.2028
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Waste,CO2,t,47.1596
10908,2023,McClean Lake Operations,Saskatoon,Saskatchewan,58.25,-103.91694,212291,Uranium Ore Mining,Orano Canada Inc.,Wastewater,CO2,t,0.0
