Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10307,Usine Laterrière,Rio Tinto Alcan Inc,Laterriere,6301 Talbot Boulevard,G7N 1A2,Quebec,48.3007,-71.1289,528.57,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10307-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110307&GoCTemplateCulture=en-CA
"
10308,Usine Shawinigan,Rio Tinto Alcan,Shawinigan,Rio Tinto Alcan Usine Shawinigan 1100 St-Sacrement Boulevard,G9N 6W4,Quebec,46.5586,-72.7397,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Primary Production of Alumina and Aluminum,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331313&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10308-2014.html,"http://indicators-map.canada.ca/App/Detail?id=0110308&GoCTemplateCulture=en-CA
"
10333,Hamilton Specialty Bar Corporation,Hamilton Specialty Bar Corporation,Hamilton,319 Sherman Ave N,L8N 3R5,Ontario,0.0,0.0,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10333-2006.html,"http://indicators-map.canada.ca/App/Detail?id=0110333&GoCTemplateCulture=en-CA
"
10363,ESCO Limited,ESCO Limited,Port Hope,185 Hope Street,L1A 3W4,Ontario,0.0,0.0,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Steel Foundries,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331514&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10363-2006.html,"http://indicators-map.canada.ca/App/Detail?id=0110363&GoCTemplateCulture=en-CA
"
10369,ArcelorMittal Contrecoeur Ouest,ArcelorMittal Produits Longs Canada s.e.n.c,Contrecoeur,2050 Route des Aciéries,J0L 1C0,Quebec,45.8206,-73.2661,90.42,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10369-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110369&GoCTemplateCulture=en-CA
"
10398,Sudbury Integrated Nickel Operations Smelter,Glencore Canada Corporation,Falconbridge,2 Longyear Drive,P0M 1S0,Ontario,46.5775,-80.8042,117.94,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10398-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110398&GoCTemplateCulture=en-CA
"
10420,AltaSteel Inc.,AltaSteel Inc.,Edmonton,9401 34th Street,T6B 2X6,Alberta,53.5291,-113.3875,88.1,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10420-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110420&GoCTemplateCulture=en-CA
"
10578,"Glencore Canada Corporation, CCR refinery",Glencore Canada Corporation,Montréal Est,0 220 Durocher Avenue Northwest,H1B 5H6,Quebec,45.6283,-73.5125,56.83,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10578-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110578&GoCTemplateCulture=en-CA
"
10579,Glencore Canada Corporation - Fonderie Horne,Glencore Canada Corporation,Rouyn Noranda,156 Marcel-Baril Avenue,J9X 7C1,Quebec,48.25417,-79.01667,191.93,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Non-Ferrous Metal (except Aluminum) Smelting and Refining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331410&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10579-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110579&GoCTemplateCulture=en-CA
"
10614,Ivaco Rolling Mills,Ivaco Rolling Mills 2004 L. P.,L'Orignal,1040 County Rd 17 Road,K0B 1K0,Ontario,45.6133,-74.705,102.89,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2022,Iron and Steel Mills and Ferro-Alloy Manufacturing,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=331110&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10614-2022.html,"http://indicators-map.canada.ca/App/Detail?id=0110614&GoCTemplateCulture=en-CA
"
