Facility ID,Facility name,Company name,City,Address,Postal code,Province,Latitude,Longitude,Total emissions,Units,Report year,Industry classification,Industry classification link,Facility information,Facility details
10722,Mine du Lac Bloom,MINERAI DE FER QUÉBEC INC.,Fermont,755 389 Route,G0G 1J0,Quebec,52.85235,-67.25387,119.16,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Iron Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212210&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10722-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110722&GoCTemplateCulture=en-CA
"
11804,Mine Éléonore,Goldcorp Canada Ltd,Rouyn Noranda,1751 Davy Street,J9Y 0A8,Quebec,52.42083,-76.04389,37.25,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11804-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111804&GoCTemplateCulture=en-CA
"
10240,Mine Raglan,Glencore,Rivière Koksoak,1 Plateau Katiniq Nunavik,J0Y 1M0,Quebec,61.6916,-73.6666,158.0,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Nickel-Copper Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212232&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10240-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110240&GoCTemplateCulture=en-CA
"
10468,Musselwhite Mine,GOLDCORP CANADA LTD,"Concession, Kenora District",,,Ontario,52.60389,-90.36806,36.87,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10468-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110468&GoCTemplateCulture=en-CA
"
10785,Myra Falls Mine Ltd.,Myra Falls Mine Ltd,Campbell River,1 Westmin Road Highway,V1V 1V1,British Columbia,49.57694,-125.60194,34.05,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Copper-Zinc Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212233&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10785-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110785&GoCTemplateCulture=en-CA
"
10924,Porcupine Gold Mines,GOLDCORP CANADA LTD,South Porcupine,4315 Gold Mine Road,P0N 1H0,Ontario,48.46306,-81.2475,53.78,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G10924-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0110924&GoCTemplateCulture=en-CA
"
11382,Projet Nunavik Nickel,Canadian Royalties inc.,Kattiniq,Kattiniq,H3B 1X9,Quebec,61.3239,-73.3234,134.26,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Nickel-Copper Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212232&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11382-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111382&GoCTemplateCulture=en-CA
"
11496,Rainy River Mine,New Gold Inc.,Emo,5967 11/71 Highway,P0W 1E0,Ontario,48.848,-94.003,124.99,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11496-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111496&GoCTemplateCulture=en-CA
"
11736,North American Lithium,North American Lithium inc.,La Corne,500 du Lithium Route,J0Y 1R0,Quebec,48.40579,-77.82782,27.25,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,All Other Metal Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212299&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G11736-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0111736&GoCTemplateCulture=en-CA
"
12553,Red Chris Mine,NEWCREST RED CHRIS MINING LIMITED,Dease Lake,37 Highway Highway,V0C 1L0,British Columbia,57.72573,-129.76764,95.7,kilotonnes of carbon dioxide equivalents (kt CO2 eq),2023,Gold and Silver Ore Mining,https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1369825&CVD=1370970&CPV=212220&CST=27012022&CLV=5&MLV=5,https://climate-change.canada.ca/facility-emissions/GHGRP-G12553-2023.html,"http://indicators-map.canada.ca/App/Detail?id=0112553&GoCTemplateCulture=en-CA
"
