substance_id,harmonized_name,original_name,source
SUB6855ca23fa,Speciated VOC - Styrene,Speciated VOC - Styrene,NPRI
SUB2aa97e9c63,Speciated VOC - Tetrahydrofuran,Speciated VOC - Tetrahydrofuran,NPRI
SUB5ffb6440b6,Speciated VOC - Toluene,Speciated VOC - Toluene,NPRI
SUBe4773bcd62,"Speciated VOC - Trimethylbenzene (all isomers excluding 1,2,4-trimethylbenzene)","Speciated VOC - Trimethylbenzene (all isomers excluding 1,2,4-trimethylbenzene)",NPRI
SUBc9a102d24c,Speciated VOC - VM & P naphtha,Speciated VOC - VM & P naphtha,NPRI
SUB3555b0b724,Speciated VOC - Xylene (all isomers),Speciated VOC - Xylene (all isomers),NPRI
SUBba84f97e78,Speciated VOC - n-Hexane,Speciated VOC - n-Hexane,NPRI
SUB2bdc5cc5a2,Speciated VOC - n-Propanol (n-Propyl alcohol),Speciated VOC - n-Propanol (n-Propyl alcohol),NPRI
SUBd1605a269e,Speciated VOC - p-Dichlorobenzene,Speciated VOC - p-Dichlorobenzene,NPRI
SUBe2b990f545,Styrene,Styrene,NPRI
SUB4cedd6b899,Sulphur dioxide,Sulphur dioxide,NPRI
SUBda6a6d231d,Sulphuric acid,Sulphuric acid,NPRI
SUB3d85023c46,Thallium (and its compounds),Thallium (and its compounds),NPRI
SUBa7136aa478,Toluene,Toluene,NPRI
SUB28f44d0e11,Total particulate matter,Total particulate matter,NPRI
SUBba3b5d11c7,Total reduced sulphur (expressed as hydrogen sulphide),Total reduced sulphur (expressed as hydrogen sulphide),NPRI
SUBf7dbe2d6dd,Trichloroethylene,Trichloroethylene,NPRI
SUBbabfa2dbb1,Uranium,Uranium,Manual
SUB8319f60a2f,VOCs,Volatile Organic Compounds (Total),NPRI
SUB787e5ac1a2,Vanadium (and its compounds),Vanadium (and its compounds),NPRI
SUBe849a2ff09,Xylene (all isomers),Xylene (all isomers),NPRI
SUBae95939c3f,Zinc (and its compounds),Zinc (and its compounds),NPRI
SUB090a1237c1,i-Butyl alcohol,i-Butyl alcohol,NPRI
SUBd049575022,n-Hexane,n-Hexane,NPRI
