main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
,BC-MINCAN-1ba2a96d,,,MAX,,
,NL-MINCAN-dea6d820,,,Beaver Brook,,
,QC-MINCAN-5bfa990a,,,Barry,,
,QC-MINCAN-fb453944,,,Rocmec 1,,
,ON-MINCAN-4e67cbbc,,,St. Lawrence,,
,QC-MINCAN-498ff152,,,Bracemac-McLeod,,
,ON-MINCAN-b9448fc0,,,Broken Hammer,,
,NU-MINCAN-d93a2c54,,,Mary River,,
,SK-MINCAN-de82f057,,,Bethune,,
,NU-MINCAN-c890ff47,,,Hope Bay,,
,NL-MINCAN-f672e15e,,,St. Lawrence,,
,BC-MINCAN-5f70024e,,,"
Silvertip",,
,NB-MINCAN-56d13b79,,,Upham East,,
,NB-MINCAN-ec0f4f8c,,,Springhill,,
,SK-MINCAN-ed17fb21,,,,,
,SK-MINCAN-8907f04e,,,Lanigan Division,,
,SK-MINCAN-f137cb3d,,,Vanscoy ,,
,BC-MINCAN-24d6ecdb,,,,,
,SK-MINCAN-5bb92fba,,,Poplar River,,
,ON-MINCAN-e563e91d,,,,,
,NL-MINCAN-66eb13e6,,,Coal Brook,,
,SK-MINCAN-925fb143,,,Sifto Salt Division,,
,SK-MINCAN-770a0f8a,,,Costello (klimax),,
,BC-MINCAN-f7ead273,,,Ashcroft,,
,SK-MINCAN-8b2e7c65,,,K1,,
,SK-MINCAN-391cddcb,,,Colonsay,,
,AB-MINCAN-e1786f69,,,Sil Silica Division,,
,NB-MINCAN-7c7fa51d,,,Jamer Operation,,
,ON-MINCAN-266b1776,,,Holt-McDermott,,
,QC-MINCAN-940990db,,,,,
,ON-MINCAN-b17ab173,,,Goderich,,
,QC-MINCAN-fe6d379c,,,Jolichaux Division,,
,SK-MINCAN-42c1c0a7,,,Bienfait,,
,QC-MINCAN-e3420d82,,,St-Rémi China Clay,,
,QC-MINCAN-78148b13,,,Saint-Canut,,
,QC-MINCAN-91aedc35,,,Bedford,,
,ON-MINCAN-3c27ae75,,,Nephton Quarry,,
,NS-MINCAN-3d5a93b2,,,Sifto Salt Division,,
,AB-MINCAN-4a246389,,,,,
,QC-MINCAN-581b1ea8,,,Saint-Donat,,
,NS-MINCAN-1c9701c1,,,,,
,QC-MINCAN-b6636eeb,,,,,
,QC-MINCAN-e833d652,,,Seleine,,
,BC-MINCAN-d24d3289,,,Mt. Meager,,
,ON-MINCAN-ad559838,,,,,
,QC-MINCAN-d752cbaa,,,Bachelor,,
,BC-MINCAN-d0828a1e,,,Greenhills,,
,BC-MINCAN-a059fae1,,,Red Lake,,
,NS-MINCAN-ef73715e,,,Glen Morrison,,
,BC-MINCAN-3cdd69ba,,,Kootenay River or Elkhorn,,
,ON-MINCAN-65f81a01,,,,,
,SK-MINCAN-9cbc06dd,,,Unity,,
,SK-MINCAN-b73b9b70,,,Kalium Chemicals Division,,
,SK-MINCAN-8cfbf0f6,,,K2,,
,SK-MINCAN-ddcef085,,,Allan Potashs,,
,AB-MINCAN-0a2d8425,,,Cardinal River (Cheviot),,
,BC-MINCAN-2d031a3f,,,Fording River,,
,SK-MINCAN-2b7f48b2,,,Wilcox,,
,NB-MINCAN-f60171f2,,,,,
,AB-MINCAN-5182058c,,,Genesee,,
,AB-MINCAN-ad5bcd89,,,Coleman,,
,AB-MINCAN-95fd8b3b,,,,,
,BC-MINCAN-d8cf3b3a,,,,,
,SK-MINCAN-2aefa179,,,,,
,QC-MINCAN-8f0f7e05,,,Ardorbec,,
