main_id,mincan_id,distance_m,facility_name,namemine,similarity_partial_score,similarity_token_set
NT-MAIN-94e652a5,NT-MINCAN-ecb9b239,0.0,Gahcho Kué,Gahcho Kué,100.0,100.0
BC-MAIN-382acb18,,,Wicheeda,,,
SK-MAIN-4aef3cb2,,,Waterbury,,,
SK-MAIN-95ec2625,,,Wheeler River,,,
BC-MAIN-51068f3b,,,Kitsault Valley,,,
AB-MAIN-7d4a0421,,,Bashaw District,,,
QC-MAIN-f9e41c2a,QC-MINCAN-494c7715,14118.06,Lamaque,Kiena,33.333333333333336,16.66666666666667
QC-MAIN-f9e41c2a,QC-MINCAN-44904232,10106.22,Lamaque,Goldex,28.57142857142857,15.384615384615387
QC-MAIN-f9e41c2a,QC-MINCAN-0feebe9d,7828.65,Lamaque,Joubi,28.57142857142857,16.66666666666667
ON-MAIN-6664e89b,ON-MINCAN-7763265b,6611.98,Battery Materials Park,Haileybury,47.05882352941176,25.0
ON-MAIN-6664e89b,QC-MINCAN-4d537dd7,15408.04,Battery Materials Park,None,25.0,7.692307692307693
QC-MAIN-5398dfac,QC-MINCAN-13530c4c,13395.77,Elkem Chicoutimi,Niobec,33.333333333333336,27.272727272727266
QC-MAIN-2cf66e65,,,Becancour Plant,,,
ON-MAIN-7f050560,ON-MINCAN-b089dc5f,5984.95,Red Lake,Cochenour,15.384615384615385,11.764705882352942
ON-MAIN-7f050560,ON-MINCAN-66fd9252,16898.68,Red Lake,PureGold,36.36363636363637,25.0
ON-MAIN-7f050560,ON-MINCAN-fc444118,1079.67,Red Lake,Red Lake,100.0,100.0
SK-MAIN-26b9aaf3,,,EVRAZ Regina,,,
QC-MAIN-c1cc9f7c,,,Becancour Silicon,,,
NL-MAIN-c139de6d,NL-MINCAN-64d7ea1b,5812.82,Ming,Pine Cove,57.14285714285714,30.769230769230774
NL-MAIN-842ba1b4,,,Nugget Pond,,,
YT-MAIN-ca488f19,,,Macmillan Pass,,,
YT-MAIN-70d629b4,,,Mactung,,,
BC-MAIN-efff21d3,,,Deer Horn,,,
SK-MAIN-0684a5d8,,,Patterson Lake South,,,
MB-MAIN-f7fde5b4,,,Minago,,,
QC-MAIN-ae473a4e,,,Lac Knife,,,
SK-MAIN-7a11ae49,,,McIlvenna Bay,,,
