main_id,ghg_id,distance_m,facility_name,facility_name_ghg,similarity_partial_score,similarity_token_set
SK-MAIN-bb89158f,10913.0,1940.73,Key Lake,Key Lake Operation,100.0,100.0
SK-MAIN-d3c471e8,10922.0,1125.68,McArthur River,McArthur River Operation,100.0,100.0
ON-MAIN-237587f6,,,Port Hope,,,
ON-MAIN-4c5c1179,,,Crawford,,,
NB-MAIN-8e04eb21,,,Murray Brook,,,
ON-MAIN-37e9571e,,,Thierry,,,
NB-MAIN-3e7d42ac,,,Woodstock,,,
NU-MAIN-eae1621e,,,Ferguson Lake,,,
QC-MAIN-5ce331b8,,,Nunavik Nickel,,,
BC-MAIN-eba3e309,,,Golden Crown,,,
BC-MAIN-e34feb4d,,,Kemess,,,
BC-MAIN-ed23117f,,,Mount Milligan,,,
QC-MAIN-089f3c60,10188.0,8822.81,Bloom Lake,Mine de Mont-Wright,23.529411764705888,20.689655172413794
QC-MAIN-089f3c60,10722.0,2204.12,Bloom Lake,Mine du Lac Bloom,66.66666666666667,66.66666666666666
NL-MAIN-251d6364,,,Beaver Brook,,,
ON-MAIN-be399420,,,Thunder Bay North,,,
QC-MAIN-3330383b,,,Eldor (Ashram),,,
MB-MAIN-6fca9d6d,,,Lynn Lake,,,
QC-MAIN-d4e2812a,,,Rose,,,
AB-MAIN-9a0307f6,,,SBH Black Shale,,,
QC-MAIN-715d4318,10578.0,7776.38,Horizon,"Glencore Canada Corporation, CCR refinery",71.42857142857143,20.83333333333333
QC-MAIN-715d4318,11231.0,1092.92,Horizon,ArcelorMittal Longueuil,42.85714285714286,33.33333333333333
NT-MAIN-94e652a5,11472.0,1749.55,Gahcho Kué,Gahcho Kue Mine,94.73684210526316,75.0
BC-MAIN-382acb18,,,Wicheeda,,,
SK-MAIN-4aef3cb2,10908.0,12435.03,Waterbury,McClean Lake Operations,33.333333333333336,18.75
SK-MAIN-95ec2625,,,Wheeler River,,,
BC-MAIN-51068f3b,,,Kitsault Valley,,,
AB-MAIN-7d4a0421,,,Bashaw District,,,
QC-MAIN-f9e41c2a,11770.0,10153.16,Lamaque,Division Goldex,22.22222222222222,9.090909090909093
ON-MAIN-6664e89b,,,Battery Materials Park,,,
QC-MAIN-5398dfac,10907.0,13452.99,Elkem Chicoutimi,La Mine Niobec,33.333333333333336,20.0
QC-MAIN-5398dfac,10103.0,57.37,Elkem Chicoutimi,Elkem Métal Chicoutimi,85.71428571428572,100.0
QC-MAIN-5398dfac,10296.0,2679.57,Elkem Chicoutimi,Usine Arvida,28.57142857142857,21.42857142857143
QC-MAIN-5398dfac,10307.0,12494.66,Elkem Chicoutimi,Usine Laterrière,28.57142857142857,25.0
QC-MAIN-5398dfac,10791.0,2852.92,Elkem Chicoutimi,Aluminerie Arvida - Centre technologique AP60,38.095238095238095,19.67213114754098
QC-MAIN-5398dfac,11730.0,3336.47,Elkem Chicoutimi,Usine Vaudreuil,28.57142857142857,25.80645161290323
QC-MAIN-2cf66e65,10014.0,6619.01,Becancour Plant,Aluminerie de Bécancour inc.,68.96551724137932,46.51162790697674
QC-MAIN-2cf66e65,10657.0,5523.32,Becancour Plant,Quebec Silicon LP,42.85714285714286,31.25
ON-MAIN-7f050560,11951.0,1273.23,Red Lake,Red Lake Operation,100.0,100.0
SK-MAIN-26b9aaf3,10150.0,511.43,EVRAZ Regina,EVRAZ Inc NA Canada - Regina Facilities,70.0,100.0
QC-MAIN-c1cc9f7c,10014.0,1463.75,Becancour Silicon,Aluminerie de Bécancour inc.,70.96774193548387,48.888888888888886
QC-MAIN-c1cc9f7c,10657.0,200.09,Becancour Silicon,Quebec Silicon LP,66.66666666666667,58.8235294117647
NL-MAIN-c139de6d,,,Ming,,,
NL-MAIN-842ba1b4,,,Nugget Pond,,,
YT-MAIN-ca488f19,,,Macmillan Pass,,,
YT-MAIN-70d629b4,,,Mactung,,,
BC-MAIN-efff21d3,,,Deer Horn,,,
SK-MAIN-0684a5d8,,,Patterson Lake South,,,
MB-MAIN-f7fde5b4,,,Minago,,,
QC-MAIN-ae473a4e,,,Lac Knife,,,
SK-MAIN-7a11ae49,,,McIlvenna Bay,,,
AB-MAIN-ca9625ce,,,Fortune Minerals Refinery,,,
NT-MAIN-b7cdf82c,,,NICO,,,
ON-MAIN-d47616e5,,,Martison,,,
BC-MAIN-e1641dfb,,,Decar,,,
ON-MAIN-c06904f0,,,Pakeagama,,,
ON-MAIN-64bbe7e6,,,Marathon,,,
QC-MAIN-22426144,10578.0,17833.8,REE Recycling Facility (Saint-Bruno),"Glencore Canada Corporation, CCR refinery",28.07017543859649,28.57142857142857
QC-MAIN-22426144,11095.0,17449.7,REE Recycling Facility (Saint-Bruno),INFASCO,14.28571428571429,4.6511627906976685
QC-MAIN-22426144,11128.0,17008.99,REE Recycling Facility (Saint-Bruno),Sivaco Québec,30.76923076923077,16.326530612244895
QC-MAIN-22426144,11231.0,10334.12,REE Recycling Facility (Saint-Bruno),ArcelorMittal Longueuil,33.333333333333336,27.11864406779661
MB-MAIN-0d5c2cae,10678.0,806.13,Selkirk Division,"Gerdau Ameristeel Corporation, Manitoba Mill",37.5,26.66666666666667
ON-MAIN-92cdea80,10128.0,674.83,Whitby Division,"Gerdau Ameristeel Corporation, Whitby Mill",61.53846153846154,57.142857142857146
ON-MAIN-92cdea80,11744.0,12481.89,Whitby Division,Pickering,42.85714285714286,25.0
ON-MAIN-bddeaef0,10738.0,339.48,Cambridge Mill,"Gerdau Ameristeel Corporation, Cambridge Mill",100.0,100.0
MB-MAIN-b4ca1426,10678.0,545.95,Manitoba Mill,"Gerdau Ameristeel Corporation, Manitoba Mill",100.0,100.0
ON-MAIN-21b6ab35,10128.0,251.31,Whitby Mill,"Gerdau Ameristeel Corporation, Whitby Mill",100.0,100.0
ON-MAIN-21b6ab35,11744.0,12766.53,Whitby Mill,Pickering,22.22222222222222,20.0
QC-MAIN-de3d8b7b,10903.0,471.13,Canadian Electrolytic Zinc Limited (CEZinc),SOCIÉTÉ EN COMMANDITE REVENU NORANDA - VALLEYFIELD,18.75,15.053763440860209
QC-MAIN-529c96b4,10578.0,105.05,CCR,"Glencore Canada Corporation, CCR refinery",100.0,100.0
QC-MAIN-529c96b4,11231.0,8114.53,CCR,ArcelorMittal Longueuil,0.0,0.0
ON-MAIN-206041d1,10580.0,1230.81,Fraser,Sudbury Operations Mines Mill - Onaping Area,44.44444444444444,20.0
QC-MAIN-abb3e1c7,,,General Smelting Company of Canada,,,
QC-MAIN-30c1828c,10579.0,145.08,Horne,Glencore Canada Corporation - Fonderie Horne,100.0,100.0
ON-MAIN-f8313ebd,,,Kidd Creek,,,
ON-MAIN-fcb287a4,10398.0,9053.52,Nickel Rim South,Sudbury Integrated Nickel Operations Smelter,56.25,54.54545454545455
ON-MAIN-319e04a8,10580.0,5710.96,Onaping Depth,Sudbury Operations Mines Mill - Onaping Area,72.0,70.0
QC-MAIN-a97821c0,10240.0,633.39,Raglan,Mine Raglan,100.0,100.0
ON-MAIN-ed85ac94,10580.0,87.79,Strathcona,Sudbury Operations Mines Mill - Onaping Area,50.0,18.51851851851852
ON-MAIN-40ce0593,10398.0,402.62,Sudbury,Sudbury Integrated Nickel Operations Smelter,100.0,100.0
BC-MAIN-4724f4ba,,,Elk,,,
YT-MAIN-956d050a,,,Carmacks,,,
ON-MAIN-97ee890f,,,Seymour Lake,,,
MB-MAIN-27a90834,,,Makwa Mayville,,,
SK-MAIN-fbe28fef,,,Kindersley Lithium,,,
BC-MAIN-b031959a,,,Turnagain,,,
QC-MAIN-b86f7d07,,,Casa Berardi,,,
YT-MAIN-44857446,12459.0,19439.18,Keno Hill Silver District,Eagle Gold Mine,40.0,30.0
YT-MAIN-c3105f43,,,Rackla Gold,,,
ON-MAIN-fc6f1a44,10614.0,164.07,Ivaco Rolling Mills,Ivaco Rolling Mills,100.0,100.0
MB-MAIN-e2e67f8f,10921.0,2943.38,1901,HBMS Chisel Lake Mine,0.0,0.0
BC-MAIN-599152a0,11894.0,2324.24,Copper Mountain,Copper Mountain Mine,100.0,100.0
MB-MAIN-be5b3dc8,10921.0,4093.57,Lalor Lake,HBMS Chisel Lake Mine,60.0,57.142857142857146
MB-MAIN-da0b5c3d,10921.0,8631.75,New Britannia,HBMS Chisel Lake Mine,42.10526315789473,23.529411764705884
MB-MAIN-c0684566,,,Rail,,,
MB-MAIN-0898e255,10921.0,11413.21,Stall Lake,HBMS Chisel Lake Mine,60.0,57.142857142857146
MB-MAIN-854abe09,,,Talbot,,,
MB-MAIN-1a82a1b7,,,Tower,,,
MB-MAIN-b5b81ee3,,,Wim,,,
QC-MAIN-02884fb5,10911.0,1776.6,Westwood-Doyon,La mine Doyon,55.55555555555556,37.03703703703704
QC-MAIN-02884fb5,11794.0,8175.54,Westwood-Doyon,Division Laronde,30.76923076923077,26.66666666666667
QC-MAIN-02884fb5,12752.0,1738.4,Westwood-Doyon,Fayolle,40.0,19.04761904761905
ON-MAIN-a3c56a83,10926.0,871.1,Lac des Iles,Impala Canada Ltd.,33.333333333333336,33.33333333333333
BC-MAIN-3f490561,10613.0,104.84,Mount Polley,Mount Polley Mine,100.0,100.0
QC-MAIN-586679b9,,,Crater Lake,,,
NL-MAIN-dd723db4,10052.0,9576.21,Carol Lake,Carol Project,75.0,66.66666666666666
NL-MAIN-dd723db4,10350.0,14677.9,Carol Lake,Wabush Mines - Scully,30.000000000000004,19.354838709677423
ON-MAIN-7001a391,10580.0,5954.69,McCreedy West,Sudbury Operations Mines Mill - Onaping Area,38.46153846153846,21.05263157894737
ON-MAIN-9a34108c,,,Victoria,,,
ON-MAIN-6bd6cc80,,,Kingston Operation,,,
MB-MAIN-a832fb0a,,,East Wekusko - Snow Lake,,,
BC-MAIN-12730593,,,Kutcho,,,
ON-MAIN-575c5e66,,,Ontario Spoke,,,
ON-MAIN-6b998583,11718.0,19190.21,Markham lithium reprocessing facility,North York Division,36.8421052631579,25.0
QC-MAIN-0414a373,10578.0,16742.13,Lithion St-Bruno,"Glencore Canada Corporation, CCR refinery",43.75,24.56140350877193
QC-MAIN-0414a373,11095.0,18534.97,Lithion St-Bruno,INFASCO,14.28571428571429,8.695652173913047
QC-MAIN-0414a373,11128.0,18087.57,Lithion St-Bruno,Sivaco Québec,31.999999999999996,20.689655172413794
QC-MAIN-0414a373,11231.0,9324.22,Lithion St-Bruno,ArcelorMittal Longueuil,32.25806451612904,25.641025641025635
AB-MAIN-35d0dc71,,,Boardwalk,,,
QC-MAIN-a2c6775d,,,La Loutre,,,
ON-MAIN-b1d981ca,,,Crean Hill,,,
ON-MAIN-54b7e152,,,Shakespeare,,,
QC-MAIN-aa793d35,,,Dumont Nickel,,,
QC-MAIN-649d2873,10907.0,58.23,Niobec Converter,La Mine Niobec,60.0,60.0
QC-MAIN-649d2873,10103.0,13452.77,Niobec Converter,Elkem Métal Chicoutimi,33.333333333333336,26.315789473684205
QC-MAIN-649d2873,10296.0,11626.83,Niobec Converter,Usine Arvida,34.78260869565217,28.57142857142857
QC-MAIN-649d2873,10791.0,11121.77,Niobec Converter,Aluminerie Arvida - Centre technologique AP60,43.75,26.229508196721312
QC-MAIN-649d2873,11730.0,11858.67,Niobec Converter,Usine Vaudreuil,36.36363636363637,32.25806451612904
QC-MAIN-a555d9b9,10907.0,64.71,Niobec,La Mine Niobec,100.0,100.0
QC-MAIN-a555d9b9,10103.0,13484.38,Niobec,Elkem Métal Chicoutimi,33.333333333333336,21.42857142857143
QC-MAIN-a555d9b9,10296.0,11673.88,Niobec,Usine Arvida,36.36363636363637,22.22222222222223
QC-MAIN-a555d9b9,10791.0,11166.95,Niobec,Aluminerie Arvida - Centre technologique AP60,33.333333333333336,11.764705882352942
QC-MAIN-a555d9b9,11730.0,11912.32,Niobec,Usine Vaudreuil,36.36363636363637,19.04761904761905
NB-MAIN-c1e4dee0,,,Battery Hill,,,
NL-MAIN-f021107e,,,Point Rousse,,,
QC-MAIN-615ebdb4,,,Lac Guéret (Uatnan),,,
ON-MAIN-470b504b,,,Ottawa Plant,,,
ON-MAIN-4e0734b5,,,Fox Complex,,,
QC-MAIN-237d67c1,,,Lac Rainy Graphite,,,
BC-MAIN-c7247100,,,Driftwood Creek,,,
YT-MAIN-752fbcae,,,Minto,,,
NU-MAIN-8e62bfbc,,,High Lake,,,
NU-MAIN-1ef8af2c,,,Izok Lake,,,
QC-MAIN-eb73fd68,10014.0,6619.01,Nemaska lithium conversion facility,Aluminerie de Bécancour inc.,40.0,31.746031746031747
QC-MAIN-eb73fd68,10657.0,5523.32,Nemaska lithium conversion facility,Quebec Silicon LP,35.29411764705882,23.07692307692308
QC-MAIN-9d41d417,,,Whabouchi,,,
ON-MAIN-2bb07cd3,,,River Valley,,,
BC-MAIN-aa76f6f2,,,New Afton,,,
ON-MAIN-0aadf28f,11496.0,1795.27,Rainy River,Rainy River Mine,100.0,100.0
ON-MAIN-1c674cd0,,,Borden,,,
BC-MAIN-857b7b89,10873.0,2171.09,Brucejack,Brucejack Gold Mine,100.0,100.0
BC-MAIN-c720b195,,,GJ,,,
ON-MAIN-8629a493,10164.0,19876.73,Hollinger,Kidd Metallurgical Site,40.0,25.0
ON-MAIN-8629a493,10912.0,384.12,Hollinger,Timmins Micronizing Plant,44.44444444444444,23.529411764705884
ON-MAIN-8629a493,10924.0,4996.14,Hollinger,Porcupine Gold Mines,55.55555555555556,41.37931034482759
ON-MAIN-8629a493,10931.0,13604.57,Hollinger,Bell Creek Complex,40.0,29.629629629629633
ON-MAIN-538513cd,10164.0,2742.44,Hoyle Pond,Kidd Metallurgical Site,25.0,12.121212121212125
ON-MAIN-538513cd,10912.0,17757.22,Hoyle Pond,Timmins Micronizing Plant,37.5,22.85714285714286
ON-MAIN-538513cd,10924.0,14289.04,Hoyle Pond,Porcupine Gold Mines,42.10526315789473,46.666666666666664
ON-MAIN-538513cd,10931.0,4785.13,Hoyle Pond,Bell Creek Complex,40.0,28.57142857142857
ON-MAIN-fefeaee4,10468.0,1013.13,Musselwhite,Musselwhite Mine,100.0,100.0
ON-MAIN-3b3e5365,10164.0,16632.43,Porcupine,Kidd Metallurgical Site,35.29411764705882,25.0
ON-MAIN-3b3e5365,10912.0,5711.22,Porcupine,Timmins Micronizing Plant,33.333333333333336,17.647058823529406
ON-MAIN-3b3e5365,10924.0,357.87,Porcupine,Porcupine Gold Mines,100.0,100.0
ON-MAIN-3b3e5365,10931.0,11158.05,Porcupine,Bell Creek Complex,40.0,22.22222222222223
BC-MAIN-8eb8be0d,12553.0,2940.14,Red Chris,Red Chris Mine,100.0,100.0
QC-MAIN-6dc537e6,,,Éléonore,,,
BC-MAIN-b4655afb,,,Galore Creek,,,
SK-MAIN-3012889c,,,Rook I,,,
YT-MAIN-1910d1c3,,,Nickel Shaw,,,
QC-MAIN-288718a6,,,Crevier,,,
NB-MAIN-f58cc895,,,Sisson,,,
ON-MAIN-8b86d975,,,Bissett Creek,,,
BC-MAIN-6fbdcf4c,,,North Island,,,
BC-MAIN-265a57f6,,,Kwanika,,,
NT-MAIN-b3681e03,,,Prairie Creek,,,
QC-MAIN-d6748d40,,,Matawinie,,,
QC-MAIN-69bb36c1,,,Caber Complex,,,
SK-MAIN-60ba74c4,10908.0,11516.07,McClean Lake,McClean Lake Operations,100.0,100.0
NT-MAIN-b99d4cb2,,,Pine Point,,,
NL-MAIN-a498ddc6,,,Michelin,,,
ON-MAIN-bfbcd72e,10164.0,6823.9,Bell Creek,Kidd Metallurgical Site,40.0,30.303030303030297
ON-MAIN-bfbcd72e,10912.0,13560.48,Bell Creek,Timmins Micronizing Plant,19.999999999999996,11.42857142857143
ON-MAIN-bfbcd72e,10924.0,11264.47,Bell Creek,Porcupine Gold Mines,33.333333333333336,26.66666666666667
ON-MAIN-bfbcd72e,10931.0,377.91,Bell Creek,Bell Creek Complex,100.0,100.0
ON-MAIN-f3e6ff08,10912.0,19975.72,Timmins West,Timmins Micronizing Plant,80.0,73.6842105263158
ON-MAIN-f3e6ff08,10929.0,575.5,Timmins West,Lake Shore Gold Timmins West Mine,100.0,100.0
QC-MAIN-3aa117d8,10295.0,126.1,Alma,Usine Alma,100.0,100.0
QC-MAIN-c1c7eb99,10907.0,11382.81,Arvida,La Mine Niobec,25.0,10.0
QC-MAIN-c1c7eb99,10103.0,3255.31,Arvida,Elkem Métal Chicoutimi,28.57142857142857,14.285714285714292
QC-MAIN-c1c7eb99,10296.0,519.04,Arvida,Usine Arvida,100.0,100.0
QC-MAIN-c1c7eb99,10307.0,14687.39,Arvida,Usine Laterrière,36.36363636363637,18.181818181818187
QC-MAIN-c1c7eb99,10791.0,680.03,Arvida,Aluminerie Arvida - Centre technologique AP60,100.0,100.0
QC-MAIN-c1c7eb99,11730.0,682.3,Arvida,Usine Vaudreuil,36.36363636363637,19.04761904761905
QC-MAIN-01c1e81f,10103.0,19312.01,Grande-Baie,Elkem Métal Chicoutimi,19.047619047619047,12.121212121212125
QC-MAIN-01c1e81f,10307.0,15119.62,Grande-Baie,Usine Laterrière,40.0,29.629629629629633
BC-MAIN-eb47f7c7,10010.0,575.91,Kitimat,Rio Tinto Alcan Inc.,42.85714285714286,22.22222222222223
QC-MAIN-c0e3a48b,10103.0,12386.31,Laterrière,Elkem Métal Chicoutimi,28.57142857142857,18.75
QC-MAIN-c0e3a48b,10296.0,14247.0,Laterrière,Usine Arvida,33.333333333333336,27.272727272727266
QC-MAIN-c0e3a48b,10307.0,68.54,Laterrière,Usine Laterrière,100.0,100.0
QC-MAIN-c0e3a48b,10791.0,14710.28,Laterrière,Aluminerie Arvida - Centre technologique AP60,40.0,21.818181818181813
QC-MAIN-c0e3a48b,11730.0,14232.55,Laterrière,Usine Vaudreuil,33.333333333333336,24.0
QC-MAIN-92628f16,10907.0,11557.68,Vaudreuil,La Mine Niobec,33.333333333333336,26.086956521739125
QC-MAIN-92628f16,10103.0,2699.58,Vaudreuil,Elkem Métal Chicoutimi,28.57142857142857,19.354838709677423
QC-MAIN-92628f16,10296.0,189.66,Vaudreuil,Usine Arvida,28.57142857142857,19.04761904761905
QC-MAIN-92628f16,10307.0,14406.23,Vaudreuil,Usine Laterrière,36.36363636363637,32.0
QC-MAIN-92628f16,10791.0,394.75,Vaudreuil,Aluminerie Arvida - Centre technologique AP60,33.333333333333336,18.51851851851852
QC-MAIN-92628f16,11730.0,1075.1,Vaudreuil,Usine Vaudreuil,100.0,100.0
QC-MAIN-8d6616b4,10012.0,161.92,Alouette,Aluminerie Alouette inc.,100.0,100.0
NT-MAIN-0ec39ce0,10381.0,521.99,Diavik,Diavik Diamond Mines (2012) Inc.,100.0,100.0
QC-MAIN-e82266c5,,,Lac Tio,,,
QC-MAIN-11c40b1f,10076.0,448.59,Lithium Demonstration Plant,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,37.735849056603776,30.0
QC-MAIN-3e146840,10076.0,186.25,Rio Tinto Iron and Titanium,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,73.46938775510203,50.0
QC-MAIN-7b3b4c8b,10076.0,448.59,Scandium Demonstration Plant,Rio Tinto Fer et Titane inc.- Complexe  de Sorel-Tracy,37.03703703703704,34.5679012345679
ON-MAIN-eda110b0,,,Georgia Lake,,,
YT-MAIN-73ce66b5,,,Klaza,,,
BC-MAIN-116ae608,,,Revel Ridge,,,
ON-MAIN-dca9cce7,,,Ottawa,,,
SK-MAIN-d5c9124e,10715.0,17586.83,Rare Earth Processing Facility,CORY,40.0,5.882352941176464
SK-MAIN-d5c9124e,10716.0,3403.34,Rare Earth Processing Facility,Patience Lake Division,38.095238095238095,30.769230769230774
QC-MAIN-c4fb59c2,,,Moblan,,,
QC-MAIN-1186a6d0,,,Authier,,,
QC-MAIN-dc1a16f9,11736.0,1511.83,North American Lithium,North American Lithium,100.0,100.0
BC-MAIN-b7591127,,,Iskut,,,
BC-MAIN-4959ea63,10873.0,9016.34,KSM,Brucejack Gold Mine,33.333333333333336,9.090909090909093
YT-MAIN-03a159d7,,,Selwyn,,,
AB-MAIN-d3a4aba9,10119.0,219.83,The Cobalt Refinery Company Inc.,Fort Saskatchewan,30.303030303030297,28.57142857142857
