main_id,npri_id,distance_m,facility_name,facility_name_npri,similarity_partial_score,similarity_token_set
QC-MAIN-5801b453,28726.0,16970.47,Abcourt-Barvue,North American Lithium,34.78260869565217,27.77777777777777
QC-MAIN-d29e0839,,,Sleeping Giant,,,
QC-MAIN-f1ff4920,30807.0,6073.28,Akasaba West,Eldorado Gold (Québec) Inc.,19.047619047619047,15.384615384615387
NU-MAIN-4ea8ac9d,,,Amaruq,,,
QC-MAIN-e7e6a960,25188.0,279.99,Canadian Malartic,Mine Canadian Malartic,100.0,100.0
QC-MAIN-e7e6a960,8757.0,19636.66,Canadian Malartic,Division Goldex,29.629629629629626,25.0
QC-MAIN-e7e6a960,2935.0,16016.18,Canadian Malartic,Complexe minier Kiena,29.629629629629626,31.578947368421055
ON-MAIN-aeafbb59,11867.0,985.0,Detour Lake,Detour Lake Project,100.0,100.0
QC-MAIN-c0660aec,25188.0,19458.06,Goldex,Mine Canadian Malartic,19.999999999999996,14.285714285714292
QC-MAIN-c0660aec,8757.0,185.85,Goldex,Division Goldex,100.0,100.0
QC-MAIN-c0660aec,2935.0,4494.64,Goldex,Complexe minier Kiena,66.66666666666667,29.629629629629633
QC-MAIN-e51eda66,99.0,1035.5,LaRonde,Division Laronde,85.71428571428572,52.17391304347826
QC-MAIN-e51eda66,1608.0,7393.87,LaRonde,La mine Doyon,57.14285714285714,40.0
ON-MAIN-1f126a43,1568.0,1797.42,Macassa,Macassa Mine,100.0,100.0
NU-MAIN-730aefe3,24216.0,1025.05,Meadowbank,Division Meadowbank,100.0,100.0
NU-MAIN-8b0264c9,,,Meliadine,,,
MB-MAIN-5d21dbd5,,,Monument Bay,,,
ON-MAIN-74997012,,,Upper Beaver,,,
ON-MAIN-687b8c8d,11454.0,2039.27,Island,Island Gold Mine,100.0,100.0
ON-MAIN-687b8c8d,33049.0,1107.44,Island,Magino Mine,36.36363636363637,23.529411764705884
ON-MAIN-7607a50e,26132.0,217.4,Young-Davidson,Young-Davidson,100.0,100.0
QC-MAIN-52c01ae4,2038.0,319.43,Baie-Comeau,Aluminerie de Baie-Comeau,100.0,100.0
QC-MAIN-eac5a52b,4782.0,162.62,Deschambault,Aluminerie de Deschambault,100.0,100.0
QC-MAIN-eac5a52b,4330.0,18087.95,Deschambault,Fonderie Bibby Ste-Croix,25.0,11.111111111111114
QC-MAIN-81a288d0,2100.0,11227.47,Elysis,La Mine Niobec,18.181818181818176,10.0
QC-MAIN-81a288d0,31260.0,8693.15,Elysis,3M Chicoutimi,28.57142857142857,10.526315789473685
QC-MAIN-81a288d0,6344.0,3994.91,Elysis,Elkem Métal Chicoutimi,50.0,14.285714285714292
QC-MAIN-81a288d0,3060.0,15058.27,Elysis,Usine Laterrière,44.44444444444444,18.181818181818187
QC-MAIN-81a288d0,3406.0,1282.07,Elysis,Usine Arvida,44.44444444444444,22.22222222222223
QC-MAIN-81a288d0,27853.0,1402.46,Elysis,Aluminerie Arvida - Centre technologique AP60,36.36363636363637,7.843137254901961
