,main_id,name,latitude,longitude,modis_2001,modis_2002,modis_2003,modis_2004,modis_2005,modis_2006,modis_2007,modis_2008,modis_2009,modis_2010,modis_2011,modis_2012,modis_2013,modis_2014,modis_2015,modis_2016,modis_2017,modis_2018,modis_2019,modis_2020,modis_2021,modis_2022,modis_2023
14,ON-MAIN-5a030c69-1,Hollinger,48.4733,-81.31314,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up,Urban & Built-up
15,ON-MAIN-a86e1632-1,Hoyle Pond,48.5519,-81.1083,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Savannas,Permanent Wetlands
16,ON-MAIN-ec0e3472-1,Porcupine,48.463511,-81.242719,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
17,ON-MAIN-87eff5d8-1,Bell Creek,48.553,-81.178,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
18,ON-MAIN-af364a50-1,Timmins West,48.383275,-81.549826,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests
19,ON-MAIN-f22b9058-1,Sugar Zone,48.80496,-85.00401,Mixed Forests,Evergreen Needleleaf Forest,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
20,SK-MAIN-fb71dcba-1,Santoy,55.66778,-103.414571,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
21,SK-MAIN-409d52eb-1,Seabee,55.683772,-103.622257,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
22,NS-MAIN-7611a9c0-1,Moose River Consolidated,44.98243,-62.94292,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests
23,YT-MAIN-24f21978-1,Eagle (Dublin Gulch),64.0322,-135.8456,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas,Savannas
24,ON-MAIN-d0063de8-1,Eagle River,47.9861,-85.4619,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests
25,QC-MAIN-918440f1-1,Kiena,48.12,-77.91,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water,Water
26,ON-MAIN-36212738-1,Mishi,48.11028,-85.4525,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
27,QC-MAIN-efc41be6-1,Sleeping Giant,49.13259,-77.97434,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
28,QC-MAIN-b1e99caf-1,Canadian Malartic,48.122223,-78.130824,Grasslands,Grasslands,Grasslands,Grasslands,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
29,QC-MAIN-547f4bc7-1,Goldex,48.0926,-77.8733,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
30,ON-MAIN-efe5148b-1,Macassa,48.142528,-80.071637,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Savannas,Woody Savannas,Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Savannas,Savannas,Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Savannas,Savannas,Savannas,Savannas
31,ON-MAIN-cb6d25a5-1,Magino,48.28869,-84.45744,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands
32,ON-MAIN-578ec529-1,Red Lake,51.050557,-93.732922,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
33,QC-MAIN-e3cedb7d-1,Casa Berardi,49.5719,-79.231307,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Permanent Wetlands,Woody Savannas,Woody Savannas,Permanent Wetlands,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Savannas,Savannas,Savannas,Grasslands
34,QC-MAIN-20601058-1,Westwood-Doyon,48.256,-78.502,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Mixed Forests,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas
35,ON-MAIN-bfbfae34-1,Rainy River,48.833,-94.012,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Woody Savannas,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
36,BC-MAIN-6709f0d0-1,Brucejack,56.47554,-130.21783,Snow & Ice,Snow & Ice,Barren,Grasslands,Grasslands,Grasslands,Snow & Ice,Snow & Ice,Snow & Ice,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands,Grasslands
